cep	status	bairro_sugerido	bairro_principal	clientes_total	clientes_alterar	clientes_provaveis	clientes_excecao	confianca	alteraveis	provaveis	excecoes	todas_variacoes
70470517	SEGURO	NOVO MUNDO	JARDIM NOVO MUNDO	1	1	0	0	100.0	JARDIM NOVO MUNDO (1)			JARDIM NOVO MUNDO (1)
70713174	SEGURO	NOVO MUNDO	JARDIM NOVO MUNDO	1	1	0	0	100.0	JARDIM NOVO MUNDO (1)			JARDIM NOVO MUNDO (1)
72460480	SEGURO	CURITIBA IV	JARDIM CURITIBA IV	1	1	0	0	100.0	JARDIM CURITIBA IV (1)			JARDIM CURITIBA IV (1)
73463480	SEGURO	SANTOS DUMONT	SANTOS DUMONT	1	1	0	0	100.0	SANTOS DUMONT (1)			SANTOS DUMONT (1)
74000000	BLOQUEADO	NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	4180	623	1	3556	14.5	JARDIM NOVA ESPERANÇA (606) | JD NOVA ESPERANÇA (8) | JARDIM NOVA ESPERANCA (6) | NOVA ESPERANÇA (3)	JARDIM NOVA ESPERANÇAA (1) [93.33%]	JARDIM NOVO MUNDO (401) [35.71%] | JARDIM COLORADO (341) [21.43%] | JARDIM LIBERDADE (282) [14.29%] | VILA MUTIRÃO (232) [14.29%] | NOVO PLANALTO (195) [35.71%] | SANTOS DUMONT (165) [7.14%] | JARDIM DAS HORTENCIAS (157) [14.29%] | JARDIM CURITIBA IV (128) [7.14%] | JARDIM VISTA BELA (101) [21.43%] | CANDIDA DE MORAES (97) [29.41%] | MANSÕES PARAISO (80) [33.33%] | SÃO CARLOS (66) [14.29%] | VILA JOÃO VAZ (66) [21.43%] | CAPUAVA (64) [28.57%] | PARQUE TREMENDÃO (50) [21.43%] | RESIDENCIAL FORTALEZA (43) [19.05%] | VILA FINSOCIAL (42) [14.29%] | VILA SÃO JOSE (42) [14.29%] | SETOR NOROESTE (38) [35.71%] | SETOR MARABÁ (36) [28.57%] | RESIDENCIAL PRIVE NORTE (32) [17.39%] | NOVO MUNDO (31) [35.71%] | BAIRRO DA VITORIA (30) [28.57%] | MORADA DO SOL (30) [14.29%] | RESIDENCIAL MARINGÁ (29) [21.05%] | SETOR AEROVIARIO (29) [21.43%] | RESIDENCIAL GREEN PARK (28) [18.18%] | ALBINO BOAVENTURA (27) [17.65%] | JARDIM PETRÓPOLIS (27) [7.14%] | JARDIM DAS HORTÊNCIAS (24) [14.29%] | SETOR PROGRESSO (24) [14.29%] | VILA SÃO JOSÉ (24) [14.29%] | SETOR PERIM (23) [21.43%] | VILA REGINA (23) [21.43%] | BAIRRO DA VITÓRIA (22) [28.57%] | JARDIM CLARISSA (22) [21.43%] | JARDIM HELLOU (20) [7.14%] | VILA CRISTINA (18) [21.43%] | JARDIM GRAMADO (17) [14.29%] | VILA MARIA DILCE (17) [14.29%] | VILA MORAIS (17) [21.43%] | BARRA DA TIJUCA (16) [26.67%] | JARDIM PETROPOLIS (15) [7.14%] | MANSÕES PARAÍSO (15) [33.33%] | VILA MARIA LUIZA (15) [14.29%] | JARDIM BONANZA (13) [28.57%] | JARDIM CAMARGO (12) [14.29%] | Vila São José (12) [14.29%] | CANDIDA DE MORAIS (11) [29.41%] | MANSOES PARAISO (11) [33.33%] | Vila Regina (11) [21.43%] | RESIDENCIAL ANGLO (10) [17.65%] | Vila são José (9) [14.29%] | ESPLANADA DO ANICUNS (8) [20.0%] | RESIDENCIAL 14 BIS (8) [5.56%] | RESIDENCIAL HUGO DE MORAES (8) [19.23%] | Vila Mutirão (8) [14.29%] | VILA MUTIRÃO II (8) [7.14%] | SETOR AEROVIÁRIO (7) [21.43%] | SETOR SEVENE (7) [21.43%] | JARDIM BRASIL (6) [14.29%] | RESIDENCIAL ITAMARACÁ (6) [28.57%] | RESIDENCIAL PRIVÊ NORTE (6) [17.39%] | VILA MUTIRAO (6) [14.29%] | RESIDENCIAL ITAMARACA (5) [28.57%] | RESIDENCIAL MARINGA (5) [21.05%] | SÃO JOSÉ (5) [14.29%] | VALE DOS CARAIBAS (5) [29.41%] | VILA MARTINS (5) [14.29%] | VISTA BELA (5) [21.43%] | AGUA BRANCA (4) [50.0%] | ÁGUA BRANCA (3) [50.0%] | Jardim Novo Mundo (3) [35.71%] | JD DAS HORTENCIAS (3) [14.29%] | JD. NOVO MUNDO (3) [7.14%] | PARQUE INDUSTRIAL PAULISTA (3) [15.79%] | RESIDENCIAL MANSÕES PARAISO (3) [29.63%] | RESIDENCIAL VALE DO ARAGUAIA (3) [25.0%] | SETOR EMPRESARIAL (3) [21.43%] | VILA JOAO VAZ (3) [21.43%] | VILA MUTIRÃO I (3) [14.29%] | VILA ROMANA (3) [28.57%] | AEROVIÁRIO (2) [21.43%] | AEROVIARIO (2) [21.43%] | AGUÁ BRANCA (2) [50.0%] | CÂNDIDA DE MORAES (2) [29.41%] | Capuava (2) [28.57%] | CHACARAS MANSOES ROSAS DE OURO (2) [20.0%] | CONJUNTO RIVIERA (2) [18.75%] | FINSOCIAL (2) [14.29%] | JARDIM CALIFORNIA (2) [28.57%] | JARDIM CURITIBA 4 (2) [7.14%] | JARDIM CURITIBA II (2) [7.14%] | JARDIM HELOU (2) [7.14%] | JD COLORADO (2) [21.43%] | JOÃO VAZ (2) [21.43%] | MANSÕES ROSAS DE OURO (2) [23.81%] | NOROESTE (2) [35.71%] | PQ TREMENDÃO (2) [21.43%] | RECREIO SÃO JOAQUIM (2) [10.53%] | RESIDENCIAL ANGULO (2) [16.67%] | SETOR MARABA (2) [28.57%] | VILA SAO JOSE (2) [14.29%] | BAIRRO CAPUAVA (1) [28.57%] | BAIRRO PERIM (1) [21.43%] | BAIRRO SAO CARLOS (1) [14.29%] | CANDIDA DE MORAES. (1) [33.33%] | CAPUAVA RESIDENCIAL PRIVÊ (1) [28.0%] | CENTRO (1) [14.29%] | CH RECREIO SÃO JOAQUIM (1) [13.64%] | COLORADO (1) [21.43%] | CONDOMINIO PORTAL DAS HORTÊNCIAS (1) [28.12%] | CONDOMINIO RIO BRANCO (1) [33.33%] | Conjunto Riviera (1) [18.75%] | CRIMEIA OESTE (1) [7.14%] | CURITIBA I (1) [7.14%] | CURITIBA IV (1) [7.14%] | JARDIM  NOVO MUNDO (1) [35.71%] | JARDIM CALIFONIA (1) [21.43%] | JARDIM COLORADO EXTEÇÃO (1) [25.0%] | JARDIM COLORADO EXTENSÃO (1) [29.41%] | JARDIM CURITIBA 04 (1) [7.14%] | JARDIM CURITIBA 1 (1) [7.14%] | JARDIM CURITIBA I (1) [7.14%] | JARDIM CURITIBA III (1) [0.0%] | JARDIM EMANUELE (1) [14.29%] | JARDIM EMANUELY (1) [14.29%] | JARDIM LAGO AZUL (1) [14.29%] | Jardim Liberdade (1) [14.29%] | JARDIM NOVO MUNDO II (1) [28.57%] | JARDIM NOVO PETROPOLIS (1) [33.33%] | Jardim Vista Bela (1) [21.43%] | JD LIBERDADE (1) [14.29%] | JD NOVO MUNDO (1) [35.71%] | JD NOVO PETROPOLIS (1) [33.33%] | JD. CALIFÓRNIA (1) [14.29%] | JD. CURITIBA (1) [14.29%] | JD. EMANUELLE - NOVO MUNDO (1) [15.38%] | JD. NOVA ESPERANÇA (1) [77.78%] | MANSÓES PARAISO (1) [33.33%] | MANSOÊS PARAISO (1) [33.33%] | MANSÔES PARAISO (1) [33.33%] | MARABÁ (1) [28.57%] | MARIA LUIZA (1) [14.29%] | NOVO MUNDO II (1) [28.57%] | NOVO PLALNALTO (1) [35.71%] | PARQUE INDUSTRIAL JOAO BRAZ (1) [15.0%] | PARQUE MARACANA (1) [28.57%] | PARQUE TREMEDÃO (1) [21.43%] | PARUE TREMENDÃO (1) [20.0%] | PERIM (1) [21.43%] | PQ INDUSTRIAL PAULISTA (1) [15.79%] | PQ.TREMENDÃO (1) [21.43%] | RESIDENCIAL ALBINO BOAVENTURA (1) [20.69%] | RESIDENCIAL ARAGUAIA (1) [20.0%] | RESIDENCIAL ARUANA (1) [22.22%] | RESIDENCIAL ARUANÃ (1) [22.22%] | RESIDENCIAL BUENA VISTA 4 (1) [20.0%] | RESIDENCIAL EMANUELE (1) [20.0%] | RESIDENCIAL FLORESTA (1) [20.0%] | RESIDENCIAL MANSÕES PARAÍSO (1) [29.63%] | SÃO JOSE (1) [14.29%] | SÃO MARCOS I (1) [7.14%] | SETOR  PROGRESSO (1) [14.29%] | SETOR BARRA DA TIJUCA (1) [26.67%] | SETOR CÂNDIDA DE MORAIS (1) [29.41%] | Setor Cândida de Morais (1) [29.41%] | SETOR ESTRELA DALVA (1) [21.43%] | Setor Perim (1) [21.43%] | SETOR PQ. TREMENDÃO (1) [21.43%] | SETOR SAO CARLOS (1) [14.29%] | SETOR VALE DOS CARAIBAS (1) [29.41%] | SETOR VISTA BELA (1) [21.43%] | VALE DAS CARAÍBAS (1) [29.41%] | VALE DAS CARAIBAS (1) [29.41%] | VALE DO ARAGUAIA (1) [25.0%] | VALE DOS CARAÍBAS (1) [29.41%] | VILA  SÃO JOSÉ (1) [14.29%] | VILA CLEMENTE (1) [21.43%] | VILA MARTINS - EXTENSÃO - NOVO MUNDO (1) [19.35%] | VILA MORAIS NOVO MUNDO (1) [23.53%] | VILA MULTIRÃO (1) [14.29%]	JARDIM NOVA ESPERANÇA (606) | JARDIM NOVO MUNDO (401) | JARDIM COLORADO (341) | JARDIM LIBERDADE (282) | VILA MUTIRÃO (232) | NOVO PLANALTO (195) | SANTOS DUMONT (165) | JARDIM DAS HORTENCIAS (157) | JARDIM CURITIBA IV (128) | JARDIM VISTA BELA (101) | CANDIDA DE MORAES (97) | MANSÕES PARAISO (80) | SÃO CARLOS (66) | VILA JOÃO VAZ (66) | CAPUAVA (64) | PARQUE TREMENDÃO (50) | RESIDENCIAL FORTALEZA (43) | VILA FINSOCIAL (42) | VILA SÃO JOSE (42) | SETOR NOROESTE (38) | SETOR MARABÁ (36) | RESIDENCIAL PRIVE NORTE (32) | NOVO MUNDO (31) | BAIRRO DA VITORIA (30) | MORADA DO SOL (30) | RESIDENCIAL MARINGÁ (29) | SETOR AEROVIARIO (29) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | JARDIM PETRÓPOLIS (27) | JARDIM DAS HORTÊNCIAS (24) | SETOR PROGRESSO (24) | VILA SÃO JOSÉ (24) | SETOR PERIM (23) | VILA REGINA (23) | BAIRRO DA VITÓRIA (22) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MARIA DILCE (17) | VILA MORAIS (17) | BARRA DA TIJUCA (16) | JARDIM PETROPOLIS (15) | MANSÕES PARAÍSO (15) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | JARDIM CAMARGO (12) | Vila São José (12) | CANDIDA DE MORAIS (11) | MANSOES PARAISO (11) | Vila Regina (11) | RESIDENCIAL ANGLO (10) | Vila são José (9) | ESPLANADA DO ANICUNS (8) | JD NOVA ESPERANÇA (8) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | Vila Mutirão (8) | VILA MUTIRÃO II (8) | SETOR AEROVIÁRIO (7) | SETOR SEVENE (7) | JARDIM BRASIL (6) | JARDIM NOVA ESPERANCA (6) | RESIDENCIAL ITAMARACÁ (6) | RESIDENCIAL PRIVÊ NORTE (6) | VILA MUTIRAO (6) | RESIDENCIAL ITAMARACA (5) | RESIDENCIAL MARINGA (5) | SÃO JOSÉ (5) | VALE DOS CARAIBAS (5) | VILA MARTINS (5) | VISTA BELA (5) | AGUA BRANCA (4) | ÁGUA BRANCA (3) | Jardim Novo Mundo (3) | JD DAS HORTENCIAS (3) | JD. NOVO MUNDO (3) | NOVA ESPERANÇA (3) | PARQUE INDUSTRIAL PAULISTA (3) | RESIDENCIAL MANSÕES PARAISO (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | SETOR EMPRESARIAL (3) | VILA JOAO VAZ (3) | VILA MUTIRÃO I (3) | VILA ROMANA (3) | AEROVIÁRIO (2) | AEROVIARIO (2) | AGUÁ BRANCA (2) | CÂNDIDA DE MORAES (2) | Capuava (2) | CHACARAS MANSOES ROSAS DE OURO (2) | CONJUNTO RIVIERA (2) | FINSOCIAL (2) | JARDIM CALIFORNIA (2) | JARDIM CURITIBA 4 (2) | JARDIM CURITIBA II (2) | JARDIM HELOU (2) | JD COLORADO (2) | JOÃO VAZ (2) | MANSÕES ROSAS DE OURO (2) | NOROESTE (2) | PQ TREMENDÃO (2) | RECREIO SÃO JOAQUIM (2) | RESIDENCIAL ANGULO (2) | SETOR MARABA (2) | VILA SAO JOSE (2) | BAIRRO CAPUAVA (1) | BAIRRO PERIM (1) | BAIRRO SAO CARLOS (1) | CANDIDA DE MORAES. (1) | CAPUAVA RESIDENCIAL PRIVÊ (1) | CENTRO (1) | CH RECREIO SÃO JOAQUIM (1) | COLORADO (1) | CONDOMINIO PORTAL DAS HORTÊNCIAS (1) | CONDOMINIO RIO BRANCO (1) | Conjunto Riviera (1) | CRIMEIA OESTE (1) | CURITIBA I (1) | CURITIBA IV (1) | JARDIM  NOVO MUNDO (1) | JARDIM CALIFONIA (1) | JARDIM COLORADO EXTEÇÃO (1) | JARDIM COLORADO EXTENSÃO (1) | JARDIM CURITIBA 04 (1) | JARDIM CURITIBA 1 (1) | JARDIM CURITIBA I (1) | JARDIM CURITIBA III (1) | JARDIM EMANUELE (1) | JARDIM EMANUELY (1) | JARDIM LAGO AZUL (1) | Jardim Liberdade (1) | JARDIM NOVA ESPERANÇAA (1) | JARDIM NOVO MUNDO II (1) | JARDIM NOVO PETROPOLIS (1) | Jardim Vista Bela (1) | JD LIBERDADE (1) | JD NOVO MUNDO (1) | JD NOVO PETROPOLIS (1) | JD. CALIFÓRNIA (1) | JD. CURITIBA (1) | JD. EMANUELLE - NOVO MUNDO (1) | JD. NOVA ESPERANÇA (1) | MANSÓES PARAISO (1) | MANSOÊS PARAISO (1) | MANSÔES PARAISO (1) | MARABÁ (1) | MARIA LUIZA (1) | NOVO MUNDO II (1) | NOVO PLALNALTO (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | PARQUE MARACANA (1) | PARQUE TREMEDÃO (1) | PARUE TREMENDÃO (1) | PERIM (1) | PQ INDUSTRIAL PAULISTA (1) | PQ.TREMENDÃO (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | RESIDENCIAL ARAGUAIA (1) | RESIDENCIAL ARUANA (1) | RESIDENCIAL ARUANÃ (1) | RESIDENCIAL BUENA VISTA 4 (1) | RESIDENCIAL EMANUELE (1) | RESIDENCIAL FLORESTA (1) | RESIDENCIAL MANSÕES PARAÍSO (1) | SÃO JOSE (1) | SÃO MARCOS I (1) | SETOR  PROGRESSO (1) | SETOR BARRA DA TIJUCA (1) | SETOR CÂNDIDA DE MORAIS (1) | Setor Cândida de Morais (1) | SETOR ESTRELA DALVA (1) | Setor Perim (1) | SETOR PQ. TREMENDÃO (1) | SETOR SAO CARLOS (1) | SETOR VALE DOS CARAIBAS (1) | SETOR VISTA BELA (1) | VALE DAS CARAÍBAS (1) | VALE DAS CARAIBAS (1) | VALE DO ARAGUAIA (1) | VALE DOS CARAÍBAS (1) | VILA  SÃO JOSÉ (1) | VILA CLEMENTE (1) | VILA MARTINS - EXTENSÃO - NOVO MUNDO (1) | VILA MORAIS NOVO MUNDO (1) | VILA MULTIRÃO (1)
74000197	SEGURO	LIBERDADE	JARDIM LIBERDADE	1	1	0	0	100.0	JARDIM LIBERDADE (1)			JARDIM LIBERDADE (1)
74075120	SEGURO	AEROVIARIO	SETOR AEROVIARIO	1	1	0	0	100.0	SETOR AEROVIARIO (1)			SETOR AEROVIARIO (1)
74133090	SEGURO	DA VITORIA	BAIRRO DA VITORIA	1	1	0	0	100.0	BAIRRO DA VITORIA (1)			BAIRRO DA VITORIA (1)
74140000	BLOQUEADO	COLORADO	JARDIM COLORADO	4	1	0	3	25.0	JARDIM COLORADO (1)		JARDIM DAS HORTENCIAS (1) [14.29%] | MANSÕES PARAISO (1) [26.67%] | MORADA DO SOL (1) [30.77%]	JARDIM COLORADO (1) | JARDIM DAS HORTENCIAS (1) | MANSÕES PARAISO (1) | MORADA DO SOL (1)
74160200	SEGURO	NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	0	100.0	JARDIM NOVA ESPERANÇA (1)			JARDIM NOVA ESPERANÇA (1)
74175460	SEGURO	MULTIDAO LL	VILA MULTIDÃO LL	1	1	0	0	100.0	VILA MULTIDÃO LL (1)			VILA MULTIDÃO LL (1)
74215030	SEGURO	DAS HORTENCIAS	JARDIM DAS HORTÊNCIAS	1	1	0	0	100.0	JARDIM DAS HORTÊNCIAS (1)			JARDIM DAS HORTÊNCIAS (1)
74230903	SEGURO	CANDIDA DE MORAES	CANDIDA DE MORAES	1	1	0	0	100.0	CANDIDA DE MORAES (1)			CANDIDA DE MORAES (1)
74320440	SEGURO	JOAO VAZ	VILA JOAO VAZ	1	1	0	0	100.0	VILA JOAO VAZ (1)			VILA JOAO VAZ (1)
74323065	SEGURO	CAPUAVA	BAIRRO CAPUAVA	1	1	0	0	100.0	BAIRRO CAPUAVA (1)			BAIRRO CAPUAVA (1)
74340500	BLOQUEADO	NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	3	2	0	1	66.67	JARDIM NOVA ESPERANÇA (2)		JARDIN NOVA ESPERANÇA (1) [66.67%]	JARDIM NOVA ESPERANÇA (2) | JARDIN NOVA ESPERANÇA (1)
74353550	SEGURO	SANTA RITA	PARQUE SANTA RITA	1	1	0	0	100.0	PARQUE SANTA RITA (1)			PARQUE SANTA RITA (1)
74354608	SEGURO	CARAVELAS	JARDIM CARAVELAS	1	1	0	0	100.0	JARDIM CARAVELAS (1)			JARDIM CARAVELAS (1)
74354612	SEGURO	CARAVELAS	JARDIM CARAVELAS	1	1	0	0	100.0	JARDIM CARAVELAS (1)			JARDIM CARAVELAS (1)
74354616	SEGURO	CARAVELAS	JARDIM CARAVELAS	1	1	0	0	100.0	JARDIM CARAVELAS (1)			JARDIM CARAVELAS (1)
74354618	SEGURO	CARAVELA	JARDIM CARAVELA	1	1	0	0	100.0	JARDIM CARAVELA (1)			JARDIM CARAVELA (1)
74354632	BLOQUEADO	CARAVELAS	JARDIM CARAVELAS	2	1	0	1	50.0	JARDIM CARAVELAS (1)		JARDIM CARAVELAS 1ª ETAPA (1) [50.0%]	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1ª ETAPA (1)
74354636	BLOQUEADO	CRAVELAS	JARDIM CRAVELAS	2	1	0	1	50.0	JARDIM CRAVELAS (1)		JARDM CARAVELAS (1) [53.33%]	JARDIM CRAVELAS (1) | JARDM CARAVELAS (1)
74354640	SEGURO	CARAVELAS	JARDIM CARAVELAS	2	2	0	0	50.0	JARDIM CARAVELAS (1) | SETOR CARAVELAS (1)			JARDIM CARAVELAS (1) | SETOR CARAVELAS (1)
74354643	SEGURO	CARAVELAS	JARDIM CARAVELAS	1	1	0	0	100.0	JARDIM CARAVELAS (1)			JARDIM CARAVELAS (1)
74354647	SEGURO	CARAVELAS	JARDIM CARAVELAS	1	1	0	0	100.0	JARDIM CARAVELAS (1)			JARDIM CARAVELAS (1)
74354665	SEGURO	CARAVELAS	JARDIM CARAVELAS	1	1	0	0	100.0	JARDIM CARAVELAS (1)			JARDIM CARAVELAS (1)
74354676	SEGURO	CARAVELAS	JARDIM CARAVELAS	1	1	0	0	100.0	JARDIM CARAVELAS (1)			JARDIM CARAVELAS (1)
74354814	SEGURO	SAO JOSE	Vila são José	1	1	0	0	100.0	Vila são José (1)			Vila são José (1)
74356285	SEGURO	RESIDENCIAL SANTA FE	RESIDENCIAL SANTA FÉ	1	1	0	0	100.0	RESIDENCIAL SANTA FÉ (1)			RESIDENCIAL SANTA FÉ (1)
74370150	SEGURO	RIO FORMOSO	SETOR RIO FORMOSO	1	1	0	0	100.0	SETOR RIO FORMOSO (1)			SETOR RIO FORMOSO (1)
74370220	SEGURO	RIO FORMOSO	SETOR RIO FORMOSO	1	1	0	0	100.0	SETOR RIO FORMOSO (1)			SETOR RIO FORMOSO (1)
74370489	SEGURO	SANTA RITA VII	SETOR SANTA RITA VII	1	1	0	0	100.0	SETOR SANTA RITA VII (1)			SETOR SANTA RITA VII (1)
74370520	SEGURO	SANTA RITA VII	SETOR SANTA RITA VII	1	1	0	0	100.0	SETOR SANTA RITA VII (1)			SETOR SANTA RITA VII (1)
74370601	SEGURO	RESIDENCIAL CANADA	RESIDENCIAL CANADÁ	1	1	0	0	100.0	RESIDENCIAL CANADÁ (1)			RESIDENCIAL CANADÁ (1)
74370612	SEGURO	RESIDENCIAL CANADA	RESIDENCIAL CANADÁ	1	1	0	0	100.0	RESIDENCIAL CANADÁ (1)			RESIDENCIAL CANADÁ (1)
74370613	SEGURO	RESIDENCIAL CANADA	RESIDENCIAL CANÁDA	1	1	0	0	100.0	RESIDENCIAL CANÁDA (1)			RESIDENCIAL CANÁDA (1)
74370645	SEGURO	RESIDENCIAL VEREDAS DOS BURITIS	RESIDENCIAL VEREDAS DOS BURITIS	1	1	0	0	100.0	RESIDENCIAL VEREDAS DOS BURITIS (1)			RESIDENCIAL VEREDAS DOS BURITIS (1)
74370663	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS	1	1	0	0	100.0	RESIDENCIAL VEREDA DOS BURITIS (1)			RESIDENCIAL VEREDA DOS BURITIS (1)
74370675	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS	1	1	0	0	100.0	RESIDENCIAL VEREDA DOS BURITIS (1)			RESIDENCIAL VEREDA DOS BURITIS (1)
74370684	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS	1	1	0	0	100.0	RESIDENCIAL VEREDA DOS BURITIS (1)			RESIDENCIAL VEREDA DOS BURITIS (1)
74370702	SEGURO	RESIDENCIAL FORTEVILLE	RESIDENCIAL FORTEVILLE	1	1	0	0	100.0	RESIDENCIAL FORTEVILLE (1)			RESIDENCIAL FORTEVILLE (1)
74370707	SEGURO	RESIDENCIAL FORTEVILLE	RESIDENCIAL FORTEVILLE	1	1	0	0	100.0	RESIDENCIAL FORTEVILLE (1)			RESIDENCIAL FORTEVILLE (1)
74370766	SEGURO	RESIDENCIAL SANTA RITA - 4ª ETAPA	RESIDENCIAL SANTA RITA - 4ª ETAPA	1	1	0	0	100.0	RESIDENCIAL SANTA RITA - 4ª ETAPA (1)			RESIDENCIAL SANTA RITA - 4ª ETAPA (1)
74371070	SEGURO	RESIDENCIAL ELI FORTE	RESIDENCIAL ELI FORTE	1	1	0	0	100.0	RESIDENCIAL ELI FORTE (1)			RESIDENCIAL ELI FORTE (1)
74371135	SEGURO	RESIDENCIAL TALISMA	RESIDENCIAL TALISMA	1	1	0	0	100.0	RESIDENCIAL TALISMA (1)			RESIDENCIAL TALISMA (1)
74371350	SEGURO	MOINHO DOS VENTOS	MOINHO DOS VENTOS	1	1	0	0	100.0	MOINHO DOS VENTOS (1)			MOINHO DOS VENTOS (1)
74371390	SEGURO	MOINHO DOS VENTOS	MOINHO DOS VENTOS	1	1	0	0	100.0	MOINHO DOS VENTOS (1)			MOINHO DOS VENTOS (1)
74371435	SEGURO	LOTEAMENTO MOINHO DOS VENTOS	LOTEAMENTO MOINHO DOS VENTOS	1	1	0	0	100.0	LOTEAMENTO MOINHO DOS VENTOS (1)			LOTEAMENTO MOINHO DOS VENTOS (1)
74371812	SEGURO	RESIDENCIAL RECANTO DAS EMAS	RESIDENCIAL RECANTO DAS EMAS	1	1	0	0	100.0	RESIDENCIAL RECANTO DAS EMAS (1)			RESIDENCIAL RECANTO DAS EMAS (1)
74372093	SEGURO	RESIDENCIAL FIDELIS	RESIDENCIAL FIDELIS	1	1	0	0	100.0	RESIDENCIAL FIDELIS (1)			RESIDENCIAL FIDELIS (1)
74373210	SEGURO	LOTEAMENTO CELINA PARK	LOTEAMENTO CELINA PARK	1	1	0	0	100.0	LOTEAMENTO CELINA PARK (1)			LOTEAMENTO CELINA PARK (1)
74375030	SEGURO	OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	2	2	0	0	100.0	PARQUE OESTE INDUSTRIAL (2)			PARQUE OESTE INDUSTRIAL (2)
74375040	SEGURO	OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	2	2	0	0	100.0	PARQUE OESTE INDUSTRIAL (2)			PARQUE OESTE INDUSTRIAL (2)
74375110	BLOQUEADO	GOIA	BAIRRO GOIA	2	1	0	1	50.0	BAIRRO GOIA (1)		PARQUE OESTE INDUSTRIAL (1) [12.5%]	BAIRRO GOIA (1) | PARQUE OESTE INDUSTRIAL (1)
