CEP	BAIRRO_PADRAO_CANDIDATO	CLIENTES	SITUACAO	VARIACOES_OU_FAMILIAS
74000000	JARDIM NOVA ESPERANCA	4180	REVISAR	JARDIM NOVA ESPERANCA (612) | JARDIM NOVO MUNDO (405) | JARDIM COLORADO (341) | JARDIM LIBERDADE (283) | VILA MUTIRAO (246) | NOVO PLANALTO (195) | JARDIM DAS HORTENCIAS (181) | SANTOS DUMONT (165) | JARDIM CURITIBA IV (131) | MANSOES PARAISO (109) | JARDIM VISTA BELA (102) | CANDIDA DE MORAES (100) | VILA SAO JOSE (90) | VILA JOAO VAZ (69) | SAO CARLOS (68) | CAPUAVA (67) | DA VITORIA (52) | PARQUE TREMENDAO (50) | RESIDENCIAL FORTALEZA (43) | JARDIM PETROPOLIS (42) | VILA FINSOCIAL (42) | NOROESTE (40) | AEROVIARIO (40) | MARABA (39) | RESIDENCIAL PRIVE NORTE (38) | VILA REGINA (34) | RESIDENCIAL MARINGA (34) | NOVO MUNDO (31) | MORADA DO SOL (30) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | PERIM (26) | PROGRESSO (25) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MORAIS (17) | VILA MARIA DILCE (17) | BARRA DA TIJUCA (17) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | CANDIDA DE MORAIS (13) | JARDIM CAMARGO (12) | RESIDENCIAL ITAMARACA (11) | RESIDENCIAL ANGLO (10) | AGUA BRANCA (9) | JD NOVA ESPERANCA (9) | ESPLANADA DO ANICUNS (8) | VILA MUTIRAO II (8) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | SEVENE (7) | VALE DOS CARAIBAS (7) | SAO JOSE (6) | JARDIM BRASIL (6) | VISTA BELA (6) | VILA MARTINS (5) | RESIDENCIAL MANSOES PARAISO (4) | JD NOVO MUNDO (4) | PQ TREMENDAO (4) | EMPRESARIAL (3) | VILA ROMANA (3) | JD DAS HORTENCIAS (3) | VILA MUTIRAO I (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | PARQUE INDUSTRIAL PAULISTA (3) | NOVA ESPERANCA (3) | CONJUNTO RIVIERA (3) | RESIDENCIAL ARUANA (2) | FINSOCIAL (2) | RESIDENCIAL ANGULO (2) | JARDIM CALIFORNIA (2) | RECREIO SAO JOAQUIM (2) | MANSOES ROSAS DE OURO (2) | JOAO VAZ (2) | JARDIM HELOU (2) | CHACARAS MANSOES ROSAS DE OURO (2) | JD COLORADO (2) | JARDIM CURITIBA II (2) | VALE DAS CARAIBAS (2) | VILA MORAIS NOVO MUNDO (1) | MARIA LUIZA (1) | CENTRO (1) | PARUE TREMENDAO (1) | COLORADO (1) | NOVO MUNDO II (1) | PQ INDUSTRIAL PAULISTA (1) | JD NOVO PETROPOLIS (1) | JARDIM CURITIBA I (1) | PARQUE MARACANA (1) | VILA CLEMENTE (1) | RESIDENCIAL ARAGUAIA (1) | CONDOMINIO PORTAL DAS HORTENCIAS (1) | CRIMEIA OESTE (1) | VILA MARTINS EXTENSAO NOVO MUNDO (1) | JARDIM NOVO PETROPOLIS (1) | VALE DO ARAGUAIA (1) | VILA MULTIRAO (1) | JARDIM COLORADO EXTECAO (1) | JARDIM NOVO MUNDO II (1) | CURITIBA I (1) | JARDIM NOVA ESPERANCAA (1) | CONDOMINIO RIO BRANCO (1) | JARDIM EMANUELE (1) | ESTRELA DALVA (1) | NOVO PLALNALTO (1) | JD CALIFORNIA (1) | JD LIBERDADE (1) | JARDIM LAGO AZUL (1) | JARDIM EMANUELY (1) | CAPUAVA RESIDENCIAL PRIVE (1) | JARDIM COLORADO EXTENSAO (1) | SAO MARCOS I (1) | PARQUE TREMEDAO (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | RESIDENCIAL EMANUELE (1) | JARDIM CALIFONIA (1) | RESIDENCIAL BUENA VISTA 4 (1) | CH RECREIO SAO JOAQUIM (1) | JARDIM CURITIBA 04 (1) | JARDIM CURITIBA III (1) | JD CURITIBA (1) | JARDIM CURITIBA 1 (1) | RESIDENCIAL FLORESTA (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | JD EMANUELLE NOVO MUNDO (1)
74000197	JARDIM LIBERDADE	1	AUTO	JARDIM LIBERDADE (1)
74075120	AEROVIARIO	1	AUTO	SETOR AEROVIARIO (1)
74133090	DA VITORIA	1	AUTO	BAIRRO DA VITORIA (1)
74140000	JARDIM DAS HORTENCIAS	4	REVISAR	JARDIM DAS HORTENCIAS (1) | JARDIM COLORADO (1) | MORADA DO SOL (1) | MANSOES PARAISO (1)
74160200	JARDIM NOVA ESPERANCA	1	AUTO	JARDIM NOVA ESPERANÇA (1)
74175460	VILA MULTIDAO LL	1	AUTO	VILA MULTIDÃO LL (1)
74215030	JARDIM DAS HORTENCIAS	1	AUTO	JARDIM DAS HORTÊNCIAS (1)
74230903	CANDIDA DE MORAES	1	AUTO	CANDIDA DE MORAES (1)
74320440	VILA JOAO VAZ	1	AUTO	VILA JOAO VAZ (1)
74323065	CAPUAVA	1	AUTO	BAIRRO CAPUAVA (1)
74340500	JARDIM NOVA ESPERANCA	3	REVISAR	JARDIM NOVA ESPERANCA (2) | JARDIN NOVA ESPERANCA (1)
74353550	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74354608	JARDIM CARAVELAS	1	AUTO	JARDIM CARAVELAS (1)
74354612	JARDIM CARAVELAS	1	AUTO	JARDIM CARAVELAS (1)
74354616	JARDIM CARAVELAS	1	AUTO	JARDIM CARAVELAS (1)
74354618	JARDIM CARAVELA	1	AUTO	JARDIM CARAVELA (1)
74354632	JARDIM CARAVELAS	2	REVISAR	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1 ETAPA (1)
74354636	JARDM CARAVELAS	2	REVISAR	JARDM CARAVELAS (1) | JARDIM CRAVELAS (1)
74354640	JARDIM CARAVELAS	2	REVISAR	JARDIM CARAVELAS (1) | CARAVELAS (1)
74354643	JARDIM CARAVELAS	1	AUTO	JARDIM CARAVELAS (1)
74354647	JARDIM CARAVELAS	1	AUTO	JARDIM CARAVELAS (1)
74354665	JARDIM CARAVELAS	1	AUTO	JARDIM CARAVELAS (1)
74354676	JARDIM CARAVELAS	1	AUTO	JARDIM CARAVELAS (1)
74354814	VILA SAO JOSE	1	AUTO	Vila são José (1)
74356285	RESIDENCIAL SANTA FE	1	AUTO	RESIDENCIAL SANTA FÉ (1)
74370150	RIO FORMOSO	1	AUTO	SETOR RIO FORMOSO (1)
74370220	RIO FORMOSO	1	AUTO	SETOR RIO FORMOSO (1)
74370489	SANTA RITA VII	1	AUTO	SETOR SANTA RITA VII (1)
74370520	SANTA RITA VII	1	AUTO	SETOR SANTA RITA VII (1)
74370601	RESIDENCIAL CANADA	1	AUTO	RESIDENCIAL CANADÁ (1)
74370612	RESIDENCIAL CANADA	1	AUTO	RESIDENCIAL CANADÁ (1)
74370613	RESIDENCIAL CANADA	1	AUTO	RESIDENCIAL CANÁDA (1)
74370645	RESIDENCIAL VEREDAS DOS BURITIS	1	AUTO	RESIDENCIAL VEREDAS DOS BURITIS (1)
74370663	RESIDENCIAL VEREDA DOS BURITIS	1	AUTO	RESIDENCIAL VEREDA DOS BURITIS (1)
74370675	RESIDENCIAL VEREDA DOS BURITIS	1	AUTO	RESIDENCIAL VEREDA DOS BURITIS (1)
74370684	RESIDENCIAL VEREDA DOS BURITIS	1	AUTO	RESIDENCIAL VEREDA DOS BURITIS (1)
74370702	RESIDENCIAL FORTEVILLE	1	AUTO	RESIDENCIAL FORTEVILLE (1)
74370707	RESIDENCIAL FORTEVILLE	1	AUTO	RESIDENCIAL FORTEVILLE (1)
74370766	RESIDENCIAL SANTA RITA 4 ETAPA	1	AUTO	RESIDENCIAL SANTA RITA - 4ª ETAPA (1)
74371070	RESIDENCIAL ELI FORTE	1	AUTO	RESIDENCIAL ELI FORTE (1)
74371135	RESIDENCIAL TALISMA	1	AUTO	RESIDENCIAL TALISMA (1)
74371350	MOINHO DOS VENTOS	1	AUTO	MOINHO DOS VENTOS (1)
74371390	MOINHO DOS VENTOS	1	AUTO	MOINHO DOS VENTOS (1)
74371435	LOTEAMENTO MOINHO DOS VENTOS	1	AUTO	LOTEAMENTO MOINHO DOS VENTOS (1)
74371812	RESIDENCIAL RECANTO DAS EMAS	1	AUTO	RESIDENCIAL RECANTO DAS EMAS (1)
74372093	RESIDENCIAL FIDELIS	1	AUTO	RESIDENCIAL FIDELIS (1)
74373210	LOTEAMENTO CELINA PARK	1	AUTO	LOTEAMENTO CELINA PARK (1)
74375030	PARQUE OESTE INDUSTRIAL	2	AUTO	PARQUE OESTE INDUSTRIAL (2)
74375040	PARQUE OESTE INDUSTRIAL	2	AUTO	PARQUE OESTE INDUSTRIAL (2)
74375110	PARQUE OESTE INDUSTRIAL	2	REVISAR	PARQUE OESTE INDUSTRIAL (1) | GOIA (1)
74375150	PARQUE OESTE INDUSTRIAL	1	AUTO	PARQUE OESTE INDUSTRIAL (1)
74375180	PARQUE OESTE INDUSTRIAL	2	AUTO	PARQUE OESTE INDUSTRIAL (2)
74375280	PARQUE OESTE INDUSTRIAL	1	AUTO	PARQUE OESTE INDUSTRIAL (1)
74375300	PARQUE OESTE INDUSTRIAL	1	AUTO	PARQUE OESTE INDUSTRIAL (1)
74375495	PARQUE OESTE INDUSTRIAL	2	AUTO	PARQUE OESTE INDUSTRIAL (2)
74375629	RESIDENCIAL PARQUE OESTE	2	AUTO	RESIDENCIAL PARQUE OESTE (2)
74375740	PARQUE OESTE INDUSTRIAL	1	AUTO	PARQUE OESTE INDUSTRIAL (1)
74390086	JARDIM BOTANICO	1	AUTO	JARDIM BOTÂNICO (1)
74390090	JARDIM BOT NICO	1	AUTO	JARDIM BOT NICO (1)
74390100	JARDIM BOTANICO	1	AUTO	JARDIM BOTÂNICO (1)
74390150	JARDIM BOTANICO	1	AUTO	JARDIM BOTÂNICO (1)
74390220	JARDIM BOTANICO	2	AUTO	JARDIM BOTANICO (2)
74390225	JARDIM BOTANICO	1	AUTO	JARDIM BOTÂNICO (1)
74390235	CONDOMINIO RIO BRANCO	1	AUTO	CONDOMINIO RIO BRANCO (1)
74390260	CONDOMINIO RIO BRANCO	1	AUTO	CONDOMÍNIO RIO BRANCO (1)
74390350	CONDOMINIO RIO BRANCO	1	AUTO	CONDOMÍNIO RIO BRANCO (1)
74390372	RESIDENCIAL DELLA PENNA	1	AUTO	RESIDENCIAL DELLA PENNA (1)
74390375	RESIDENCIAL DELLA PENNA	2	AUTO	RESIDENCIAL DELLA PENNA (2)
74390378	RESIDENCIAL DELLA PENNA	1	AUTO	RESIDENCIAL DELLA PENNA (1)
74390390	JARDIM BOTANICO	1	AUTO	JARDIM BOTANICO (1)
74390430	JARDIM BOT NICO	1	AUTO	JARDIM BOT NICO (1)
74390460	JARDIM BOTANICO	1	AUTO	JARDIM BOTÂNICO (1)
74390490	JARDIM BOTANICO	1	AUTO	JARDIM BOTÂNICO (1)
74390610	VILA RIZZO	1	AUTO	VILA RIZZO (1)
74390669	VILA RIZZO	1	AUTO	Vila Rizzo (1)
74391020	JARDIM MARQUES DE ABREU	3	AUTO	JARDIM MARQUES DE ABREU (3)
74391030	JARDIM MARQUES DE ABREU	1	AUTO	JARDIM MARQUES DE ABREU (1)
74391110	JARDIM MARQUES DE ABREU	1	AUTO	JARDIM MARQUES DE ABREU (1)
74391150	JARDIM MARQUES DE ABREU	1	AUTO	JARDIM MARQUES DE ABREU (1)
74391190	JARDIM MARQUES DE ABREU	1	AUTO	JARDIM MARQUES DE ABREU (1)
74391250	JARDIM ARITANA	1	AUTO	JARDIM ARITANA (1)
74391520	LORENA PARK	1	AUTO	LORENA PARK (1)
74392070	JARDIM ELI FORTE	2	AUTO	JARDIM ELI FORTE (2)
74392115	CHACARAS ANHANGUERA	1	AUTO	Chácaras Anhanguera (1)
74393140	RECREIO DOS FUNCIONARIOS PUBLICOS	1	AUTO	RECREIO DOS FUNCIONARIOS PUBLICOS (1)
74393360	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393375	RESIDENCIAL SOLAR BOUGAINVILLE	1	AUTO	RESIDENCIAL SOLAR BOUGAINVILLE (1)
74393392	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393400	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393415	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393460	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393530	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393550	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393560	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393570	PARQUE SANTA RITA	1	AUTO	PARQUE SANTA RITA (1)
74393600	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393660	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393670	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393680	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393700	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393740	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393800	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393810	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	AUTO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393820	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	REVISAR	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1) | RESIDENCIAL ALPHAVILLE (1)
74394029	JARDIM ALPHAVILLE	1	AUTO	JARDIM ALPHAVILLE (1)
74394155	JARDIM ALPHAVILLE	1	AUTO	JARDIM ALPHAVILLE (1)
74394200	RESIDENCIAL BUENA VISTA I	1	AUTO	RESIDENCIAL BUENA VISTA I (1)
74394205	RESIDENCIAL BUENA VISTA I	6	AUTO	RESIDENCIAL BUENA VISTA I (6)
74394210	RESIDENCIAL BUENA VISTA I	2	AUTO	RESIDENCIAL BUENA VISTA I (2)
74394215	RESIDENCIAL BUENA VISTA I	1	AUTO	RESIDENCIAL BUENA VISTA I (1)
74394220	RESIDENCIAL BUENA VISTA I	1	AUTO	RESIDENCIAL BUENA VISTA I (1)
74394225	RESIDENCIAL BUENA VISTA I	5	REVISAR	RESIDENCIAL BUENA VISTA I (4) | RESIDENCIALBUENA VISTA I (1)
74394230	RESIDENCIAL BUENA VISTA I	2	REVISAR	RESIDENCIAL BUENA VISTA I (1) | RESI8DENCIAL BUENA VISTA I (1)
74394235	RESIDENCIAL BUENA VISTA I	4	AUTO	RESIDENCIAL BUENA VISTA I (4)
74394240	RESIENCIAL BUENA VISTA I	2	REVISAR	RESIENCIAL BUENA VISTA I (1) | RESIDENCIAL BUENA VISTA I (1)
74394245	RESIDENCIAL BUENA VISTA I	2	AUTO	RESIDENCIAL BUENA VISTA I (2)
74394250	RESIDENCIAL BUENA VISTA I	1	AUTO	Residencial Buena Vista I (1)
74394260	RESIDENCIAL BUENA VISTA I	1	AUTO	RESIDENCIAL BUENA VISTA I (1)
74394335	RESIDENCIAL BUENA VISTA II	1	AUTO	RESIDENCIAL BUENA VISTA II (1)
74394345	RESIDENCIAL BUENA VISTA II	1	AUTO	RESIDENCIAL BUENA VISTA II (1)
74394355	RESIDENCIAL BUENA VISTA III	1	AUTO	RESIDENCIAL BUENA VISTA III (1)
74394395	RESIDENCIAL BUENA VISTA III	1	AUTO	RESIDENCIAL BUENA VISTA III (1)
74394400	RESIDENCIAL BUENA VISTA III	1	AUTO	RESIDENCIAL BUENA VISTA III (1)
74394405	RESIDENCIAL BUENA VISTA III	2	AUTO	RESIDENCIAL BUENA VISTA III (2)
74394410	RESIDENCIAL BUENA VISTA III	3	AUTO	RESIDENCIAL BUENA VISTA III (3)
74394415	RESIDENCIAL BUENA VISTA III	2	AUTO	RESIDENCIAL BUENA VISTA III (2)
74394420	RESIDENCIAL BUENA VISTA III	3	AUTO	RESIDENCIAL BUENA VISTA III (3)
74394430	RESIDENCIAL BUENA VISTA III	4	AUTO	RESIDENCIAL BUENA VISTA III (4)
74394435	RESIDENCIAL BUENA VISTA III	2	AUTO	RESIDENCIAL BUENA VISTA III (2)
74394470	RESIDENCIAL BUENA VISTA III	1	AUTO	RESIDENCIAL BUENA VISTA III (1)
74394475	RESIDENCIAL BUENA VISTA III	1	AUTO	RESIDENCIAL BUENA VISTA III (1)
74394480	RESIDENCIAL BUENA VISTA III	1	AUTO	RESIDENCIAL BUENA VISTA III (1)
74394500	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394520	RESIDENCIAL BUENA VISTA IV	2	AUTO	RESIDENCIAL BUENA VISTA IV (2)
74394525	RESIDENCIAL BUENA VISTA IV	2	AUTO	RESIDENCIAL BUENA VISTA IV (2)
74394535	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394555	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394600	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394605	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394615	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394620	RESIDENCIAL BUENA VISTA IV	3	REVISAR	RESIDENCIAL BUENA VISTA IV (2) | BUENA VISTA IV (1)
74394630	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394635	RESIDENCIAL BUENA VISTA IV	2	AUTO	RESIDENCIAL BUENA VISTA IV (2)
74394640	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394655	RESIDENCIAL BUENA VISTA IV	1	AUTO	RESIDENCIAL BUENA VISTA IV (1)
74394660	RESIDENCIAL BUENA VISTA IV	3	AUTO	RESIDENCIAL BUENA VISTA IV (3)
74394705	JARDIM GARDENIA	1	AUTO	JARDIM GARDÊNIA (1)
74395003	VILLAGE SANTA RITA	1	AUTO	VILLAGE SANTA RITA (1)
74395006	VILLAGE SANTA RITA	1	AUTO	VILLAGE SANTA RITA (1)
74395030	SOLAR SANTA RITA	1	AUTO	SETOR SOLAR SANTA RITA (1)
74395032	SOLAR SANTA RITA	2	AUTO	SETOR SOLAR SANTA RITA (2)
74395038	SOLAR SANTA RITA	1	AUTO	SETOR SOLAR SANTA RITA (1)
74395040	SOLAR SANTA RITA	1	AUTO	SETOR SOLAR SANTA RITA (1)
74395046	SOLAR SANTA RITA	1	AUTO	SETOR SOLAR SANTA RITA (1)
74395050	SOLAR SANTA RITA	4	AUTO	SETOR SOLAR SANTA RITA (4)
74395056	SOLAR SANTA RITA	1	AUTO	SETOR SOLAR SANTA RITA (1)
74395105	RESIDENCIAL VILLAGE SANTA RITA I	1	AUTO	RESIDENCIAL VILLAGE SANTA RITA I (1)
74395210	RESIDENCIAL VILLAGE SANTA RITA III	1	AUTO	RESIDENCIAL VILLAGE SANTA RITA III (1)
74395250	RESIDENCIAL KATIA	1	AUTO	RESIDENCIAL KÁTIA (1)
74395510	RESIDENCIAL SANTA FE I	1	AUTO	RESIDENCIAL SANTA FE I (1)
74395780	JARDIM EMANUELY	2	AUTO	JARDIM EMANUELY (2)
74400000	JARDIM NOVO MUNDO	63	REVISAR	JARDIM NOVO MUNDO (13) | JARDIM COLORADO (10) | JARDIM NOVA ESPERANCA (6) | JARDIM CURITIBA IV (4) | JARDIM DAS HORTENCIAS (3) | VILA JOAO VAZ (2) | NOVO PLANALTO (2) | VILA CRISTINA CONTINUACAO (2) | MANSOES PARAISO (2) | JARDIM VISTA BELA (1) | JARDIM GRAMADO (1) | CANDIDA DE MORAIS (1) | ESTRELA DALVA (1) | JARDIM LIBERDADE (1) | MORADA DO SOL (1) | VILA MUTIRAO (1) | NOROESTE (1) | VILA ROMANA (1) | PARQUE INDUSTRIAL PAULISTA (1) | JARDIM PETROPOLIS (1) | VILA REGINA (1) | RESIDENCIAL FORTALEZA (1) | SANTOS DUMONT (1) | CONJUNTO RESIDENCIAL ARUANA III (1) | VILA MARTINS (1) | DA VITORIA (1) | CAPUAVA (1) | JARDIM NOVO PETROPOLIS (1)
74408098	JARDIM DAS HORTENCIAS	1	AUTO	JARDIM DAS HORTÊNCIAS (1)
74410010	NOVO MUNDO	1	AUTO	NOVO MUNDO (1)
74410090	JARDIM NOVO MUNDO	1	AUTO	JARDIM NOVO MUNDO (1)
74410400	JARDIM NOVO MUNDO	1	AUTO	JARDIM NOVO MUNDO (1)
74413630	VILA FINSOCIAL	1	AUTO	VILA FINSOCIAL (1)
74420010	VILA SANTA RITA	3	AUTO	VILA SANTA RITA (3)
74420455	SOLANGE PARK 1	1	AUTO	SOLANGE PARK 1 (1)
74423160	SANTOS DUMONT	1	AUTO	SANTOS DUMONT (1)
74423543	CIDADE JARDIM	1	AUTO	CIDADE JARDIM (1)
74425115	MORADA DO SOL	1	AUTO	MORADA DO SOL (1)
74425430	JARDIM NOVO MUNDO	1	AUTO	JARDIM NOVO MUNDO (1)
74430380	NOVO PLANALTO	1	AUTO	NOVO PLANALTO (1)
74433050	ESPLANADA DO ANICUNS	1	AUTO	ESPLANADA DO ANICUNS (1)
74433060	ESPLANADA DO ANICUNS	2	AUTO	ESPLANADA DO ANICUNS (2)
74433090	ESPLANADA DO ANICUNS	2	AUTO	ESPLANADA DO ANICUNS (2)
74433130	ESPLANADA DO ANICUNS	1	AUTO	ESPLANADA DO ANICUNS (1)
74433150	ESPLANADA DO ANICUNS	7	AUTO	ESPLANADA DO ANICUNS (7)
74433180	ESPLANADA DO ANICUNS	4	AUTO	ESPLANADA DO ANICUNS (4)
74433190	ESPLANADA DO ANICUNS	1	AUTO	Esplanada do Anicuns (1)
74433220	ESPLANADA DO ANICUNS	2	AUTO	ESPLANADA DO ANICUNS (2)
74433380	SANTOS DUMONT	1	AUTO	SETOR SANTOS DUMONT (1)
74435020	AEROVIARIO	1	AUTO	Aeroviário (1)
74435030	AEROVIARIO	10	VARIACAO	SETOR AEROVIÁRIO (5) | AEROVIÁRIO (5)
74435040	AEROVIARIO	1	AUTO	SETOR AEROVIARIO (1)
74435050	AEROVIARIO	2	VARIACAO	SETOR AEROVIARIO (1) | AEROVIÁRIO (1)
74435060	AEROVIARIO	3	VARIACAO	AEROVIÁRIO (2) | SETOR AEROVIÁRIO (1)
74435090	AEROVIARIO	14	VARIACAO	AEROVIÁRIO (7) | SETOR AEROVIARIO (6) | AEOROVIARIO (1)
74435100	AEROVIARIO	1	AUTO	Aeroviário (1)
74435110	AEROVIARIO	15	VARIACAO	SETOR AEROVIARIO (9) | AEROVIÁRIO (6)
74435115	AEROVIARIO	9	REVISAR	AEROVIARIO (8) | VILA SAO JOSE (1)
74435120	AEROVIARIO	8	VARIACAO	Aeroviário (5) | SETOR AEROVIARIO (3)
74435180	AEROVIARIO	3	AUTO	SETOR AEROVIARIO (3)
74435190	AEROVIARIO	1	AUTO	SETOR AEROVIÁRIO (1)
74435200	AEROVIARIO	15	VARIACAO	AEROVIÁRIO (9) | SETOR AEROVIARIO (6)
74435220	AEROVIARIO	5	VARIACAO	SETOR AEROVIARIO (3) | Aeroviário (2)
74435230	AEROVIARIO	6	VARIACAO	SETOR AEROVIARIO (3) | AEROVIARIO (2) | AEOROVIÁRIO (1)
74435240	AEROVIARIO	2	VARIACAO	SETOR AEROVIARIO (1) | AEROVIÁRIO (1)
74435250	AEROVIARIO	3	VARIACAO	SETOR AEROVIARIO (2) | AEROVIARIO (1)
74435260	AEROVIARIO	4	VARIACAO	AEROVIÁRIO (2) | AEOROVIARIO (1) | SETOR AEROVIARIO (1)
74435265	AEROVIARIO	2	VARIACAO	AEROVIÁRIO (1) | SETOR AEROVIARIO (1)
74435270	AEROVIARIO	1	AUTO	AEROVIÁRIO (1)
74435280	AEROVIARIO	7	REVISAR	AEROVIARIO (6) | VILA SAO JOSE (1)
74435290	AEROVIARIO	8	VARIACAO	AEROVIÁRIO (4) | SETOR AEROVIARIO (4)
74435299	AEROVIARIO	1	AUTO	SETOR AEROVIARIO (1)
74435320	AEROVIARIO	2	AUTO	SETOR AEROVIARIO (2)
74435970	MANSOES PARAISO	1	AUTO	MANSÕES PARAÍSO (1)
74440000	VILA JOAO VAZ	1	AUTO	VILA JOAO VAZ (1)
74440010	VILA SAO JOSE	1	AUTO	VILA SÃO JOSÉ (1)
74440030	VILA SAO JOSE	2	REVISAR	VILA SAO JOSE (1) | SAO JOSE (1)
74440050	SAO JOSE	2	AUTO	SETOR SÃO JOSÉ (2)
74440060	SAO JOSE	16	REVISAR	SAO JOSE (12) | VILA SAO JOSE (4)
74440070	SAO JOSE	1	AUTO	SETOR SÃO JOSÉ (1)
74440080	VILA SAO JOSE	3	REVISAR	VILA SAO JOSE (2) | SAO JOSE (1)
74440090	SAO JOSE	1	AUTO	SETOR SÃO JOSE (1)
74440120	SAO JOSE	3	REVISAR	SAO JOSE (2) | AEROVIARIO (1)
74440130	SAO JOSE	4	REVISAR	SAO JOSE (3) | VILA SAO JOSE (1)
74440140	SAO JOSE	4	REVISAR	SAO JOSE (3) | VILA SAO JOSE (1)
