CEP	CLIENTES	CANDIDATO	PERCENTUAL_CANDIDATO	FAMILIAS
74450170	19	CAPUAVA	94.7%	CAPUAVA (18) | CANDIDA DE MORAES (1)
74450300	4	CAPUAVA	50.0%	CAPUAVA (2) | JARDIM GRAMADO (1) | PERIM (1)
74450470	6	CAPUAVA	83.3%	CAPUAVA (5) | MARABA (1)
74455070	6	JARDIM NOVA ESPERANCA	83.3%	JARDIM NOVA ESPERANCA (5) | NOVA ESPERANCA (1)
74460020	23	JARDIM PETROPOLIS	95.7%	JARDIM PETROPOLIS (22) | JARDIM PETROPLIS (1)
74460110	2	JARDIM PETROPOLIS	50.0%	JARDIM PETROPOLIS (1) | JARDIM LIBERDADE (1)
74460500	7	JARDIM PETROPOLIS	71.4%	JARDIM PETROPOLIS (5) | VILA REGINA (2)
74460970	3	VILA FINSOCIAL	33.3%	VILA FINSOCIAL (1) | MORADA DO SOL (1) | VALE DOS CARAIBAS (1)
74463030	2	SANTOS DUMONT	50.0%	SANTOS DUMONT (1) | PARQUE INDUSTRIAL PAULISTA (1)
74463100	8	PARQUE INDUSTRIAL PAULISTA	87.5%	PARQUE INDUSTRIAL PAULISTA (7) | PARQUE INDUSTRIAL (1)
74463150	11	CANDIDA DE MORAIS	63.6%	CANDIDA DE MORAIS (7) | CANDIDA DE MORAES (3) | CONDOMINIO MARESIA RESIDENCIAL ITAMARACA (1)
74463160	6	CANDIDA DE MORAIS	66.7%	CANDIDA DE MORAIS (4) | CANDIDA DE MORAES (2)
74463165	19	CANDIDA DE MORAIS	63.2%	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (4) | SANTOS DUMONT (2) | CANDIDAS DE MORAIS (1)
74463170	18	CANDIDA DE MORAES	55.6%	CANDIDA DE MORAES (10) | CANDIDA DE MORAIS (8)
74463190	14	CANDIDA DE MORAIS	85.7%	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (2)
74463200	44	CANDIDA DE MORAIS	70.5%	CANDIDA DE MORAIS (31) | CANDIDA DE MORAES (11) | CANDIDADE MORAES (1) | JARDIM NOVA ESPERANCA (1)
74463210	22	CANDIDA DE MORAIS	63.6%	CANDIDA DE MORAIS (14) | CANDIDA DE MORAES (7) | CENTRO (1)
74463220	29	CANDIDA DE MORAIS	55.2%	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (13)
74463230	20	CANDIDA DE MORAIS	65.0%	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (7)
74463240	22	CANDIDA DE MORAES	50.0%	CANDIDA DE MORAES (11) | CANDIDA DE MORAIS (10) | JARDIM NOVA ESPERANCA (1)
74463250	8	CANDIDA DE MORAIS	62.5%	CANDIDA DE MORAIS (5) | CANDIDA DE MORAES (3)
74463260	23	CANDIDA DE MORAIS	69.6%	CANDIDA DE MORAIS (16) | CANDIDA DE MORAES (7)
74463270	6	CANDIDA DE MORAIS	50.0%	CANDIDA DE MORAIS (3) | CANDIDA DE MORAES (2) | SANTOS DUMONT (1)
74463280	292	CANDIDA DE MORAES	91.1%	CANDIDA DE MORAES (266) | CANDIDA DE MORAIS (22) | JARDIM NOVA ESPERANCA (3) | CANDIDO DE MORAES (1)
74463290	4	CANDIDA DE MORAIS	50.0%	CANDIDA DE MORAIS (2) | CAPUAVA (1) | CANDIDA DE MORAES (1)
74463317	2	CAPUAVA	50.0%	CAPUAVA (1) | CANDIDA DE MORAIS (1)
74463320	15	CANDIDA DE MORAIS	86.7%	CANDIDA DE MORAIS (13) | CANDIDA DE MORAES (2)
74463330	16	CANDIDA DE MORAIS	62.5%	CANDIDA DE MORAIS (10) | CANDIDA DE MORAES (6)
74463340	16	SANTOS DUMONT	75.0%	SANTOS DUMONT (12) | CANDIDA DE MORAES (4)
74463375	2	SANTOS DUMONT	50.0%	SANTOS DUMONT (1) | CANDIDA DE MORAES (1)
74463380	24	SANTOS DUMONT	95.8%	SANTOS DUMONT (23) | JARDIM NOVA ESPERANCA (1)
74463615	5	SANTOS DUMONT	60.0%	SANTOS DUMONT (3) | CANDIDA DE MORAIS (1) | JARDIM NOVA ESPERANCA (1)
74463850	6	JARDIM BONANZA	83.3%	JARDIM BONANZA (5) | SANTOS DUMONT (1)
74464120	2	JARDIM NOVO PETROPOLIS	50.0%	JARDIM NOVO PETROPOLIS (1) | JARDIM PETROPOLIS (1)
74464130	4	JARDIM PETROPOLIS	50.0%	JARDIM PETROPOLIS (2) | JARDIM NOVO PETROPOLIS (2)
74464135	11	JARDIM NOVO PETROPOLIS	81.8%	JARDIM NOVO PETROPOLIS (9) | JARDIM PETROPOLIS (2)
74464155	4	RESIDENCIAL 14 BIS EXTENSAO	75.0%	RESIDENCIAL 14 BIS EXTENSAO (3) | RESIDENCIAL 14 BIS (1)
74465010	33	JARDIM NOVA ESPERANCA	97.0%	JARDIM NOVA ESPERANCA (32) | JARDIM NOVA ESPERANCAA (1)
74465025	15	JARDIM NOVA ESPERANCA	86.7%	JARDIM NOVA ESPERANCA (13) | CANDIDA DE MORAIS (1) | CANDIDA DE MORAES (1)
74465050	46	JARDIM NOVA ESPERANCA	97.8%	JARDIM NOVA ESPERANCA (45) | NOVA ESPERANCA (1)
74465080	2	PARQUE TREMENDAO	50.0%	PARQUE TREMENDAO (1) | JARDIM NOVA ESPERANCA (1)
74465090	4	JARDIM NOVA ESPERANCA	75.0%	JARDIM NOVA ESPERANCA (3) | PARQUE DAS FLORES (1)
74465100	81	JARDIM NOVA ESPERANCA	97.5%	JARDIM NOVA ESPERANCA (79) | NOVA ESPERANCA (1) | JARDIM GRAMADO (1)
74465140	130	JARDIM NOVA ESPERANCA	63.8%	JARDIM NOVA ESPERANCA (83) | JARDIM COLORADO (13) | JARDIM DAS HORTENCIAS (8) | NOVO PLANALTO (5) | MARABA (4) | CANDIDA DE MORAES (3) | JARDIM LIBERDADE (2) | MANSOES PARAISO (2) | NOROESTE (2) | NOVA ESPERANCA (2) | ALBINO BOAVENTURA (1) | VILA FINSOCIAL (1) | JARDIM HELLOU (1) | RESIDENCIAL MANSOES PARAISO (1) | PARQUE TREMENDAO (1) | MORADA DO SOL (1)
74465190	57	JARDIM NOVA ESPERANCA	98.2%	JARDIM NOVA ESPERANCA (56) | NOVA ESPERANCA (1)
74465215	18	JARDIM NOVA ESPERANCA	94.4%	JARDIM NOVA ESPERANCA (17) | PARQUE TREMENDAO (1)
74465280	60	JARDIM NOVA ESPERANCA	95.0%	JARDIM NOVA ESPERANCA (57) | SANTOS DUMONT (1) | CANDIDA DE MORAES (1) | NOVA ESPERANCA (1)
74465310	24	JARDIM NOVA ESPERANCA	87.5%	JARDIM NOVA ESPERANCA (21) | JARDIM NOVO MUNDO (2) | BARRA DA TIJUCA (1)
74465360	6	JARDIM NOVA ESPERANCA	83.3%	JARDIM NOVA ESPERANCA (5) | NOVA ESPERANCA (1)
74465390	46	JARDIM NOVA ESPERANCA	95.7%	JARDIM NOVA ESPERANCA (44) | NOVA ESPERANCA (2)
74465445	306	JARDIM NOVA ESPERANCA	91.2%	JARDIM NOVA ESPERANCA (279) | CANDIDA DE MORAES (26) | JARDIM COLORADO (1)
74465524	19	MARABA	89.5%	MARABA (17) | NOROESTE (2)
74465527	6	MARABA	83.3%	MARABA (5) | RESIDENCIAL SAO MARCOS (1)
74465553	2	MARABA	50.0%	MARABA (1) | NOROESTE (1)
74470015	5	FAZENDA CAVEIRA	40.0%	FAZENDA CAVEIRA (2) | CHACARAS MANSOES ROSAS DE OURO (2) | RESIDENCIAL ANGLO (1)
74470065	2	RECREIO SAO JOAQUIM	50.0%	RECREIO SAO JOAQUIM (1) | CHACARAS DE RECREIO SAO JOAQUIM (1)
74470071	3	CHACARAS MANSOES ROSAS DE OURO	66.7%	CHACARAS MANSOES ROSAS DE OURO (2) | MANSOES ROSAS DE OURO (1)
74470275	3	CHACARAS DE RECREIO SAO JOAQUIM	33.3%	CHACARAS DE RECREIO SAO JOAQUIM (1) | SANTOS DUMONT (1) | RECREIO SAO JOAQUIM (1)
74470700	10	RESIDENCIAL JARDIM HELOU	70.0%	RESIDENCIAL JARDIM HELOU (7) | JARDIM HELLOU (3)
74470705	23	JARDIM HELLOU	56.5%	JARDIM HELLOU (13) | RESIDENCIAL JARDIM HELOU (7) | JARDIM VISTA BELA (2) | JARDIM NOVA ESPERANCA (1)
74470710	17	JARDIM HELLOU	58.8%	JARDIM HELLOU (10) | RESIDENCIAL JARDIM HELOU (2) | JARDIM DAS HORTENCIAS (1) | JARDIM HELOU (1) | JARDIM VISTA BELA (1) | CHACARAS MANSOES ROSAS DE OURO (1) | JARDIM CAMARGO (1)
74470750	3	RESIDENCIAL JARDIM HELOU	66.7%	RESIDENCIAL JARDIM HELOU (2) | JARDIM HELLOU (1)
74470760	3	JARDIM COLORADO	33.3%	JARDIM COLORADO (1) | JARDIM HELLOU (1) | RESIDENCIAL JARDIM HELOU (1)
74470825	11	JARDIM CAMARGO	63.6%	JARDIM CAMARGO (7) | RESIDENCIAL JARDIM CAMARGO (3) | JARDIM COLORADO (1)
74470850	17	JARDIM CAMARGO	64.7%	JARDIM CAMARGO (11) | RESIDENCIAL JARDIM CAMARGO (6)
74470855	5	JARDIM CAMARGO	40.0%	JARDIM CAMARGO (2) | JARDIM HELLOU (2) | RESIDENCIAL JARDIM CAMARGO (1)
74473530	4	VILA FINSOCIAL	75.0%	VILA FINSOCIAL (3) | FINSOCIAL (1)
74473782	3	VILA FINSOCIAL	66.7%	VILA FINSOCIAL (2) | FINSOCIAL (1)
74473792	6	VILA FINSOCIAL	83.3%	VILA FINSOCIAL (5) | FINSOCIAL (1)
74473838	12	RESIDENCIAL MARINGA	83.3%	RESIDENCIAL MARINGA (10) | JARDIM COLORADO (2)
74474000	6	JARDIM COLORADO	83.3%	JARDIM COLORADO (5) | PARQUE TREMENDAO (1)
74474001	20	JARDIM COLORADO	90.0%	JARDIM COLORADO (18) | JARDIM DAS HORTENCIAS (1) | JARDIM VISTA BELA (1)
74474003	15	JARDIM COLORADO	93.3%	JARDIM COLORADO (14) | JARDIM HELLOU (1)
74474006	85	JARDIM COLORADO	97.6%	JARDIM COLORADO (83) | JARDIM COLORADO QD 12 LT 11 (1) | SAO CARLOS (1)
74474008	7	JARDIM COLORADO	71.4%	JARDIM COLORADO (5) | JARDIM VISTA BELA (1) | PARQUE TREMENDAO (1)
74474009	60	JARDIM COLORADO	98.3%	JARDIM COLORADO (59) | JARDIM DAS HORTENCIAS (1)
74474010	12	JARDIM COLORADO	66.7%	JARDIM COLORADO (8) | JARDIM DAS HORTENCIAS (4)
74474011	59	JARDIM COLORADO	96.6%	JARDIM COLORADO (57) | JARDIM DAS HORTENCIAS (1) | RESIDENCIAL JARDIM COLORADO (1)
74474015	10	JARDIM COLORADO	90.0%	JARDIM COLORADO (9) | MANSOES PARAISO (1)
74474017	14	JARDIM COLORADO	92.9%	JARDIM COLORADO (13) | NOVO PLANALTO (1)
74474018	33	JARDIM COLORADO	97.0%	JARDIM COLORADO (32) | JARDIM COLORADO 1 (1)
74474022	9	JARDIM COLORADO	88.9%	JARDIM COLORADO (8) | JARDIM VISTA BELA (1)
74474023	33	JARDIM COLORADO	97.0%	JARDIM COLORADO (32) | PARQUE TREMENDAO (1)
74474024	11	JARDIM COLORADO	54.5%	JARDIM COLORADO (6) | JARDIM HELLOU (2) | JARDIM VISTA BELA (2) | JARDIM CAMARGO (1)
74474030	3	VISTA BELA	66.7%	VISTA BELA (2) | JARDIM VISTA BELA (1)
74474031	6	JARDIM COLORADO	83.3%	JARDIM COLORADO (5) | RESIDENCIAL FORTALEZA (1)
74474038	4	JARDIM COLORADO	50.0%	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (2)
74474040	3	JARDIM COLORADO	66.7%	JARDIM COLORADO (2) | JARDIM DAS HORTENCIAS (1)
74474041	9	JARDIM COLORADO	88.9%	JARDIM COLORADO (8) | NOVO PLANALTO (1)
74474047	52	JARDIM COLORADO	98.1%	JARDIM COLORADO (51) | VILA MUTIRAO (1)
74474048	45	JARDIM COLORADO	95.6%	JARDIM COLORADO (43) | JARDIM DAS HORTENCIAS (1) | JARDIM VISTA BELA (1)
74474103	34	JARDIM DAS HORTENCIAS	97.1%	JARDIM DAS HORTENCIAS (33) | PARQUE TREMENDAO (1)
74474108	3	JARDIM DAS HORTENCIAS	66.7%	JARDIM DAS HORTENCIAS (2) | JARDIM COLORADO (1)
74474110	4	JARDIM DAS HORTENCIAS	75.0%	JARDIM DAS HORTENCIAS (3) | JARDIM CURITIBA IV (1)
74474114	3	JARDIM DAS HORTENCIAS	66.7%	JARDIM DAS HORTENCIAS (2) | JARDIM VISTA BELA (1)
74474115	10	JARDIM DAS HORTENCIAS	90.0%	JARDIM DAS HORTENCIAS (9) | RESIDENCIAL MARINGA (1)
74474119	2	JARDIM COLORADO	50.0%	JARDIM COLORADO (1) | JARDIM DAS HORTENCIAS (1)
74474123	17	JARDIM DAS HORTENCIAS	94.1%	JARDIM DAS HORTENCIAS (16) | JARDIM COLORADO (1)
74474129	12	JARDIM DAS HORTENCIAS	91.7%	JARDIM DAS HORTENCIAS (11) | JARDIM COLORADO (1)
74474136	12	JARDIM DAS HORTENCIAS	91.7%	JARDIM DAS HORTENCIAS (11) | PARQUE TREMENDAO (1)
74474137	7	JARDIM DAS HORTENCIAS	85.7%	JARDIM DAS HORTENCIAS (6) | JARDIN DAS HORTENCIAS (1)
74474140	25	JARDIM DAS HORTENCIAS	64.0%	JARDIM DAS HORTENCIAS (16) | JARDIM CURITIBA IV (2) | PARQUE TREMENDAO (2) | PORTAL DAS HORTENCIAS (1) | CANDIDA DE MORAES (1) | RESIDENCIAL GREEN PARK (1) | JARDIM COLORADO (1) | NOVO PLANALTO (1)
74474200	42	JARDIM VISTA BELA	88.1%	JARDIM VISTA BELA (37) | JARDIM COLORADO (5)
74474203	60	JARDIM VISTA BELA	90.0%	JARDIM VISTA BELA (54) | PARQUE TREMENDAO (1) | JARDIM LIBERDADE (1) | NOVO PLANALTO (1) | VISTA BELA (1) | JARDIM DAS HORTENCIAS (1) | MANSOES PARAISO (1)
74474204	10	JARDIM VISTA BELA	90.0%	JARDIM VISTA BELA (9) | ST MARABA (1)
74474208	9	JARDIM VISTA BELA	88.9%	JARDIM VISTA BELA (8) | JARDIM COLORADO (1)
74474212	14	JARDIM VISTA BELA	92.9%	JARDIM VISTA BELA (13) | JARDIM COLORADO (1)
74474250	23	RESIDENCIAL ANGLO	95.7%	RESIDENCIAL ANGLO (22) | JARDIM COLORADO (1)
74474257	4	JARDIM COLORADO	25.0%	JARDIM COLORADO (1) | RESIDENCIAL ANGLO (1) | RESIDENCIAL JARDIM COLORADO (1) | JARDIM COLORADO SUL (1)
74474258	2	JARDIM COLORADO	50.0%	JARDIM COLORADO (1) | RESIDENCIAL ANGLO (1)
74474410	29	RESIDENCIAL PRIVE NORTE	58.6%	RESIDENCIAL PRIVE NORTE (17) | DOM CONSTANTINO (11) | JARDIM DAS HORTENCIAS (1)
74474415	18	RESIDENCIAL PRIVE NORTE	94.4%	RESIDENCIAL PRIVE NORTE (17) | JARDIM COLORADO (1)
74474500	5	JARDIM COLORADO EXTENSAO	60.0%	JARDIM COLORADO EXTENSAO (3) | JARDIM COLORADO (2)
74474505	21	JARDIM COLORADO	57.1%	JARDIM COLORADO (12) | JARDIM COLORADO EXTENSAO (9)
74474510	6	JARDIM COLORADO	50.0%	JARDIM COLORADO (3) | JARDIM COLORADO EXTENSAO (2) | PARQUE TREMENDAO (1)
74474555	4	JARDIM COLORADO	50.0%	JARDIM COLORADO (2) | JARDIM COLORADO SUL (2)
74474605	48	JARDIM COLORADO	68.8%	JARDIM COLORADO (33) | JARDIM COLORADO I (14) | JARDIM DAS HORTENCIAS (1)
74474615	5	JARDIM COLORADO	60.0%	JARDIM COLORADO (3) | JARDIM COLORADO I (2)
74474625	16	JARDIM COLORADO	81.2%	JARDIM COLORADO (13) | JARDIM COLORADO I (3)
74474635	2	JARDIM COLORADO I	50.0%	JARDIM COLORADO I (1) | JARDIM COLORADO (1)
74474640	23	JARDIM COLORADO	69.6%	JARDIM COLORADO (16) | JARDIM COLORADO I (6) | NOROESTE (1)
74474645	15	JARDIM COLORADO	73.3%	JARDIM COLORADO (11) | JARDIM COLORADO I (3) | JARDIM COLORADO L (1)
74474665	2	JARDIM COLORADO	50.0%	JARDIM COLORADO (1) | JARDIM COLORADO II (1)
74474670	6	JARDIM COLORADO	83.3%	JARDIM COLORADO (5) | JARDIM COLORADO II (1)
74474705	3	JARDIM COLORADO	66.7%	JARDIM COLORADO (2) | JARDIM LAGO AZUL (1)
74475009	12	PARQUE TREMENDAO	91.7%	PARQUE TREMENDAO (11) | NOVO PLANALTO (1)
