TIPO	ORDEM	CLIENTES_GRUPO	NORMALIZADO	ATUAL	PADRAO	QTD
CORRECAO_ORTOGRAFICA	17	208	SETOR CANDIDA DE MORAIS	Setor Cândida de Morais	SETOR CÂNDIDA DE MORAIS	43
CORRECAO_ORTOGRAFICA	17	208	SETOR CANDIDA DE MORAIS	SETOR CANDIDA DE MORAIS	SETOR CÂNDIDA DE MORAIS	3
CORRECAO_ORTOGRAFICA	18	196	PARQUE TREMENDAO	PARQUE TREMENDAO	PARQUE TREMENDÃO	5
CORRECAO_ORTOGRAFICA	18	196	PARQUE TREMENDAO	Parque Tremendão	PARQUE TREMENDÃO	1
CORRECAO_ORTOGRAFICA	18	196	PARQUE TREMENDAO	PARQUE TREMENDÂO	PARQUE TREMENDÃO	1
CORRECAO_ORTOGRAFICA	19	171	SETOR NOVO PLANALTO	Setor Novo Planalto	SETOR NOVO PLANALTO	42
CORRECAO_ORTOGRAFICA	20	167	SETOR SAO JOSE	Setor São José	SETOR SÃO JOSÉ	40
CORRECAO_ORTOGRAFICA	20	167	SETOR SAO JOSE	SETOR SÃO JOSE	SETOR SÃO JOSÉ	7
CORRECAO_ORTOGRAFICA	20	167	SETOR SAO JOSE	SETOR SAO JOSE	SETOR SÃO JOSÉ	4
CORRECAO_ORTOGRAFICA	20	167	SETOR SAO JOSE	Setor são José	SETOR SÃO JOSÉ	1
CORRECAO_ORTOGRAFICA	21	165	VILA SAO JOSE	VILA SÃO JOSE	VILA SÃO JOSÉ	70
CORRECAO_ORTOGRAFICA	21	165	VILA SAO JOSE	Vila São José	VILA SÃO JOSÉ	26
CORRECAO_ORTOGRAFICA	21	165	VILA SAO JOSE	Vila são José	VILA SÃO JOSÉ	15
CORRECAO_ORTOGRAFICA	21	165	VILA SAO JOSE	VILA SAO JOSE	VILA SÃO JOSÉ	8
CORRECAO_ORTOGRAFICA	21	165	VILA SAO JOSE	VILA  SÃO JOSÉ	VILA SÃO JOSÉ	2
CORRECAO_ORTOGRAFICA	22	160	BAIRRO DA VITORIA	BAIRRO DA VITORIA	BAIRRO DA VITÓRIA	65
CORRECAO_ORTOGRAFICA	23	157	VILA FINSOCIAL	Vila Finsocial	VILA FINSOCIAL	11
CORRECAO_ORTOGRAFICA	24	143	VILA MUTIRAO I	Vila Mutirão I	VILA MUTIRÃO I	50
CORRECAO_ORTOGRAFICA	25	137	VILA REGINA	Vila Regina	VILA REGINA	38
CORRECAO_ORTOGRAFICA	25	137	VILA REGINA	Vila regina	VILA REGINA	1
CORRECAO_ORTOGRAFICA	26	133	JARDIM PETROPOLIS	JARDIM PETROPOLIS	JARDIM PETRÓPOLIS	42
CORRECAO_ORTOGRAFICA	26	133	JARDIM PETROPOLIS	Jardim Petrópolis	JARDIM PETRÓPOLIS	17
CORRECAO_ORTOGRAFICA	27	129	RESIDENCIAL PRIVE NORTE	RESIDENCIAL PRIVE NORTE	RESIDENCIAL PRIVÊ NORTE	65
CORRECAO_ORTOGRAFICA	27	129	RESIDENCIAL PRIVE NORTE	Residencial Privê Norte	RESIDENCIAL PRIVÊ NORTE	11
CORRECAO_ORTOGRAFICA	28	123	RESIDENCIAL FORTALEZA	Residencial Fortaleza	RESIDENCIAL FORTALEZA	10
CORRECAO_ORTOGRAFICA	29	113	SETOR MARABA	SETOR MARABA	SETOR MARABÁ	8
CORRECAO_ORTOGRAFICA	29	113	SETOR MARABA	Setor Marabá	SETOR MARABÁ	7
CORRECAO_ORTOGRAFICA	30	113	RESIDENCIAL MARINGA	RESIDENCIAL MARINGA	RESIDENCIAL MARINGÁ	10
CORRECAO_ORTOGRAFICA	30	113	RESIDENCIAL MARINGA	Residencial Maringá	RESIDENCIAL MARINGÁ	10
CORRECAO_ORTOGRAFICA	31	99	SETOR PERIM	Setor Perim	SETOR PERIM	11
CORRECAO_ORTOGRAFICA	32	99	SETOR AEROVIARIO	SETOR AEROVIARIO	SETOR AEROVIÁRIO	84
CORRECAO_ORTOGRAFICA	33	97	SETOR PROGRESSO	Setor Progresso	SETOR PROGRESSO	11
CORRECAO_ORTOGRAFICA	33	97	SETOR PROGRESSO	SETOR  PROGRESSO	SETOR PROGRESSO	1
CORRECAO_ORTOGRAFICA	34	96	JARDIM CURITIBA	Jardim Curitiba	JARDIM CURITIBA	38
CORRECAO_ORTOGRAFICA	35	91	SETOR NOROESTE	Setor Noroeste	SETOR NOROESTE	6
CORRECAO_ORTOGRAFICA	36	81	RESIDENCIAL MANSOES PARAISO	Residencial Mansões Paraíso	RESIDENCIAL MANSÕES PARAÍSO	31
CORRECAO_ORTOGRAFICA	36	81	RESIDENCIAL MANSOES PARAISO	RESIDENCIAL MANSÕES PARAISO	RESIDENCIAL MANSÕES PARAÍSO	5
CORRECAO_ORTOGRAFICA	36	81	RESIDENCIAL MANSOES PARAISO	RESIDENCIAL MANSOES PARAISO	RESIDENCIAL MANSÕES PARAÍSO	2
CORRECAO_ORTOGRAFICA	37	81	RESIDENCIAL GREEN PARK	Residencial Green Park	RESIDENCIAL GREEN PARK	6
CORRECAO_ORTOGRAFICA	38	80	SOLANGE PARK I	Solange Park I	SOLANGE PARK I	1
CORRECAO_ORTOGRAFICA	39	76	JARDIM CLARISSA	Jardim Clarissa	JARDIM CLARISSA	14
CORRECAO_ORTOGRAFICA	40	75	SETOR PARQUE TREMENDAO	Setor Parque Tremendão	SETOR PARQUE TREMENDÃO	31
CORRECAO_ORTOGRAFICA	40	75	SETOR PARQUE TREMENDAO	SETOR PARQUE TREMENDAO	SETOR PARQUE TREMENDÃO	1
CORRECAO_ORTOGRAFICA	41	67	VILA MORAIS	Vila Morais	VILA MORAIS	4
CORRECAO_ORTOGRAFICA	42	64	DA VITORIA	Da Vitória	DA VITÓRIA	23
CORRECAO_ORTOGRAFICA	42	64	DA VITORIA	Da Vitoria	DA VITÓRIA	1
CORRECAO_ORTOGRAFICA	43	63	AEROVIARIO	Aeroviário	AEROVIÁRIO	23
CORRECAO_ORTOGRAFICA	43	63	AEROVIARIO	AEROVIARIO	AEROVIÁRIO	6
CORRECAO_ORTOGRAFICA	44	62	VILA MUTIRAO II	Vila Mutirão II	VILA MUTIRÃO II	20
CORRECAO_ORTOGRAFICA	45	62	VILA MARIA DILCE	Vila Maria Dilce	VILA MARIA DILCE	12
CORRECAO_ORTOGRAFICA	46	60	JARDIM GRAMADO	Jardim Gramado	JARDIM GRAMADO	5
CORRECAO_ORTOGRAFICA	46	60	JARDIM GRAMADO	JARDIM  GRAMADO	JARDIM GRAMADO	1
CORRECAO_ORTOGRAFICA	47	59	JARDIM BONANZA	Jardim Bonanza	JARDIM BONANZA	13
CORRECAO_ORTOGRAFICA	48	58	RESIDENCIAL GOIANIA VIVA	RESIDENCIAL GOIÂNIA VIVA	RESIDÊNCIAL GOIÂNIA VIVA	48
CORRECAO_ORTOGRAFICA	48	58	RESIDENCIAL GOIANIA VIVA	RESIDENCIAL GOIANIA VIVA	RESIDÊNCIAL GOIÂNIA VIVA	9
CORRECAO_ORTOGRAFICA	49	58	RESIDENCIAL ANGLO	Residencial Anglo	RESIDENCIAL ANGLO	5
CORRECAO_ORTOGRAFICA	50	55	PARQUE INDUSTRIAL JOAO BRAZ	PARQUE INDUSTRIAL JOAO BRAZ	PARQUE INDUSTRIAL JOÃO BRAZ	7
CORRECAO_ORTOGRAFICA	50	55	PARQUE INDUSTRIAL JOAO BRAZ	Parque Industrial João Braz	PARQUE INDUSTRIAL JOÃO BRAZ	1
CORRECAO_ORTOGRAFICA	51	49	SOLANGE PARK II	Solange Park II	SOLANGE PARK II	2
CORRECAO_ORTOGRAFICA	52	48	AGUA BRANCA	AGUA BRANCA	ÁGUA BRANCA	14
CORRECAO_ORTOGRAFICA	52	48	AGUA BRANCA	Água Branca	ÁGUA BRANCA	3
CORRECAO_ORTOGRAFICA	52	48	AGUA BRANCA	AGUÁ BRANCA	ÁGUA BRANCA	2
CORRECAO_ORTOGRAFICA	53	47	VILA MARIA LUIZA	Vila Maria Luiza	VILA MARIA LUIZA	2
CORRECAO_ORTOGRAFICA	54	47	VILA CRISTINA	Vila Cristina	VILA CRISTINA	1
CORRECAO_ORTOGRAFICA	55	47	GOIA	Goiá	GOIÁ	3
CORRECAO_ORTOGRAFICA	56	38	RESIDENCIAL ITAMARACA	RESIDENCIAL ITAMARACA	RESIDENCIAL ITAMARACÁ	10
CORRECAO_ORTOGRAFICA	56	38	RESIDENCIAL ITAMARACA	Residencial Itamaracá	RESIDENCIAL ITAMARACÁ	9
CORRECAO_ORTOGRAFICA	57	37	RESIDENCIAL HUGO DE MORAES	Residencial Hugo de Moraes	RESIDENCIAL HUGO DE MORAES	3
CORRECAO_ORTOGRAFICA	58	34	RESIDENCIAL 14 BIS	Residencial 14 Bis	RESIDENCIAL 14 BIS	9
CORRECAO_ORTOGRAFICA	59	32	SETOR BARRA DA TIJUCA	Setor Barra da Tijuca	SETOR BARRA DA TIJUCA	8
CORRECAO_ORTOGRAFICA	60	32	JARDIM COLORADO I	Jardim Colorado I	JARDIM COLORADO I	12
CORRECAO_ORTOGRAFICA	61	30	JARDIM BRASIL	Jardim Brasil	JARDIM BRASIL	7
CORRECAO_ORTOGRAFICA	62	30	CHACARAS MANSOES ROSAS DE OURO	CHACARAS MANSOES ROSAS DE OURO	CHÁCARAS MANSÕES ROSAS DE OURO	11
CORRECAO_ORTOGRAFICA	62	30	CHACARAS MANSOES ROSAS DE OURO	Chácaras Mansões Rosas de Ouro	CHÁCARAS MANSÕES ROSAS DE OURO	7
CORRECAO_ORTOGRAFICA	63	29	JARDIM CALIFORNIA	JARDIM CALIFORNIA	JARDIM CALIFÓRNIA	7
CORRECAO_ORTOGRAFICA	63	29	JARDIM CALIFORNIA	Jardim Califórnia	JARDIM CALIFÓRNIA	7
CORRECAO_ORTOGRAFICA	64	29	ESPLANADA DO ANICUNS	Esplanada do Anicuns	ESPLANADA DO ANICUNS	3
CORRECAO_ORTOGRAFICA	65	27	SETOR MORADA DO SOL	Setor Morada do Sol	SETOR MORADA DO SOL	6
CORRECAO_ORTOGRAFICA	66	25	RESIDENCIAL BUENA VISTA I	Residencial Buena Vista I	RESIDENCIAL BUENA VISTA I	3
CORRECAO_ORTOGRAFICA	67	25	JARDIM MIRABEL	Jardim Mirabel	JARDIM MIRABEL	2
CORRECAO_ORTOGRAFICA	68	21	JARDIM NOVO PETROPOLIS	Jardim Novo Petrópolis	JARDIM NOVO PETRÓPOLIS	8
CORRECAO_ORTOGRAFICA	68	21	JARDIM NOVO PETROPOLIS	JARDIM NOVO PETROPOLIS	JARDIM NOVO PETRÓPOLIS	2
CORRECAO_ORTOGRAFICA	69	20	RESIDENCIAL SENADOR ALBINO BOAVENTURA	Residencial Senador Albino Boaventura	RESIDENCIAL SENADOR ALBINO BOAVENTURA	5
CORRECAO_ORTOGRAFICA	70	19	RESIDENCIAL SAO MARCOS	RESIDENCIAL SAO MARCOS	RESIDENCIAL SÃO MARCOS	2
CORRECAO_ORTOGRAFICA	70	19	RESIDENCIAL SAO MARCOS	Residencial São Marcos	RESIDENCIAL SÃO MARCOS	1
CORRECAO_ORTOGRAFICA	71	19	RESIDENCIAL JARDIM HELOU	Residencial Jardim Helou	RESIDENCIAL JARDIM HELOU	5
CORRECAO_ORTOGRAFICA	72	19	CANDIDA DE MORAIS	CANDIDA DE MORAIS	CÂNDIDA DE MORAIS	17
CORRECAO_ORTOGRAFICA	73	18	CONJUNTO RIVIERA	Conjunto Riviera	CONJUNTO RIVIERA	6
CORRECAO_ORTOGRAFICA	74	17	SAO JOSE	SÃO JOSE	SÃO JOSÉ	5
CORRECAO_ORTOGRAFICA	74	17	SAO JOSE	SAO JOSE	SÃO JOSÉ	4
CORRECAO_ORTOGRAFICA	75	16	PARQUE INDUSTRIAL PAULISTA	Parque Industrial Paulista	PARQUE INDUSTRIAL PAULISTA	3
CORRECAO_ORTOGRAFICA	76	15	SETOR SEVENE	Setor Sevene	SETOR SEVENE	1
CORRECAO_ORTOGRAFICA	77	15	JARDIM COLORADO EXTENSAO	Jardim Colorado Extensão	JARDIM COLORADO EXTENSÃO	1
CORRECAO_ORTOGRAFICA	78	13	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVE	CAPUAVA RESIDENCIAL PRIVÊ	6
CORRECAO_ORTOGRAFICA	78	13	CAPUAVA RESIDENCIAL PRIVE	Capuava Residencial Privê	CAPUAVA RESIDENCIAL PRIVÊ	2
CORRECAO_ORTOGRAFICA	79	12	RESIDENCIAL JARDIM CAMARGO	Residencial Jardim Camargo	RESIDENCIAL JARDIM CAMARGO	3
CORRECAO_ORTOGRAFICA	80	12	JARDIM CURITIBA 4	Jardim Curitiba 4	JARDIM CURITIBA 4	6
CORRECAO_ORTOGRAFICA	81	11	RESIDENCIAL PRIMAVERA	Residencial Primavera	RESIDENCIAL PRIMAVERA	1
CORRECAO_ORTOGRAFICA	82	11	RESIDENCIAL OLINDA	Residencial Olinda	RESIDENCIAL OLINDA	2
CORRECAO_ORTOGRAFICA	83	10	RESIDENCIAL VALE DO ARAGUAIA	Residencial Vale do Araguaia	RESIDENCIAL VALE DO ARAGUAIA	2
CORRECAO_ORTOGRAFICA	84	10	PARQUE PARAISO	PARQUE PARAISO	PARQUE PARAÍSO	1
CORRECAO_ORTOGRAFICA	84	10	PARQUE PARAISO	Parque Paraíso	PARQUE PARAÍSO	1
CORRECAO_ORTOGRAFICA	85	9	RESIDENCIAL SANTA EFIGENIA	RESIDENCIAL SANTA EFIGENIA	RESIDENCIAL SANTA EFIGÊNIA	2
CORRECAO_ORTOGRAFICA	86	9	JARDIM BOTANICO	JARDIM BOTANICO	JARDIM BOTÂNICO	2
CORRECAO_ORTOGRAFICA	87	8	VALE DOS CARAIBAS	VALE DOS CARAIBAS	VALE DOS CARAÍBAS	7
CORRECAO_ORTOGRAFICA	88	8	SETOR ESTRELA DALVA	Setor Estrela Dalva	SETOR ESTRELA DALVA	3
CORRECAO_ORTOGRAFICA	89	8	RESIDENCIAL MONTE PASCOAL	Residencial Monte Pascoal	RESIDENCIAL MONTE PASCOAL	1
CORRECAO_ORTOGRAFICA	90	7	RESIDENCIAL SONHO VERDE	RESIDENCIAL SONHO VERDE	Residencial Sonho Verde	3
CORRECAO_ORTOGRAFICA	91	7	BAIRRO GOIA	BAIRRO GOIA	BAIRRO GOIÁ	1
CORRECAO_ORTOGRAFICA	92	6	RESIDENCIAL 14 BIS EXTENSAO	Residencial 14 Bis Extensão	RESIDENCIAL 14 BIS EXTENSÃO	1
CORRECAO_ORTOGRAFICA	93	6	PARQUE MARACANA	PARQUE MARACANA	PARQUE MARACANÃ	2
CORRECAO_ORTOGRAFICA	93	6	PARQUE MARACANA	Parque Maracanã	PARQUE MARACANÃ	1
CORRECAO_ORTOGRAFICA	94	6	BAIRRO SAO CARLOS	BAIRRO SAO CARLOS	BAIRRO SÃO CARLOS	3
CORRECAO_ORTOGRAFICA	95	5	RESIDENCIAL BRISAS DA MATA	RESIDENCIAL BRISAS DA MATA	Residencial Brisas da Mata	2
CORRECAO_ORTOGRAFICA	96	5	JARDIM DAS HORTENSIAS	JARDIM DAS HORTENSIAS	JARDIM DAS HORTÊNSIAS	3
CORRECAO_ORTOGRAFICA	97	5	JARDIM DAS HORTENCIA	JARDIM DAS HORTENCIA	JARDIM DAS HORTÊNCIA	3
CORRECAO_ORTOGRAFICA	97	5	JARDIM DAS HORTENCIA	JARDIM  DAS HORTENCIA	JARDIM DAS HORTÊNCIA	1
CORRECAO_ORTOGRAFICA	98	5	JARDIM CURITIBA 2	JARDIM CURITIBA 2	Jardim Curitiba 2	2
CORRECAO_ORTOGRAFICA	99	5	JARDIM BALNEARIO MEIA PONTE	JARDIM BALNEÁRIO MEIA PONTE	Jardim Balneário Meia Ponte	2
CORRECAO_ORTOGRAFICA	100	4	VILA CRISTINA CONTINUACAO	VILA CRISTINA CONTINUAÇAO	VILA CRISTINA CONTINUAÇÃO	2
CORRECAO_ORTOGRAFICA	100	4	VILA CRISTINA CONTINUACAO	Vila Cristina Continuação	VILA CRISTINA CONTINUAÇÃO	1
CORRECAO_ORTOGRAFICA	101	4	PARQUE SANTA MARIA	Parque Santa Maria	PARQUE SANTA MARIA	1
CORRECAO_ORTOGRAFICA	102	4	JARDIM SAO JOSE	JARDIM SÃO JOSE	JARDIM SÃO JOSÉ	1
CORRECAO_ORTOGRAFICA	103	4	JARDIM COLORADO II	Jardim Colorado II	JARDIM COLORADO II	1
CORRECAO_ORTOGRAFICA	104	4	CONDOMINIO RIO BRANCO	CONDOMINIO RIO BRANCO	CONDOMÍNIO RIO BRANCO	2
CORRECAO_ORTOGRAFICA	105	3	RESIDENCIAL CANADA	RESIDENCIAL CANÁDA	RESIDENCIAL CANADÁ	1
CORRECAO_ORTOGRAFICA	106	3	JARDIM COLORADO SUL	Jardim Colorado Sul	JARDIM COLORADO SUL	1
CORRECAO_ORTOGRAFICA	107	3	CONDOMINIO JARDIM DAS OLIVEIRAS	CONDOMINIO JARDIM DAS OLIVEIRAS	CONDOMÍNIO JARDIM DAS OLIVEIRAS	1
CORRECAO_ORTOGRAFICA	108	3	CHACARAS DE RECREIO SAO JOAQUIM	Chácaras de Recreio São Joaquim	CHÁCARAS DE RECREIO SÃO JOAQUIM	1
CORRECAO_ORTOGRAFICA	109	3	CAROLINA PARQUE	Carolina Parque	CAROLINA PARQUE	1
CORRECAO_ORTOGRAFICA	110	3	AEOROVIARIO	AEOROVIARIO	AEOROVIÁRIO	2
CORRECAO_ORTOGRAFICA	111	2	VILA SAO JOSE EXTENSAO	Vila São José Extensão	Vila são José extensão	1
CORRECAO_ORTOGRAFICA	112	2	VILA RIZZO	Vila Rizzo	VILA RIZZO	1
CORRECAO_ORTOGRAFICA	113	2	VILA MUTIRAO 1	VILA MUTIRAO 1	VILA MUTIRÃO 1	1
CORRECAO_ORTOGRAFICA	114	2	VALE DAS CARAIBAS	VALE DAS CARAIBAS	VALE DAS CARAÍBAS	1
CORRECAO_ORTOGRAFICA	115	2	RESIDENCIAL ARUANA	RESIDENCIAL ARUANA	RESIDENCIAL ARUANÃ	1
CORRECAO_ORTOGRAFICA	116	2	MARABA	MARABA	MARABÁ	1
CORRECAO_ORTOGRAFICA	117	2	JARDIM CURITIBA 1	Jardim Curitiba 1	JARDIM CURITIBA 1	1
CORRECAO_ORTOGRAFICA	118	2	CONJUNTO RESIDENCIAL ARUANA III	CONJUNTO RESIDENCIAL ARUANA III	CONJUNTO RESIDENCIAL ARUANÃ III	1
