CEP	BAIRRO_PADRAO_CANDIDATO	CLIENTES	PERCENTUAL	STATUS	VARIACOES
74371390	MOINHO DOS VENTOS	1	100.0	AUTO_UNICO	MOINHO DOS VENTOS (1)
74371435	LOTEAMENTO MOINHO DOS VENTOS	1	100.0	AUTO_UNICO	LOTEAMENTO MOINHO DOS VENTOS (1)
74371812	RESIDENCIAL RECANTO DAS EMAS	1	100.0	AUTO_UNICO	RESIDENCIAL RECANTO DAS EMAS (1)
74372093	RESIDENCIAL FIDELIS	1	100.0	AUTO_UNICO	RESIDENCIAL FIDELIS (1)
74373210	LOTEAMENTO CELINA PARK	1	100.0	AUTO_UNICO	LOTEAMENTO CELINA PARK (1)
74375030	PARQUE OESTE INDUSTRIAL	2	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (2)
74375040	PARQUE OESTE INDUSTRIAL	2	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (2)
74375150	PARQUE OESTE INDUSTRIAL	1	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (1)
74375180	PARQUE OESTE INDUSTRIAL	2	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (2)
74375280	PARQUE OESTE INDUSTRIAL	1	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (1)
74375300	PARQUE OESTE INDUSTRIAL	1	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (1)
74375495	PARQUE OESTE INDUSTRIAL	2	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (2)
74375629	RESIDENCIAL PARQUE OESTE	2	100.0	AUTO_UNICO	RESIDENCIAL PARQUE OESTE (2)
74375740	PARQUE OESTE INDUSTRIAL	1	100.0	AUTO_UNICO	PARQUE OESTE INDUSTRIAL (1)
74390086	JARDIM BOTANICO	1	100.0	AUTO_UNICO	JARDIM BOTÂNICO (1)
74390090	JARDIM BOT NICO	1	100.0	AUTO_UNICO	JARDIM BOT NICO (1)
74390100	JARDIM BOTANICO	1	100.0	AUTO_UNICO	JARDIM BOTÂNICO (1)
74390150	JARDIM BOTANICO	1	100.0	AUTO_UNICO	JARDIM BOTÂNICO (1)
74390220	JARDIM BOTANICO	2	100.0	AUTO_UNICO	JARDIM BOTANICO (2)
74390225	JARDIM BOTANICO	1	100.0	AUTO_UNICO	JARDIM BOTÂNICO (1)
74390235	CONDOMINIO RIO BRANCO	1	100.0	AUTO_UNICO	CONDOMINIO RIO BRANCO (1)
74390260	CONDOMINIO RIO BRANCO	1	100.0	AUTO_UNICO	CONDOMÍNIO RIO BRANCO (1)
74390350	CONDOMINIO RIO BRANCO	1	100.0	AUTO_UNICO	CONDOMÍNIO RIO BRANCO (1)
74390372	RESIDENCIAL DELLA PENNA	1	100.0	AUTO_UNICO	RESIDENCIAL DELLA PENNA (1)
74390375	RESIDENCIAL DELLA PENNA	2	100.0	AUTO_UNICO	RESIDENCIAL DELLA PENNA (2)
74390378	RESIDENCIAL DELLA PENNA	1	100.0	AUTO_UNICO	RESIDENCIAL DELLA PENNA (1)
74390390	JARDIM BOTANICO	1	100.0	AUTO_UNICO	JARDIM BOTANICO (1)
74390430	JARDIM BOT NICO	1	100.0	AUTO_UNICO	JARDIM BOT NICO (1)
74390460	JARDIM BOTANICO	1	100.0	AUTO_UNICO	JARDIM BOTÂNICO (1)
74390490	JARDIM BOTANICO	1	100.0	AUTO_UNICO	JARDIM BOTÂNICO (1)
74390610	VILA RIZZO	1	100.0	AUTO_UNICO	VILA RIZZO (1)
74390669	VILA RIZZO	1	100.0	AUTO_UNICO	Vila Rizzo (1)
74391020	JARDIM MARQUES DE ABREU	3	100.0	AUTO_UNICO	JARDIM MARQUES DE ABREU (3)
74391030	JARDIM MARQUES DE ABREU	1	100.0	AUTO_UNICO	JARDIM MARQUES DE ABREU (1)
74391110	JARDIM MARQUES DE ABREU	1	100.0	AUTO_UNICO	JARDIM MARQUES DE ABREU (1)
74391150	JARDIM MARQUES DE ABREU	1	100.0	AUTO_UNICO	JARDIM MARQUES DE ABREU (1)
74391190	JARDIM MARQUES DE ABREU	1	100.0	AUTO_UNICO	JARDIM MARQUES DE ABREU (1)
74391250	JARDIM ARITANA	1	100.0	AUTO_UNICO	JARDIM ARITANA (1)
74391520	LORENA PARK	1	100.0	AUTO_UNICO	LORENA PARK (1)
74392070	JARDIM ELI FORTE	2	100.0	AUTO_UNICO	JARDIM ELI FORTE (2)
74392115	CHACARAS ANHANGUERA	1	100.0	AUTO_UNICO	Chácaras Anhanguera (1)
74393140	RECREIO DOS FUNCIONARIOS PUBLICOS	1	100.0	AUTO_UNICO	RECREIO DOS FUNCIONARIOS PUBLICOS (1)
74393360	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393375	RESIDENCIAL SOLAR BOUGAINVILLE	1	100.0	AUTO_UNICO	RESIDENCIAL SOLAR BOUGAINVILLE (1)
74393392	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393400	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393415	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393460	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393530	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393550	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393560	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393570	PARQUE SANTA RITA	1	100.0	AUTO_UNICO	PARQUE SANTA RITA (1)
74393600	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393660	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393670	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393680	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393700	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393740	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393800	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393810	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	100.0	AUTO_UNICO	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74394029	JARDIM ALPHAVILLE	1	100.0	AUTO_UNICO	JARDIM ALPHAVILLE (1)
74394155	JARDIM ALPHAVILLE	1	100.0	AUTO_UNICO	JARDIM ALPHAVILLE (1)
74394200	RESIDENCIAL BUENA VISTA I	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (1)
74394205	RESIDENCIAL BUENA VISTA I	6	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (6)
74394210	RESIDENCIAL BUENA VISTA I	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (2)
74394215	RESIDENCIAL BUENA VISTA I	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (1)
74394220	RESIDENCIAL BUENA VISTA I	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (1)
74394235	RESIDENCIAL BUENA VISTA I	4	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (4)
74394245	RESIDENCIAL BUENA VISTA I	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (2)
74394250	RESIDENCIAL BUENA VISTA I	1	100.0	AUTO_UNICO	Residencial Buena Vista I (1)
74394260	RESIDENCIAL BUENA VISTA I	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA I (1)
74394335	RESIDENCIAL BUENA VISTA II	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA II (1)
74394345	RESIDENCIAL BUENA VISTA II	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA II (1)
74394355	RESIDENCIAL BUENA VISTA III	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (1)
74394395	RESIDENCIAL BUENA VISTA III	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (1)
74394400	RESIDENCIAL BUENA VISTA III	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (1)
74394405	RESIDENCIAL BUENA VISTA III	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (2)
74394410	RESIDENCIAL BUENA VISTA III	3	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (3)
74394415	RESIDENCIAL BUENA VISTA III	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (2)
74394420	RESIDENCIAL BUENA VISTA III	3	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (3)
74394430	RESIDENCIAL BUENA VISTA III	4	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (4)
74394435	RESIDENCIAL BUENA VISTA III	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (2)
74394470	RESIDENCIAL BUENA VISTA III	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (1)
74394475	RESIDENCIAL BUENA VISTA III	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (1)
74394480	RESIDENCIAL BUENA VISTA III	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA III (1)
74394500	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394520	RESIDENCIAL BUENA VISTA IV	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (2)
74394525	RESIDENCIAL BUENA VISTA IV	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (2)
74394535	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394555	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394600	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394605	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394615	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394630	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394635	RESIDENCIAL BUENA VISTA IV	2	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (2)
74394640	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394655	RESIDENCIAL BUENA VISTA IV	1	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (1)
74394660	RESIDENCIAL BUENA VISTA IV	3	100.0	AUTO_UNICO	RESIDENCIAL BUENA VISTA IV (3)
74394705	JARDIM GARDENIA	1	100.0	AUTO_UNICO	JARDIM GARDÊNIA (1)
74395003	VILLAGE SANTA RITA	1	100.0	AUTO_UNICO	VILLAGE SANTA RITA (1)
74395006	VILLAGE SANTA RITA	1	100.0	AUTO_UNICO	VILLAGE SANTA RITA (1)
74395030	SOLAR SANTA RITA	1	100.0	AUTO_UNICO	SETOR SOLAR SANTA RITA (1)
74395032	SOLAR SANTA RITA	2	100.0	AUTO_UNICO	SETOR SOLAR SANTA RITA (2)
74395038	SOLAR SANTA RITA	1	100.0	AUTO_UNICO	SETOR SOLAR SANTA RITA (1)
74395040	SOLAR SANTA RITA	1	100.0	AUTO_UNICO	SETOR SOLAR SANTA RITA (1)
74395046	SOLAR SANTA RITA	1	100.0	AUTO_UNICO	SETOR SOLAR SANTA RITA (1)
74395050	SOLAR SANTA RITA	4	100.0	AUTO_UNICO	SETOR SOLAR SANTA RITA (4)
74395056	SOLAR SANTA RITA	1	100.0	AUTO_UNICO	SETOR SOLAR SANTA RITA (1)
74395105	RESIDENCIAL VILLAGE SANTA RITA I	1	100.0	AUTO_UNICO	RESIDENCIAL VILLAGE SANTA RITA I (1)
74395210	RESIDENCIAL VILLAGE SANTA RITA III	1	100.0	AUTO_UNICO	RESIDENCIAL VILLAGE SANTA RITA III (1)
74395250	RESIDENCIAL KATIA	1	100.0	AUTO_UNICO	RESIDENCIAL KÁTIA (1)
74395510	RESIDENCIAL SANTA FE I	1	100.0	AUTO_UNICO	RESIDENCIAL SANTA FE I (1)
74395780	JARDIM EMANUELY	2	100.0	AUTO_UNICO	JARDIM EMANUELY (2)
74408098	JARDIM DAS HORTENCIAS	1	100.0	AUTO_UNICO	JARDIM DAS HORTÊNCIAS (1)
74410010	NOVO MUNDO	1	100.0	AUTO_UNICO	NOVO MUNDO (1)
74410090	JARDIM NOVO MUNDO	1	100.0	AUTO_UNICO	JARDIM NOVO MUNDO (1)
74410400	JARDIM NOVO MUNDO	1	100.0	AUTO_UNICO	JARDIM NOVO MUNDO (1)
74413630	VILA FINSOCIAL	1	100.0	AUTO_UNICO	VILA FINSOCIAL (1)
74420010	VILA SANTA RITA	3	100.0	AUTO_UNICO	VILA SANTA RITA (3)
74420455	SOLANGE PARK 1	1	100.0	AUTO_UNICO	SOLANGE PARK 1 (1)
74423160	SANTOS DUMONT	1	100.0	AUTO_UNICO	SANTOS DUMONT (1)
74423543	CIDADE JARDIM	1	100.0	AUTO_UNICO	CIDADE JARDIM (1)
74425115	MORADA DO SOL	1	100.0	AUTO_UNICO	MORADA DO SOL (1)
74425430	JARDIM NOVO MUNDO	1	100.0	AUTO_UNICO	JARDIM NOVO MUNDO (1)
74430380	NOVO PLANALTO	1	100.0	AUTO_UNICO	NOVO PLANALTO (1)
74433050	ESPLANADA DO ANICUNS	1	100.0	AUTO_UNICO	ESPLANADA DO ANICUNS (1)
74433060	ESPLANADA DO ANICUNS	2	100.0	AUTO_UNICO	ESPLANADA DO ANICUNS (2)
74433090	ESPLANADA DO ANICUNS	2	100.0	AUTO_UNICO	ESPLANADA DO ANICUNS (2)
74433130	ESPLANADA DO ANICUNS	1	100.0	AUTO_UNICO	ESPLANADA DO ANICUNS (1)
74433150	ESPLANADA DO ANICUNS	7	100.0	AUTO_UNICO	ESPLANADA DO ANICUNS (7)
74433180	ESPLANADA DO ANICUNS	4	100.0	AUTO_UNICO	ESPLANADA DO ANICUNS (4)
74433190	ESPLANADA DO ANICUNS	1	100.0	AUTO_UNICO	Esplanada do Anicuns (1)
74433220	ESPLANADA DO ANICUNS	2	100.0	AUTO_UNICO	ESPLANADA DO ANICUNS (2)
74433380	SANTOS DUMONT	1	100.0	AUTO_UNICO	SETOR SANTOS DUMONT (1)
74435020	AEROVIARIO	1	100.0	AUTO_UNICO	Aeroviário (1)
74435030	AEROVIARIO	10	100.0	AUTO_VARIACOES	SETOR AEROVIÁRIO (5) | AEROVIÁRIO (5)
74435040	AEROVIARIO	1	100.0	AUTO_UNICO	SETOR AEROVIARIO (1)
74435050	AEROVIARIO	2	100.0	AUTO_VARIACOES	SETOR AEROVIARIO (1) | AEROVIÁRIO (1)
74435060	AEROVIARIO	3	100.0	AUTO_VARIACOES	AEROVIÁRIO (2) | SETOR AEROVIÁRIO (1)
74435090	AEROVIARIO	14	100.0	AUTO_VARIACOES	AEROVIÁRIO (7) | SETOR AEROVIARIO (6) | AEOROVIARIO (1)
74435100	AEROVIARIO	1	100.0	AUTO_UNICO	Aeroviário (1)
74435110	AEROVIARIO	15	100.0	AUTO_VARIACOES	SETOR AEROVIARIO (9) | AEROVIÁRIO (6)
74435120	AEROVIARIO	8	100.0	AUTO_VARIACOES	Aeroviário (5) | SETOR AEROVIARIO (3)
74435180	AEROVIARIO	3	100.0	AUTO_UNICO	SETOR AEROVIARIO (3)
74435190	AEROVIARIO	1	100.0	AUTO_UNICO	SETOR AEROVIÁRIO (1)
74435200	AEROVIARIO	15	100.0	AUTO_VARIACOES	AEROVIÁRIO (9) | SETOR AEROVIARIO (6)
74435220	AEROVIARIO	5	100.0	AUTO_VARIACOES	SETOR AEROVIARIO (3) | Aeroviário (2)
74435230	AEROVIARIO	6	100.0	AUTO_VARIACOES	SETOR AEROVIARIO (3) | AEROVIARIO (2) | AEOROVIÁRIO (1)
74435240	AEROVIARIO	2	100.0	AUTO_VARIACOES	SETOR AEROVIARIO (1) | AEROVIÁRIO (1)
74435250	AEROVIARIO	3	100.0	AUTO_VARIACOES	SETOR AEROVIARIO (2) | AEROVIARIO (1)
74435260	AEROVIARIO	4	100.0	AUTO_VARIACOES	AEROVIÁRIO (2) | AEOROVIARIO (1) | SETOR AEROVIARIO (1)
74435265	AEROVIARIO	2	100.0	AUTO_VARIACOES	AEROVIÁRIO (1) | SETOR AEROVIARIO (1)
74435270	AEROVIARIO	1	100.0	AUTO_UNICO	AEROVIÁRIO (1)
74435290	AEROVIARIO	8	100.0	AUTO_VARIACOES	SETOR AEROVIARIO (4) | AEROVIÁRIO (4)
74435299	AEROVIARIO	1	100.0	AUTO_UNICO	SETOR AEROVIARIO (1)
74435320	AEROVIARIO	2	100.0	AUTO_UNICO	SETOR AEROVIARIO (2)
74435970	MANSOES PARAISO	1	100.0	AUTO_UNICO	MANSÕES PARAÍSO (1)
74440000	VILA JOAO VAZ	1	100.0	AUTO_UNICO	VILA JOAO VAZ (1)
74440010	VILA SAO JOSE	1	100.0	AUTO_UNICO	VILA SÃO JOSÉ (1)
74440050	SAO JOSE	2	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (2)
74440070	SAO JOSE	1	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (1)
74440090	SAO JOSE	1	100.0	AUTO_UNICO	SETOR SÃO JOSE (1)
74440150	VILA SAO JOSE	1	100.0	AUTO_UNICO	Vila São José (1)
74440160	SAO JOSE	1	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (1)
74440180	SAO JOSE	1	100.0	AUTO_UNICO	SETOR SÃO JOSE (1)
74440185	SAO JOSE	1	100.0	AUTO_UNICO	Setor São José (1)
74440220	SAO JOSE	2	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (2)
74440280	SAO JOSE	2	100.0	AUTO_VARIACOES	SAO JOSE (1) | SETOR SÃO JOSÉ (1)
74440290	SAO JOSE	3	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (3)
74440320	VILA SAO JOSE	1	100.0	AUTO_UNICO	VILA SÃO JOSÉ (1)
74440330	SAO JOSE	5	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (5)
74440350	SAO JOSE	6	100.0	AUTO_UNICO	Setor São José (6)
74440370	SAO JOSE	4	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (4)
74440380	VILA SAO JOSE	1	100.0	AUTO_UNICO	Vila São José (1)
74440400	SAO JOSE	3	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (3)
74440420	SAO JOSE	6	100.0	AUTO_VARIACOES	SETOR SÃO JOSÉ (5) | SÃO JOSÉ (1)
74440425	VILA SAO JOSE	2	100.0	AUTO_UNICO	VILA SÃO JOSE (2)
74440440	SAO JOSE	1	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (1)
74440485	SAO JOSE	3	100.0	AUTO_UNICO	Setor São José (3)
74440520	SAO JOSE	2	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (2)
74440540	SAO JOSE	2	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (2)
74440600	SAO JOSE	4	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (4)
74440610	SAO JOSE	6	100.0	AUTO_UNICO	Setor São José (6)
74440620	VILA SAO JOSE	1	100.0	AUTO_UNICO	VILA SÃO JOSE (1)
74440650	SAO JOSE	2	100.0	AUTO_UNICO	SETOR SÃO JOSE (2)
74440660	VILA SAO JOSE	1	100.0	AUTO_UNICO	VILA SÃO JOSÉ (1)
74440690	SAO JOSE	1	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (1)
74440730	SAO JOSE	1	100.0	AUTO_UNICO	Setor São José (1)
74440735	SAO JOSE	3	100.0	AUTO_UNICO	SETOR SÃO JOSÉ (3)
74440740	VILA SAO JOSE	1	100.0	AUTO_UNICO	VILA SÃO JOSÉ (1)
74440810	VILA SAO JOSE	2	100.0	AUTO_UNICO	VILA SÃO JOSÉ (2)
74440820	VILA SAO JOSE EXTENSAO	1	100.0	AUTO_UNICO	Vila são José extensão (1)
74440840	VILA SAO JOSE EXTENSAO	1	100.0	AUTO_UNICO	Vila São José Extensão (1)
74440920	VILA SAO JOSE	1	100.0	AUTO_UNICO	VILA SÃO JOSE (1)
74445010	VILA JOAO VAZ	15	100.0	AUTO_UNICO	VILA JOÃO VAZ (15)
74445020	VILA JOAO VAZ	14	100.0	AUTO_UNICO	VILA JOÃO VAZ (14)
74445040	VILA JOAO VAZ	13	100.0	AUTO_UNICO	VILA JOÃO VAZ (13)
74445050	VILA JOAO VAZ	10	100.0	AUTO_UNICO	VILA JOÃO VAZ (10)
74445060	VILA JOAO VAZ	4	100.0	AUTO_UNICO	VILA JOÃO VAZ (4)
74445070	VILA JOAO VAZ	1	100.0	AUTO_UNICO	VILA JOAO VAZ (1)
74445090	VILA JOAO VAZ	26	100.0	AUTO_UNICO	VILA JOÃO VAZ (26)
74445100	VILA JOAO VAZ	2	100.0	AUTO_UNICO	VILA JOÃO VAZ (2)
74445110	VILA JOAO VAZ	23	100.0	AUTO_UNICO	VILA JOÃO VAZ (23)
74445120	SANTOS DUMONT	2	100.0	AUTO_UNICO	SANTOS DUMONT (2)
74445130	VILA JOAO VAZ	3	100.0	AUTO_UNICO	VILA JOÃO VAZ (3)
74445140	VILA JOAO VAZ	6	100.0	AUTO_UNICO	VILA JOÃO VAZ (6)
