cep	clientes	status	bairro_padrao_gravacao	familias	motivo
74000000	4180	BLOQUEADO		JARDIM NOVA ESPERANÇA (606) | JD NOVA ESPERANÇA (8) | JARDIM NOVA ESPERANCA (6) | NOVA ESPERANÇA (3) | JD. NOVA ESPERANÇA (1) || JARDIM NOVO MUNDO (401) | NOVO MUNDO (31) | Jardim Novo Mundo (3) | JD. NOVO MUNDO (3) | JARDIM  NOVO MUNDO (1) | JD NOVO MUNDO (1) || JARDIM COLORADO (341) | JD COLORADO (2) | COLORADO (1) || JARDIM LIBERDADE (282) | JD LIBERDADE (1) | Jardim Liberdade (1) || VILA MUTIRÃO (232) | Vila Mutirão (8) | VILA MUTIRAO (6) || NOVO PLANALTO (195) || JARDIM DAS HORTENCIAS (157) | JARDIM DAS HORTÊNCIAS (24) | JD DAS HORTENCIAS (3) || SANTOS DUMONT (165) || JARDIM CURITIBA IV (128) | CURITIBA IV (1) || MANSÕES PARAISO (80) | MANSÕES PARAÍSO (15) | MANSOES PARAISO (11) | MANSÓES PARAISO (1) | MANSOÊS PARAISO (1) | MANSÔES PARAISO (1) || JARDIM VISTA BELA (101) | VISTA BELA (5) | Jardim Vista Bela (1) | SETOR VISTA BELA (1) || CANDIDA DE MORAES (97) | CÂNDIDA DE MORAES (2) | CANDIDA DE MORAES. (1) || VILA SÃO JOSE (42) | VILA SÃO JOSÉ (24) | Vila São José (12) | Vila são José (9) | VILA SAO JOSE (2) | VILA  SÃO JOSÉ (1) || VILA JOÃO VAZ (66) | VILA JOAO VAZ (3) || SÃO CARLOS (66) | SETOR SAO CARLOS (1) || CAPUAVA (64) | Capuava (2) || BAIRRO DA VITORIA (30) | BAIRRO DA VITÓRIA (22) || PARQUE TREMENDÃO (50) || RESIDENCIAL FORTALEZA (43) || VILA FINSOCIAL (42) || JARDIM PETRÓPOLIS (27) | JARDIM PETROPOLIS (15) || SETOR NOROESTE (38) | NOROESTE (2) || SETOR AEROVIARIO (29) | SETOR AEROVIÁRIO (7) | AEROVIÁRIO (2) | AEROVIARIO (2) || SETOR MARABÁ (36) | SETOR MARABA (2) | MARABÁ (1) || RESIDENCIAL PRIVE NORTE (32) | RESIDENCIAL PRIVÊ NORTE (6) || RESIDENCIAL MARINGÁ (29) | RESIDENCIAL MARINGA (5) || VILA REGINA (23) | Vila Regina (11) || MORADA DO SOL (30) || RESIDENCIAL GREEN PARK (28) || ALBINO BOAVENTURA (27) || SETOR PROGRESSO (24) | SETOR  PROGRESSO (1) || SETOR PERIM (23) | PERIM (1) | Setor Perim (1) || JARDIM CLARISSA (22) || JARDIM HELLOU (20) || VILA CRISTINA (18) || JARDIM GRAMADO (17) || VILA MARIA DILCE (17) || BARRA DA TIJUCA (16) | SETOR BARRA DA TIJUCA (1) || VILA MORAIS (17) || VILA MARIA LUIZA (15) || JARDIM BONANZA (13) || CANDIDA DE MORAIS (11) | SETOR CÂNDIDA DE MORAIS (1) | Setor Cândida de Morais (1) || JARDIM CAMARGO (12) || RESIDENCIAL ITAMARACÁ (6) | RESIDENCIAL ITAMARACA (5) || RESIDENCIAL ANGLO (10) || AGUA BRANCA (4) | ÁGUA BRANCA (3) | AGUÁ BRANCA (2) || VILA MUTIRÃO II (8) || RESIDENCIAL HUGO DE MORAES (8) || ESPLANADA DO ANICUNS (8) || RESIDENCIAL 14 BIS (8) || VALE DOS CARAIBAS (5) | SETOR VALE DOS CARAIBAS (1) | VALE DOS CARAÍBAS (1) || SETOR SEVENE (7) || SÃO JOSÉ (5) | SÃO JOSE (1) || JARDIM BRASIL (6) || VILA MARTINS (5) || PQ TREMENDÃO (2) | SETOR PQ. TREMENDÃO (1) | PQ.TREMENDÃO (1) || RESIDENCIAL MANSÕES PARAISO (3) | RESIDENCIAL MANSÕES PARAÍSO (1) || PARQUE INDUSTRIAL PAULISTA (3) || SETOR EMPRESARIAL (3) || VILA MUTIRÃO I (3) || VILA ROMANA (3) || JARDIM CALIFORNIA (2) | JD. CALIFÓRNIA (1) || CONJUNTO RIVIERA (2) | Conjunto Riviera (1) || RESIDENCIAL VALE DO ARAGUAIA (3) || CHACARAS MANSOES ROSAS DE OURO (2) || JARDIM CURITIBA II (2) || VALE DAS CARAÍBAS (1) | VALE DAS CARAIBAS (1) || RECREIO SÃO JOAQUIM (2) || JARDIM HELOU (2) || JOÃO VAZ (2) || FINSOCIAL (2) || RESIDENCIAL ANGULO (2) || JARDIM CURITIBA 4 (2) || JARDIM NOVO PETROPOLIS (1) | JD NOVO PETROPOLIS (1) || MANSÕES ROSAS DE OURO (2) || CURITIBA I (1) | JARDIM CURITIBA I (1) || RESIDENCIAL ARUANA (1) | RESIDENCIAL ARUANÃ (1) || NOVO MUNDO II (1) | JARDIM NOVO MUNDO II (1) || CONDOMINIO PORTAL DAS HORTÊNCIAS (1) || JARDIM COLORADO EXTENSÃO (1) || JARDIM COLORADO EXTEÇÃO (1) || PARUE TREMENDÃO (1) || JARDIM CURITIBA 1 (1) || RESIDENCIAL FLORESTA (1) || NOVO PLALNALTO (1) || VILA CLEMENTE (1) || JARDIM NOVA ESPERANÇAA (1) || SETOR ESTRELA DALVA (1) || CAPUAVA RESIDENCIAL PRIVÊ (1) || CH RECREIO SÃO JOAQUIM (1) || BAIRRO SAO CARLOS (1) || JARDIM CURITIBA 04 (1) || MARIA LUIZA (1) || JARDIM LAGO AZUL (1) || BAIRRO PERIM (1) || PARQUE MARACANA (1) || RESIDENCIAL ARAGUAIA (1) || VILA MULTIRÃO (1) || JARDIM EMANUELE (1) || PARQUE INDUSTRIAL JOAO BRAZ (1) || VILA MARTINS - EXTENSÃO - NOVO MUNDO (1) || PQ INDUSTRIAL PAULISTA (1) || VALE DO ARAGUAIA (1) || SÃO MARCOS I (1) || PARQUE TREMEDÃO (1) || VILA MORAIS NOVO MUNDO (1) || RESIDENCIAL ALBINO BOAVENTURA (1) || BAIRRO CAPUAVA (1) || JARDIM CURITIBA III (1) || RESIDENCIAL EMANUELE (1) || CENTRO (1) || JD. CURITIBA (1) || CONDOMINIO RIO BRANCO (1) || JARDIM CALIFONIA (1) || JARDIM EMANUELY (1) || RESIDENCIAL BUENA VISTA 4 (1) || CRIMEIA OESTE (1) || JD. EMANUELLE - NOVO MUNDO (1)	CEP possui famílias de bairros estruturalmente distintas
74000197	1	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE (1)	Todas as variantes pertencem à mesma família
74075120	1	SEGURO	SETOR AEROVIARIO	SETOR AEROVIARIO (1)	Todas as variantes pertencem à mesma família
74133090	1	SEGURO	BAIRRO DA VITORIA	BAIRRO DA VITORIA (1)	Todas as variantes pertencem à mesma família
74140000	4	BLOQUEADO		MORADA DO SOL (1) || JARDIM DAS HORTENCIAS (1) || MANSÕES PARAISO (1) || JARDIM COLORADO (1)	CEP possui famílias de bairros estruturalmente distintas
74160200	1	SEGURO	JARDIM NOVA ESPERANÇA	JARDIM NOVA ESPERANÇA (1)	Todas as variantes pertencem à mesma família
74175460	1	SEGURO	VILA MULTIDÃO LL	VILA MULTIDÃO LL (1)	Todas as variantes pertencem à mesma família
74215030	1	SEGURO	JARDIM DAS HORTÊNCIAS	JARDIM DAS HORTÊNCIAS (1)	Todas as variantes pertencem à mesma família
74230903	1	SEGURO	CANDIDA DE MORAES	CANDIDA DE MORAES (1)	Todas as variantes pertencem à mesma família
74320440	1	SEGURO	VILA JOAO VAZ	VILA JOAO VAZ (1)	Todas as variantes pertencem à mesma família
74323065	1	SEGURO	BAIRRO CAPUAVA	BAIRRO CAPUAVA (1)	Todas as variantes pertencem à mesma família
74340500	3	BLOQUEADO		JARDIM NOVA ESPERANÇA (2) || JARDIN NOVA ESPERANÇA (1)	CEP possui famílias de bairros estruturalmente distintas
74353550	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74354608	1	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354612	1	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354616	1	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354618	1	SEGURO	JARDIM CARAVELA	JARDIM CARAVELA (1)	Todas as variantes pertencem à mesma família
74354632	2	BLOQUEADO		JARDIM CARAVELAS (1) || JARDIM CARAVELAS 1ª ETAPA (1)	CEP possui famílias de bairros estruturalmente distintas
74354636	2	BLOQUEADO		JARDM CARAVELAS (1) || JARDIM CRAVELAS (1)	CEP possui famílias de bairros estruturalmente distintas
74354640	2	SEGURO	JARDIM CARAVELAS	SETOR CARAVELAS (1) | JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354643	1	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354647	1	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354665	1	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354676	1	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS (1)	Todas as variantes pertencem à mesma família
74354814	1	SEGURO	Vila são José	Vila são José (1)	Todas as variantes pertencem à mesma família
74356285	1	SEGURO	RESIDENCIAL SANTA FÉ	RESIDENCIAL SANTA FÉ (1)	Todas as variantes pertencem à mesma família
74370150	1	SEGURO	SETOR RIO FORMOSO	SETOR RIO FORMOSO (1)	Todas as variantes pertencem à mesma família
74370220	1	SEGURO	SETOR RIO FORMOSO	SETOR RIO FORMOSO (1)	Todas as variantes pertencem à mesma família
74370489	1	SEGURO	SETOR SANTA RITA VII	SETOR SANTA RITA VII (1)	Todas as variantes pertencem à mesma família
74370520	1	SEGURO	SETOR SANTA RITA VII	SETOR SANTA RITA VII (1)	Todas as variantes pertencem à mesma família
74370601	1	SEGURO	RESIDENCIAL CANADÁ	RESIDENCIAL CANADÁ (1)	Todas as variantes pertencem à mesma família
74370612	1	SEGURO	RESIDENCIAL CANADÁ	RESIDENCIAL CANADÁ (1)	Todas as variantes pertencem à mesma família
74370613	1	SEGURO	RESIDENCIAL CANÁDA	RESIDENCIAL CANÁDA (1)	Todas as variantes pertencem à mesma família
74370645	1	SEGURO	RESIDENCIAL VEREDAS DOS BURITIS	RESIDENCIAL VEREDAS DOS BURITIS (1)	Todas as variantes pertencem à mesma família
74370663	1	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS (1)	Todas as variantes pertencem à mesma família
74370675	1	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS (1)	Todas as variantes pertencem à mesma família
74370684	1	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS (1)	Todas as variantes pertencem à mesma família
74370702	1	SEGURO	RESIDENCIAL FORTEVILLE	RESIDENCIAL FORTEVILLE (1)	Todas as variantes pertencem à mesma família
74370707	1	SEGURO	RESIDENCIAL FORTEVILLE	RESIDENCIAL FORTEVILLE (1)	Todas as variantes pertencem à mesma família
74370766	1	SEGURO	RESIDENCIAL SANTA RITA - 4ª ETAPA	RESIDENCIAL SANTA RITA - 4ª ETAPA (1)	Todas as variantes pertencem à mesma família
74371070	1	SEGURO	RESIDENCIAL ELI FORTE	RESIDENCIAL ELI FORTE (1)	Todas as variantes pertencem à mesma família
74371135	1	SEGURO	RESIDENCIAL TALISMA	RESIDENCIAL TALISMA (1)	Todas as variantes pertencem à mesma família
74371350	1	SEGURO	MOINHO DOS VENTOS	MOINHO DOS VENTOS (1)	Todas as variantes pertencem à mesma família
74371390	1	SEGURO	MOINHO DOS VENTOS	MOINHO DOS VENTOS (1)	Todas as variantes pertencem à mesma família
74371435	1	SEGURO	LOTEAMENTO MOINHO DOS VENTOS	LOTEAMENTO MOINHO DOS VENTOS (1)	Todas as variantes pertencem à mesma família
74371812	1	SEGURO	RESIDENCIAL RECANTO DAS EMAS	RESIDENCIAL RECANTO DAS EMAS (1)	Todas as variantes pertencem à mesma família
74372093	1	SEGURO	RESIDENCIAL FIDELIS	RESIDENCIAL FIDELIS (1)	Todas as variantes pertencem à mesma família
74373210	1	SEGURO	LOTEAMENTO CELINA PARK	LOTEAMENTO CELINA PARK (1)	Todas as variantes pertencem à mesma família
74375030	2	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (2)	Todas as variantes pertencem à mesma família
74375040	2	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (2)	Todas as variantes pertencem à mesma família
74375110	2	BLOQUEADO		BAIRRO GOIA (1) || PARQUE OESTE INDUSTRIAL (1)	CEP possui famílias de bairros estruturalmente distintas
74375150	1	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (1)	Todas as variantes pertencem à mesma família
74375180	2	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (2)	Todas as variantes pertencem à mesma família
74375280	1	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (1)	Todas as variantes pertencem à mesma família
74375300	1	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (1)	Todas as variantes pertencem à mesma família
74375495	2	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (2)	Todas as variantes pertencem à mesma família
74375629	2	SEGURO	RESIDENCIAL PARQUE OESTE	RESIDENCIAL PARQUE OESTE (2)	Todas as variantes pertencem à mesma família
74375740	1	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL (1)	Todas as variantes pertencem à mesma família
74390086	1	SEGURO	JARDIM BOTÂNICO	JARDIM BOTÂNICO (1)	Todas as variantes pertencem à mesma família
74390090	1	SEGURO	JARDIM BOT NICO	JARDIM BOT NICO (1)	Todas as variantes pertencem à mesma família
74390100	1	SEGURO	JARDIM BOTÂNICO	JARDIM BOTÂNICO (1)	Todas as variantes pertencem à mesma família
74390150	1	SEGURO	JARDIM BOTÂNICO	JARDIM BOTÂNICO (1)	Todas as variantes pertencem à mesma família
74390220	2	SEGURO	JARDIM BOTANICO	JARDIM BOTANICO (1) | JARDIM BOTÂNICO (1)	Todas as variantes pertencem à mesma família
74390225	1	SEGURO	JARDIM BOTÂNICO	JARDIM BOTÂNICO (1)	Todas as variantes pertencem à mesma família
74390235	1	SEGURO	CONDOMINIO RIO BRANCO	CONDOMINIO RIO BRANCO (1)	Todas as variantes pertencem à mesma família
74390260	1	SEGURO	CONDOMÍNIO RIO BRANCO	CONDOMÍNIO RIO BRANCO (1)	Todas as variantes pertencem à mesma família
74390350	1	SEGURO	CONDOMÍNIO RIO BRANCO	CONDOMÍNIO RIO BRANCO (1)	Todas as variantes pertencem à mesma família
74390372	1	SEGURO	RESIDENCIAL DELLA PENNA	RESIDENCIAL DELLA PENNA (1)	Todas as variantes pertencem à mesma família
74390375	2	SEGURO	RESIDENCIAL DELLA PENNA	RESIDENCIAL DELLA PENNA (2)	Todas as variantes pertencem à mesma família
74390378	1	SEGURO	RESIDENCIAL DELLA PENNA	RESIDENCIAL DELLA PENNA (1)	Todas as variantes pertencem à mesma família
74390390	1	SEGURO	JARDIM BOTANICO	JARDIM BOTANICO (1)	Todas as variantes pertencem à mesma família
74390430	1	SEGURO	JARDIM BOT NICO	JARDIM BOT NICO (1)	Todas as variantes pertencem à mesma família
74390460	1	SEGURO	JARDIM BOTÂNICO	JARDIM BOTÂNICO (1)	Todas as variantes pertencem à mesma família
74390490	1	SEGURO	JARDIM BOTÂNICO	JARDIM BOTÂNICO (1)	Todas as variantes pertencem à mesma família
74390610	1	SEGURO	VILA RIZZO	VILA RIZZO (1)	Todas as variantes pertencem à mesma família
74390669	1	SEGURO	Vila Rizzo	Vila Rizzo (1)	Todas as variantes pertencem à mesma família
74391020	3	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU (3)	Todas as variantes pertencem à mesma família
74391030	1	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU (1)	Todas as variantes pertencem à mesma família
74391110	1	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU (1)	Todas as variantes pertencem à mesma família
74391150	1	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU (1)	Todas as variantes pertencem à mesma família
74391190	1	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU (1)	Todas as variantes pertencem à mesma família
74391250	1	SEGURO	JARDIM ARITANA	JARDIM ARITANA (1)	Todas as variantes pertencem à mesma família
74391520	1	SEGURO	LORENA PARK	LORENA PARK (1)	Todas as variantes pertencem à mesma família
74392070	2	SEGURO	JARDIM ELI FORTE	JARDIM ELI FORTE (2)	Todas as variantes pertencem à mesma família
74392115	1	SEGURO	Chácaras Anhanguera	Chácaras Anhanguera (1)	Todas as variantes pertencem à mesma família
74393140	1	SEGURO	RECREIO DOS FUNCIONARIOS PUBLICOS	RECREIO DOS FUNCIONARIOS PUBLICOS (1)	Todas as variantes pertencem à mesma família
74393360	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393375	1	SEGURO	RESIDENCIAL SOLAR BOUGAINVILLE	RESIDENCIAL SOLAR BOUGAINVILLE (1)	Todas as variantes pertencem à mesma família
74393392	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393400	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393415	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393460	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393530	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393550	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393560	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393570	1	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA (1)	Todas as variantes pertencem à mesma família
74393600	1	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)	Todas as variantes pertencem à mesma família
74393660	1	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)	Todas as variantes pertencem à mesma família
74393670	2	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)	Todas as variantes pertencem à mesma família
74393680	2	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)	Todas as variantes pertencem à mesma família
74393700	2	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)	Todas as variantes pertencem à mesma família
74393740	1	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)	Todas as variantes pertencem à mesma família
74393800	1	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)	Todas as variantes pertencem à mesma família
74393810	1	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)	Todas as variantes pertencem à mesma família
74393820	2	BLOQUEADO		LOTEAMENTO ALPHAVILLE RESIDENCIAL (1) || RESIDENCIAL ALPHAVILLE (1)	CEP possui famílias de bairros estruturalmente distintas
74394029	1	SEGURO	JARDIM ALPHAVILLE	JARDIM ALPHAVILLE (1)	Todas as variantes pertencem à mesma família
74394155	1	SEGURO	JARDIM ALPHAVILLE	JARDIM ALPHAVILLE (1)	Todas as variantes pertencem à mesma família
74394200	1	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (1)	Todas as variantes pertencem à mesma família
74394205	6	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (6)	Todas as variantes pertencem à mesma família
74394210	2	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (2)	Todas as variantes pertencem à mesma família
74394215	1	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (1)	Todas as variantes pertencem à mesma família
74394220	1	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (1)	Todas as variantes pertencem à mesma família
74394225	5	BLOQUEADO		RESIDENCIAL BUENA VISTA I (4) || RESIDENCIALBUENA VISTA I (1)	CEP possui famílias de bairros estruturalmente distintas
74394230	2	BLOQUEADO		Residencial Buena Vista I (1) || RESI8DENCIAL BUENA VISTA I (1)	CEP possui famílias de bairros estruturalmente distintas
74394235	4	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (4)	Todas as variantes pertencem à mesma família
74394240	2	BLOQUEADO		RESIDENCIAL BUENA VISTA I (1) || RESIENCIAL BUENA VISTA I (1)	CEP possui famílias de bairros estruturalmente distintas
74394245	2	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (1) | Residencial Buena Vista I (1)	Todas as variantes pertencem à mesma família
74394250	1	SEGURO	Residencial Buena Vista I	Residencial Buena Vista I (1)	Todas as variantes pertencem à mesma família
74394260	1	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I (1)	Todas as variantes pertencem à mesma família
74394335	1	SEGURO	RESIDENCIAL BUENA VISTA II	RESIDENCIAL BUENA VISTA II (1)	Todas as variantes pertencem à mesma família
74394345	1	SEGURO	RESIDENCIAL BUENA VISTA II	RESIDENCIAL BUENA VISTA II (1)	Todas as variantes pertencem à mesma família
74394355	1	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (1)	Todas as variantes pertencem à mesma família
74394395	1	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (1)	Todas as variantes pertencem à mesma família
74394400	1	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (1)	Todas as variantes pertencem à mesma família
74394405	2	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (2)	Todas as variantes pertencem à mesma família
74394410	3	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (3)	Todas as variantes pertencem à mesma família
74394415	2	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (2)	Todas as variantes pertencem à mesma família
74394420	3	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (3)	Todas as variantes pertencem à mesma família
74394430	4	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (4)	Todas as variantes pertencem à mesma família
74394435	2	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (2)	Todas as variantes pertencem à mesma família
74394470	1	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (1)	Todas as variantes pertencem à mesma família
74394475	1	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (1)	Todas as variantes pertencem à mesma família
74394480	1	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III (1)	Todas as variantes pertencem à mesma família
74394500	1	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (1)	Todas as variantes pertencem à mesma família
74394520	2	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (2)	Todas as variantes pertencem à mesma família
74394525	2	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (2)	Todas as variantes pertencem à mesma família
74394535	1	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (1)	Todas as variantes pertencem à mesma família
74394555	1	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (1)	Todas as variantes pertencem à mesma família
74394600	1	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (1)	Todas as variantes pertencem à mesma família
74394605	1	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (1)	Todas as variantes pertencem à mesma família
74394615	1	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (1)	Todas as variantes pertencem à mesma família
74394620	3	BLOQUEADO		RESIDENCIAL BUENA VISTA IV (2) || BUENA VISTA IV (1)	CEP possui famílias de bairros estruturalmente distintas
74394630	1	SEGURO	RESIDENCIAL BUENA VISTA IV	RESIDENCIAL BUENA VISTA IV (1)	Todas as variantes pertencem à mesma família
