cep	status	bairro_sugerido	bairro_principal_original	clientes_total	clientes_principal	clientes_a_alterar	percentual_principal	familias	variacoes
72460480	SEGURO	JARDIM CURITIBA IV	JARDIM CURITIBA IV	1	1	0	100.0	1	JARDIM CURITIBA IV (1)
73463480	SEGURO	SANTOS DUMONT	SANTOS DUMONT	1	1	0	100.0	1	SANTOS DUMONT (1)
74000000	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	4180	606	3574	14.64	134	JARDIM NOVA ESPERANÇA (606) | JARDIM NOVO MUNDO (401) | JARDIM COLORADO (341) | JARDIM LIBERDADE (282) | VILA MUTIRÃO (232) | NOVO PLANALTO (195) | SANTOS DUMONT (165) | JARDIM DAS HORTENCIAS (157) | JARDIM CURITIBA IV (128) | JARDIM VISTA BELA (101) | CANDIDA DE MORAES (97) | MANSÕES PARAISO (80) | SÃO CARLOS (66) | VILA JOÃO VAZ (66) | CAPUAVA (64) | PARQUE TREMENDÃO (50) | RESIDENCIAL FORTALEZA (43) | VILA FINSOCIAL (42) | VILA SÃO JOSE (42) | SETOR NOROESTE (38) | SETOR MARABÁ (36) | RESIDENCIAL PRIVE NORTE (32) | NOVO MUNDO (31) | BAIRRO DA VITORIA (30) | MORADA DO SOL (30) | RESIDENCIAL MARINGÁ (29) | SETOR AEROVIARIO (29) | RESIDENCIAL GREEN PARK (28) | ALBINO BOAVENTURA (27) | JARDIM PETRÓPOLIS (27) | JARDIM DAS HORTÊNCIAS (24) | SETOR PROGRESSO (24) | VILA SÃO JOSÉ (24) | SETOR PERIM (23) | VILA REGINA (23) | BAIRRO DA VITÓRIA (22) | JARDIM CLARISSA (22) | JARDIM HELLOU (20) | VILA CRISTINA (18) | JARDIM GRAMADO (17) | VILA MARIA DILCE (17) | VILA MORAIS (17) | BARRA DA TIJUCA (16) | JARDIM PETROPOLIS (15) | MANSÕES PARAÍSO (15) | VILA MARIA LUIZA (15) | JARDIM BONANZA (13) | JARDIM CAMARGO (12) | Vila São José (12) | CANDIDA DE MORAIS (11) | MANSOES PARAISO (11) | Vila Regina (11) | RESIDENCIAL ANGLO (10) | Vila são José (9) | ESPLANADA DO ANICUNS (8) | JD NOVA ESPERANÇA (8) | RESIDENCIAL 14 BIS (8) | RESIDENCIAL HUGO DE MORAES (8) | Vila Mutirão (8) | VILA MUTIRÃO II (8) | SETOR AEROVIÁRIO (7) | SETOR SEVENE (7) | JARDIM BRASIL (6) | JARDIM NOVA ESPERANCA (6) | RESIDENCIAL ITAMARACÁ (6) | RESIDENCIAL PRIVÊ NORTE (6) | VILA MUTIRAO (6) | RESIDENCIAL ITAMARACA (5) | RESIDENCIAL MARINGA (5) | SÃO JOSÉ (5) | VALE DOS CARAIBAS (5) | VILA MARTINS (5) | VISTA BELA (5) | AGUA BRANCA (4) | ÁGUA BRANCA (3) | Jardim Novo Mundo (3) | JD DAS HORTENCIAS (3) | JD. NOVO MUNDO (3) | NOVA ESPERANÇA (3) | PARQUE INDUSTRIAL PAULISTA (3) | RESIDENCIAL MANSÕES PARAISO (3) | RESIDENCIAL VALE DO ARAGUAIA (3) | SETOR EMPRESARIAL (3) | VILA JOAO VAZ (3) | VILA MUTIRÃO I (3) | VILA ROMANA (3) | AEROVIÁRIO (2) | AEROVIARIO (2) | AGUÁ BRANCA (2) | CÂNDIDA DE MORAES (2) | Capuava (2) | CHACARAS MANSOES ROSAS DE OURO (2) | CONJUNTO RIVIERA (2) | FINSOCIAL (2) | JARDIM CALIFORNIA (2) | JARDIM CURITIBA 4 (2) | JARDIM CURITIBA II (2) | JARDIM HELOU (2) | JD COLORADO (2) | JOÃO VAZ (2) | MANSÕES ROSAS DE OURO (2) | NOROESTE (2) | PQ TREMENDÃO (2) | RECREIO SÃO JOAQUIM (2) | RESIDENCIAL ANGULO (2) | SETOR MARABA (2) | VILA SAO JOSE (2) | BAIRRO CAPUAVA (1) | BAIRRO PERIM (1) | BAIRRO SAO CARLOS (1) | CANDIDA DE MORAES. (1) | CAPUAVA RESIDENCIAL PRIVÊ (1) | CENTRO (1) | CH RECREIO SÃO JOAQUIM (1) | COLORADO (1) | CONDOMINIO PORTAL DAS HORTÊNCIAS (1) | CONDOMINIO RIO BRANCO (1) | Conjunto Riviera (1) | CRIMEIA OESTE (1) | CURITIBA I (1) | CURITIBA IV (1) | JARDIM  NOVO MUNDO (1) | JARDIM CALIFONIA (1) | JARDIM COLORADO EXTEÇÃO (1) | JARDIM COLORADO EXTENSÃO (1) | JARDIM CURITIBA 04 (1) | JARDIM CURITIBA 1 (1) | JARDIM CURITIBA I (1) | JARDIM CURITIBA III (1) | JARDIM EMANUELE (1) | JARDIM EMANUELY (1) | JARDIM LAGO AZUL (1) | Jardim Liberdade (1) | JARDIM NOVA ESPERANÇAA (1) | JARDIM NOVO MUNDO II (1) | JARDIM NOVO PETROPOLIS (1) | Jardim Vista Bela (1) | JD LIBERDADE (1) | JD NOVO MUNDO (1) | JD NOVO PETROPOLIS (1) | JD. CALIFÓRNIA (1) | JD. CURITIBA (1) | JD. EMANUELLE - NOVO MUNDO (1) | JD. NOVA ESPERANÇA (1) | MANSÓES PARAISO (1) | MANSOÊS PARAISO (1) | MANSÔES PARAISO (1) | MARABÁ (1) | MARIA LUIZA (1) | NOVO MUNDO II (1) | NOVO PLALNALTO (1) | PARQUE INDUSTRIAL JOAO BRAZ (1) | PARQUE MARACANA (1) | PARQUE TREMEDÃO (1) | PARUE TREMENDÃO (1) | PERIM (1) | PQ INDUSTRIAL PAULISTA (1) | PQ.TREMENDÃO (1) | RESIDENCIAL ALBINO BOAVENTURA (1) | RESIDENCIAL ARAGUAIA (1) | RESIDENCIAL ARUANA (1) | RESIDENCIAL ARUANÃ (1) | RESIDENCIAL BUENA VISTA 4 (1) | RESIDENCIAL EMANUELE (1) | RESIDENCIAL FLORESTA (1) | RESIDENCIAL MANSÕES PARAÍSO (1) | SÃO JOSE (1) | SÃO MARCOS I (1) | SETOR  PROGRESSO (1) | SETOR BARRA DA TIJUCA (1) | SETOR CÂNDIDA DE MORAIS (1) | Setor Cândida de Morais (1) | SETOR ESTRELA DALVA (1) | Setor Perim (1) | SETOR PQ. TREMENDÃO (1) | SETOR SAO CARLOS (1) | SETOR VALE DOS CARAIBAS (1) | SETOR VISTA BELA (1) | VALE DAS CARAÍBAS (1) | VALE DAS CARAIBAS (1) | VALE DO ARAGUAIA (1) | VALE DOS CARAÍBAS (1) | VILA  SÃO JOSÉ (1) | VILA CLEMENTE (1) | VILA MARTINS - EXTENSÃO - NOVO MUNDO (1) | VILA MORAIS NOVO MUNDO (1) | VILA MULTIRÃO (1)
74000197	SEGURO	JARDIM LIBERDADE	JARDIM LIBERDADE	1	1	0	100.0	1	JARDIM LIBERDADE (1)
74075120	SEGURO	AEROVIARIO	SETOR AEROVIARIO	1	1	0	100.0	1	SETOR AEROVIARIO (1)
74133090	SEGURO	DA VITORIA	BAIRRO DA VITORIA	1	1	0	100.0	1	BAIRRO DA VITORIA (1)
74140000	BLOQUEADO	JARDIM COLORADO	JARDIM COLORADO	4	1	3	25.0	4	JARDIM COLORADO (1) | JARDIM DAS HORTENCIAS (1) | MANSÕES PARAISO (1) | MORADA DO SOL (1)
74160200	SEGURO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	1	1	0	100.0	1	JARDIM NOVA ESPERANÇA (1)
74175460	SEGURO	VILA MULTIDAO LL	VILA MULTIDÃO LL	1	1	0	100.0	1	VILA MULTIDÃO LL (1)
74215030	SEGURO	JARDIM DAS HORTENCIAS	JARDIM DAS HORTÊNCIAS	1	1	0	100.0	1	JARDIM DAS HORTÊNCIAS (1)
74230903	SEGURO	CANDIDA DE MORAES	CANDIDA DE MORAES	1	1	0	100.0	1	CANDIDA DE MORAES (1)
74320440	SEGURO	VILA JOAO VAZ	VILA JOAO VAZ	1	1	0	100.0	1	VILA JOAO VAZ (1)
74323065	SEGURO	CAPUAVA	BAIRRO CAPUAVA	1	1	0	100.0	1	BAIRRO CAPUAVA (1)
74340500	BLOQUEADO	JARDIM NOVA ESPERANCA	JARDIM NOVA ESPERANÇA	3	2	1	66.67	2	JARDIM NOVA ESPERANÇA (2) | JARDIN NOVA ESPERANÇA (1)
74353550	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74354608	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS	1	1	0	100.0	1	JARDIM CARAVELAS (1)
74354612	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS	1	1	0	100.0	1	JARDIM CARAVELAS (1)
74354616	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS	1	1	0	100.0	1	JARDIM CARAVELAS (1)
74354618	SEGURO	JARDIM CARAVELA	JARDIM CARAVELA	1	1	0	100.0	1	JARDIM CARAVELA (1)
74354632	BLOQUEADO	JARDIM CARAVELAS	JARDIM CARAVELAS	2	1	1	50.0	2	JARDIM CARAVELAS (1) | JARDIM CARAVELAS 1ª ETAPA (1)
74354636	BLOQUEADO	JARDIM CRAVELAS	JARDIM CRAVELAS	2	1	1	50.0	2	JARDIM CRAVELAS (1) | JARDM CARAVELAS (1)
74354640	BLOQUEADO	JARDIM CARAVELAS	JARDIM CARAVELAS	2	1	1	50.0	2	JARDIM CARAVELAS (1) | SETOR CARAVELAS (1)
74354643	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS	1	1	0	100.0	1	JARDIM CARAVELAS (1)
74354647	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS	1	1	0	100.0	1	JARDIM CARAVELAS (1)
74354665	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS	1	1	0	100.0	1	JARDIM CARAVELAS (1)
74354676	SEGURO	JARDIM CARAVELAS	JARDIM CARAVELAS	1	1	0	100.0	1	JARDIM CARAVELAS (1)
74354814	SEGURO	VILA SAO JOSE	Vila são José	1	1	0	100.0	1	Vila são José (1)
74356285	SEGURO	RESIDENCIAL SANTA FE	RESIDENCIAL SANTA FÉ	1	1	0	100.0	1	RESIDENCIAL SANTA FÉ (1)
74370150	SEGURO	RIO FORMOSO	SETOR RIO FORMOSO	1	1	0	100.0	1	SETOR RIO FORMOSO (1)
74370220	SEGURO	RIO FORMOSO	SETOR RIO FORMOSO	1	1	0	100.0	1	SETOR RIO FORMOSO (1)
74370489	SEGURO	SANTA RITA VII	SETOR SANTA RITA VII	1	1	0	100.0	1	SETOR SANTA RITA VII (1)
74370520	SEGURO	SANTA RITA VII	SETOR SANTA RITA VII	1	1	0	100.0	1	SETOR SANTA RITA VII (1)
74370601	SEGURO	RESIDENCIAL CANADA	RESIDENCIAL CANADÁ	1	1	0	100.0	1	RESIDENCIAL CANADÁ (1)
74370612	SEGURO	RESIDENCIAL CANADA	RESIDENCIAL CANADÁ	1	1	0	100.0	1	RESIDENCIAL CANADÁ (1)
74370613	SEGURO	RESIDENCIAL CANADA	RESIDENCIAL CANÁDA	1	1	0	100.0	1	RESIDENCIAL CANÁDA (1)
74370645	SEGURO	RESIDENCIAL VEREDAS DOS BURITIS	RESIDENCIAL VEREDAS DOS BURITIS	1	1	0	100.0	1	RESIDENCIAL VEREDAS DOS BURITIS (1)
74370663	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS	1	1	0	100.0	1	RESIDENCIAL VEREDA DOS BURITIS (1)
74370675	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS	1	1	0	100.0	1	RESIDENCIAL VEREDA DOS BURITIS (1)
74370684	SEGURO	RESIDENCIAL VEREDA DOS BURITIS	RESIDENCIAL VEREDA DOS BURITIS	1	1	0	100.0	1	RESIDENCIAL VEREDA DOS BURITIS (1)
74370702	SEGURO	RESIDENCIAL FORTEVILLE	RESIDENCIAL FORTEVILLE	1	1	0	100.0	1	RESIDENCIAL FORTEVILLE (1)
74370707	SEGURO	RESIDENCIAL FORTEVILLE	RESIDENCIAL FORTEVILLE	1	1	0	100.0	1	RESIDENCIAL FORTEVILLE (1)
74370766	SEGURO	RESIDENCIAL SANTA RITA - 4ª ETAPA	RESIDENCIAL SANTA RITA - 4ª ETAPA	1	1	0	100.0	1	RESIDENCIAL SANTA RITA - 4ª ETAPA (1)
74371070	SEGURO	RESIDENCIAL ELI FORTE	RESIDENCIAL ELI FORTE	1	1	0	100.0	1	RESIDENCIAL ELI FORTE (1)
74371135	SEGURO	RESIDENCIAL TALISMA	RESIDENCIAL TALISMA	1	1	0	100.0	1	RESIDENCIAL TALISMA (1)
74371350	SEGURO	MOINHO DOS VENTOS	MOINHO DOS VENTOS	1	1	0	100.0	1	MOINHO DOS VENTOS (1)
74371390	SEGURO	MOINHO DOS VENTOS	MOINHO DOS VENTOS	1	1	0	100.0	1	MOINHO DOS VENTOS (1)
74371435	SEGURO	LOTEAMENTO MOINHO DOS VENTOS	LOTEAMENTO MOINHO DOS VENTOS	1	1	0	100.0	1	LOTEAMENTO MOINHO DOS VENTOS (1)
74371812	SEGURO	RESIDENCIAL RECANTO DAS EMAS	RESIDENCIAL RECANTO DAS EMAS	1	1	0	100.0	1	RESIDENCIAL RECANTO DAS EMAS (1)
74372093	SEGURO	RESIDENCIAL FIDELIS	RESIDENCIAL FIDELIS	1	1	0	100.0	1	RESIDENCIAL FIDELIS (1)
74373210	SEGURO	LOTEAMENTO CELINA PARK	LOTEAMENTO CELINA PARK	1	1	0	100.0	1	LOTEAMENTO CELINA PARK (1)
74375030	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	2	2	0	100.0	1	PARQUE OESTE INDUSTRIAL (2)
74375040	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	2	2	0	100.0	1	PARQUE OESTE INDUSTRIAL (2)
74375110	BLOQUEADO	GOIA	BAIRRO GOIA	2	1	1	50.0	2	BAIRRO GOIA (1) | PARQUE OESTE INDUSTRIAL (1)
74375150	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	1	1	0	100.0	1	PARQUE OESTE INDUSTRIAL (1)
74375180	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	2	2	0	100.0	1	PARQUE OESTE INDUSTRIAL (2)
74375280	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	1	1	0	100.0	1	PARQUE OESTE INDUSTRIAL (1)
74375300	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	1	1	0	100.0	1	PARQUE OESTE INDUSTRIAL (1)
74375495	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	2	2	0	100.0	1	PARQUE OESTE INDUSTRIAL (2)
74375629	SEGURO	RESIDENCIAL PARQUE OESTE	RESIDENCIAL PARQUE OESTE	2	2	0	100.0	1	RESIDENCIAL PARQUE OESTE (2)
74375740	SEGURO	PARQUE OESTE INDUSTRIAL	PARQUE OESTE INDUSTRIAL	1	1	0	100.0	1	PARQUE OESTE INDUSTRIAL (1)
74390086	SEGURO	JARDIM BOTANICO	JARDIM BOTÂNICO	1	1	0	100.0	1	JARDIM BOTÂNICO (1)
74390090	SEGURO	JARDIM BOT NICO	JARDIM BOT NICO	1	1	0	100.0	1	JARDIM BOT NICO (1)
74390100	SEGURO	JARDIM BOTANICO	JARDIM BOTÂNICO	1	1	0	100.0	1	JARDIM BOTÂNICO (1)
74390150	SEGURO	JARDIM BOTANICO	JARDIM BOTÂNICO	1	1	0	100.0	1	JARDIM BOTÂNICO (1)
74390220	SEGURO	JARDIM BOTANICO	JARDIM BOTANICO	2	1	1	100.0	1	JARDIM BOTANICO (1) | JARDIM BOTÂNICO (1)
74390225	SEGURO	JARDIM BOTANICO	JARDIM BOTÂNICO	1	1	0	100.0	1	JARDIM BOTÂNICO (1)
74390235	SEGURO	CONDOMINIO RIO BRANCO	CONDOMINIO RIO BRANCO	1	1	0	100.0	1	CONDOMINIO RIO BRANCO (1)
74390260	SEGURO	CONDOMINIO RIO BRANCO	CONDOMÍNIO RIO BRANCO	1	1	0	100.0	1	CONDOMÍNIO RIO BRANCO (1)
74390350	SEGURO	CONDOMINIO RIO BRANCO	CONDOMÍNIO RIO BRANCO	1	1	0	100.0	1	CONDOMÍNIO RIO BRANCO (1)
74390372	SEGURO	RESIDENCIAL DELLA PENNA	RESIDENCIAL DELLA PENNA	1	1	0	100.0	1	RESIDENCIAL DELLA PENNA (1)
74390375	SEGURO	RESIDENCIAL DELLA PENNA	RESIDENCIAL DELLA PENNA	2	2	0	100.0	1	RESIDENCIAL DELLA PENNA (2)
74390378	SEGURO	RESIDENCIAL DELLA PENNA	RESIDENCIAL DELLA PENNA	1	1	0	100.0	1	RESIDENCIAL DELLA PENNA (1)
74390390	SEGURO	JARDIM BOTANICO	JARDIM BOTANICO	1	1	0	100.0	1	JARDIM BOTANICO (1)
74390430	SEGURO	JARDIM BOT NICO	JARDIM BOT NICO	1	1	0	100.0	1	JARDIM BOT NICO (1)
74390460	SEGURO	JARDIM BOTANICO	JARDIM BOTÂNICO	1	1	0	100.0	1	JARDIM BOTÂNICO (1)
74390490	SEGURO	JARDIM BOTANICO	JARDIM BOTÂNICO	1	1	0	100.0	1	JARDIM BOTÂNICO (1)
74390610	SEGURO	VILA RIZZO	VILA RIZZO	1	1	0	100.0	1	VILA RIZZO (1)
74390669	SEGURO	VILA RIZZO	Vila Rizzo	1	1	0	100.0	1	Vila Rizzo (1)
74391020	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU	3	3	0	100.0	1	JARDIM MARQUES DE ABREU (3)
74391030	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU	1	1	0	100.0	1	JARDIM MARQUES DE ABREU (1)
74391110	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU	1	1	0	100.0	1	JARDIM MARQUES DE ABREU (1)
74391150	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU	1	1	0	100.0	1	JARDIM MARQUES DE ABREU (1)
74391190	SEGURO	JARDIM MARQUES DE ABREU	JARDIM MARQUES DE ABREU	1	1	0	100.0	1	JARDIM MARQUES DE ABREU (1)
74391250	SEGURO	JARDIM ARITANA	JARDIM ARITANA	1	1	0	100.0	1	JARDIM ARITANA (1)
74391520	SEGURO	LORENA PARK	LORENA PARK	1	1	0	100.0	1	LORENA PARK (1)
74392070	SEGURO	JARDIM ELI FORTE	JARDIM ELI FORTE	2	2	0	100.0	1	JARDIM ELI FORTE (2)
74392115	SEGURO	CHACARAS ANHANGUERA	Chácaras Anhanguera	1	1	0	100.0	1	Chácaras Anhanguera (1)
74393140	SEGURO	RECREIO DOS FUNCIONARIOS PUBLICOS	RECREIO DOS FUNCIONARIOS PUBLICOS	1	1	0	100.0	1	RECREIO DOS FUNCIONARIOS PUBLICOS (1)
74393360	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393375	SEGURO	RESIDENCIAL SOLAR BOUGAINVILLE	RESIDENCIAL SOLAR BOUGAINVILLE	1	1	0	100.0	1	RESIDENCIAL SOLAR BOUGAINVILLE (1)
74393392	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393400	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393415	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393460	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393530	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393550	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393560	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393570	SEGURO	PARQUE SANTA RITA	PARQUE SANTA RITA	1	1	0	100.0	1	PARQUE SANTA RITA (1)
74393600	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	1	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393660	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	1	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393670	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	2	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393680	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	2	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393700	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	2	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393740	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	1	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393800	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	1	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393810	SEGURO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	1	0	100.0	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393820	BLOQUEADO	LOTEAMENTO ALPHAVILLE RESIDENCIAL	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	1	1	50.0	2	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1) | RESIDENCIAL ALPHAVILLE (1)
74394029	SEGURO	JARDIM ALPHAVILLE	JARDIM ALPHAVILLE	1	1	0	100.0	1	JARDIM ALPHAVILLE (1)
74394155	SEGURO	JARDIM ALPHAVILLE	JARDIM ALPHAVILLE	1	1	0	100.0	1	JARDIM ALPHAVILLE (1)
74394200	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA I (1)
74394205	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	6	6	0	100.0	1	RESIDENCIAL BUENA VISTA I (6)
74394210	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	2	2	0	100.0	1	RESIDENCIAL BUENA VISTA I (2)
74394215	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA I (1)
74394220	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA I (1)
74394225	BLOQUEADO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	5	4	1	80.0	2	RESIDENCIAL BUENA VISTA I (4) | RESIDENCIALBUENA VISTA I (1)
74394230	BLOQUEADO	RESI8DENCIAL BUENA VISTA I	RESI8DENCIAL BUENA VISTA I	2	1	1	50.0	2	RESI8DENCIAL BUENA VISTA I (1) | Residencial Buena Vista I (1)
74394235	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	4	4	0	100.0	1	RESIDENCIAL BUENA VISTA I (4)
74394240	BLOQUEADO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	2	1	1	50.0	2	RESIDENCIAL BUENA VISTA I (1) | RESIENCIAL BUENA VISTA I (1)
74394245	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	2	1	1	100.0	1	RESIDENCIAL BUENA VISTA I (1) | Residencial Buena Vista I (1)
74394250	SEGURO	RESIDENCIAL BUENA VISTA I	Residencial Buena Vista I	1	1	0	100.0	1	Residencial Buena Vista I (1)
74394260	SEGURO	RESIDENCIAL BUENA VISTA I	RESIDENCIAL BUENA VISTA I	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA I (1)
74394335	SEGURO	RESIDENCIAL BUENA VISTA II	RESIDENCIAL BUENA VISTA II	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA II (1)
74394345	SEGURO	RESIDENCIAL BUENA VISTA II	RESIDENCIAL BUENA VISTA II	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA II (1)
74394355	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA III (1)
74394395	SEGURO	RESIDENCIAL BUENA VISTA III	RESIDENCIAL BUENA VISTA III	1	1	0	100.0	1	RESIDENCIAL BUENA VISTA III (1)
