CEP	CLIENTES	CATEGORIA	BAIRRO_CANDIDATO	PERCENTUAL	QTD_FAMILIAS	SIMILARIDADE	FAMILIAS	ORIGINAIS
74394225	5	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	RESIDENCIAL BUENA VISTA I	80.0	2	0.980	RESIDENCIAL BUENA VISTA I (4) | RESIDENCIALBUENA VISTA I (1)	RESIDENCIAL BUENA VISTA I (4) | RESIDENCIALBUENA VISTA I (1)
74394230	2	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	RESIDENCIAL BUENA VISTA I	50.0	2	0.980	RESIDENCIAL BUENA VISTA I (1) | RESI8DENCIAL BUENA VISTA I (1)	Residencial Buena Vista I (1) | RESI8DENCIAL BUENA VISTA I (1)
74394240	2	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	RESIENCIAL BUENA VISTA I	50.0	2	0.980	RESIENCIAL BUENA VISTA I (1) | RESIDENCIAL BUENA VISTA I (1)	RESIENCIAL BUENA VISTA I (1) | RESIDENCIAL BUENA VISTA I (1)
74394620	3	05_BAIRROS_DIFERENTES_REVISAR	RESIDENCIAL BUENA VISTA IV	66.7	2	0.700	RESIDENCIAL BUENA VISTA IV (2) | BUENA VISTA IV (1)	RESIDENCIAL BUENA VISTA IV (2) | BUENA VISTA IV (1)
74400000	63	06_CEP_AMBIGUO	JARDIM NOVO MUNDO	20.6	28	0.688	JARDIM NOVO MUNDO (13) | JARDIM COLORADO (10) | JARDIM NOVA ESPERANCA (6) | JARDIM CURITIBA IV (4) | JARDIM DAS HORTENCIAS (3) | VILA JOAO VAZ (2) | NOVO PLANALTO (2) | VILA CRISTINA CONTINUACAO (2) | MANSOES PARAISO (2) | JARDIM LIBERDADE (1) | ESTRELA DALVA (1) | MORADA DO SOL (1) | VILA MUTIRAO (1) | NOROESTE (1) | VILA ROMANA (1) | PARQUE INDUSTRIAL PAULISTA (1) | JARDIM PETROPOLIS (1) | VILA REGINA (1) | RESIDENCIAL FORTALEZA (1) | SANTOS DUMONT (1) | CONJUNTO RESIDENCIAL ARUANA III (1) | VILA MARTINS (1) | DA VITORIA (1) | CAPUAVA (1) | JARDIM NOVO PETROPOLIS (1) | JARDIM GRAMADO (1) | CANDIDA DE MORAIS (1) | JARDIM VISTA BELA (1)	JARDIM NOVO MUNDO (13) | JARDIM COLORADO (10) | JARDIM NOVA ESPERANÇA (6) | JARDIM DAS HORTENCIAS (3) | JARDIM CURITIBA 4 (2) | VILA JOAO VAZ (2) | NOVO PLANALTO (2) | JARDIM CURITIBA IV (2) | VILA CRISTINA CONTINUAÇAO (2) | MANSOES PARAISO (1) | JARDIM LIBERDADE (1) | ESTRELA DALVA (1) | MORADA DO SOL (1) | VILA MUTIRAO (1) | SETOR NOROESTE (1) | VILA ROMANA (1) | PARQUE INDUSTRIAL PAULISTA (1) | JARDIM PETROPOLIS (1) | SETOR MANSOES PARAISO (1) | VILA REGINA (1) | Residencial Fortaleza (1) | SETOR SANTOS DUMONT (1) | CONJUNTO RESIDENCIAL ARUANA III (1) | VILA MARTINS (1) | BAIRRO DA VITORIA (1) | SETOR CAPUAVA (1) | JARDIM NOVO PETROPOLIS (1) | JARDIM GRAMADO (1) | SETOR CANDIDA DE MORAIS (1) | JARDIM VISTA BELA (1)
74435115	9	05_PRINCIPAL_FORTE_REVISAR	AEROVIARIO	88.9	2	0.348	AEROVIARIO (8) | VILA SAO JOSE (1)	Aeroviário (5) | SETOR AEROVIARIO (3) | VILA  SÃO JOSÉ (1)
74435280	7	05_PRINCIPAL_FORTE_REVISAR	AEROVIARIO	85.7	2	0.348	AEROVIARIO (6) | VILA SAO JOSE (1)	AEROVIÁRIO (3) | SETOR AEROVIARIO (3) | VILA SAO JOSE (1)
74440030	2	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	50.0	2	0.762	VILA SAO JOSE (1) | SAO JOSE (1)	VILA SÃO JOSE (1) | Setor São José (1)
74440060	16	04_NOME_PARECIDO_REVISAR	SAO JOSE	75.0	2	0.762	SAO JOSE (12) | VILA SAO JOSE (4)	Setor São José (11) | VILA SÃO JOSÉ (4) | SÃO JOSÉ (1)
74440080	3	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	66.7	2	0.762	VILA SAO JOSE (2) | SAO JOSE (1)	VILA SÃO JOSE (2) | SETOR SÃO JOSÉ (1)
74440120	3	05_BAIRROS_DIFERENTES_REVISAR	SAO JOSE	66.7	2	0.333	SAO JOSE (2) | AEROVIARIO (1)	SETOR SÃO JOSÉ (2) | SETOR AEROVIARIO (1)
74440130	4	04_NOME_PARECIDO_REVISAR	SAO JOSE	75.0	2	0.762	SAO JOSE (3) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (3) | Vila São José (1)
74440140	4	04_NOME_PARECIDO_REVISAR	SAO JOSE	75.0	2	0.762	SAO JOSE (3) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (2) | Vila são José (1) | SÃO JOSE (1)
74440145	7	04_NOME_PARECIDO_REVISAR	SAO JOSE	57.1	2	0.762	SAO JOSE (4) | VILA SAO JOSE (3)	SETOR SÃO JOSÉ (4) | Vila São José (3)
74440240	7	04_NOME_PARECIDO_REVISAR	SAO JOSE	71.4	2	0.762	SAO JOSE (5) | VILA SAO JOSE (2)	SETOR SÃO JOSÉ (5) | VILA SÃO JOSÉ (2)
74440245	5	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	60.0	2	0.762	VILA SAO JOSE (3) | SAO JOSE (2)	Vila São José (3) | SETOR SÃO JOSÉ (2)
74440250	11	04_NOME_PARECIDO_REVISAR	SAO JOSE	63.6	2	0.762	SAO JOSE (7) | VILA SAO JOSE (4)	SETOR SÃO JOSÉ (7) | Vila São José (4)
74440300	9	04_NOME_PARECIDO_REVISAR	SAO JOSE	66.7	2	0.762	SAO JOSE (6) | VILA SAO JOSE (3)	SETOR SÃO JOSÉ (6) | VILA SÃO JOSÉ (3)
74440310	7	04_NOME_PARECIDO_REVISAR	SAO JOSE	85.7	2	0.762	SAO JOSE (6) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (6) | VILA SAO JOSE (1)
74440340	7	04_NOME_PARECIDO_REVISAR	SAO JOSE	57.1	2	0.762	SAO JOSE (4) | VILA SAO JOSE (3)	SETOR SÃO JOSÉ (4) | VILA SÃO JOSÉ (3)
74440360	4	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	50.0	2	0.762	VILA SAO JOSE (2) | SAO JOSE (2)	VILA SÃO JOSE (2) | SETOR SAO JOSE (2)
74440410	2	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	50.0	2	0.762	VILA SAO JOSE (1) | SAO JOSE (1)	VILA SÃO JOSÉ (1) | SETOR SÃO JOSÉ (1)
74440460	3	04_NOME_PARECIDO_REVISAR	SAO JOSE	66.7	2	0.762	SAO JOSE (2) | VILA SAO JOSE (1)	SETOR SAO JOSE (2) | VILA SAO JOSE (1)
74440470	3	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	66.7	2	0.762	VILA SAO JOSE (2) | SAO JOSE (1)	VILA SÃO JOSE (2) | SÃO JOSE (1)
74440480	8	04_NOME_PARECIDO_REVISAR	SAO JOSE	87.5	2	0.762	SAO JOSE (7) | VILA SAO JOSE (1)	Setor São José (6) | VILA SÃO JOSE (1) | SAO JOSE (1)
74440500	3	04_NOME_PARECIDO_REVISAR	SAO JOSE	66.7	2	0.762	SAO JOSE (2) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (2) | VILA SÃO JOSÉ (1)
74440510	2	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	50.0	2	0.762	VILA SAO JOSE (1) | SAO JOSE (1)	VILA SÃO JOSÉ (1) | SETOR SÃO JOSÉ (1)
74440530	7	04_NOME_PARECIDO_REVISAR	SAO JOSE	85.7	2	0.762	SAO JOSE (6) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (4) | SÃO JOSE (2) | VILA SAO JOSE (1)
74440550	11	04_NOME_PARECIDO_REVISAR	SAO JOSE	72.7	2	0.762	SAO JOSE (8) | VILA SAO JOSE (3)	Setor são José (6) | VILA SÃO JOSE (3) | SÃO JOSE (2)
74440560	7	04_NOME_PARECIDO_REVISAR	SAO JOSE	85.7	2	0.762	SAO JOSE (6) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (5) | SAO JOSE (1) | Vila são José (1)
74440590	6	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	83.3	2	0.762	VILA SAO JOSE (5) | SAO JOSE (1)	Vila São José (5) | SETOR SÃO JOSÉ (1)
74440630	5	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	60.0	2	0.762	VILA SAO JOSE (3) | SAO JOSE (2)	VILA SÃO JOSE (3) | SETOR SÃO JOSÉ (2)
74440640	11	04_NOME_PARECIDO_REVISAR	SAO JOSE	81.8	2	0.762	SAO JOSE (9) | VILA SAO JOSE (2)	SETOR SÃO JOSÉ (9) | VILA SÃO JOSÉ (2)
74440670	5	04_NOME_PARECIDO_REVISAR	SAO JOSE	80.0	2	0.762	SAO JOSE (4) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (4) | VILA SÃO JOSÉ (1)
74440700	3	04_NOME_PARECIDO_REVISAR	SAO JOSE	66.7	2	0.762	SAO JOSE (2) | VILA SAO JOSE (1)	SETOR SÃO JOSÉ (2) | VILA SÃO JOSÉ (1)
74440710	2	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	50.0	2	0.762	VILA SAO JOSE (1) | SAO JOSE (1)	VILA SÃO JOSE (1) | SETOR SÃO JOSÉ (1)
74441010	2	04_NOME_PARECIDO_REVISAR	VILA SAO JOSE	50.0	2	0.762	VILA SAO JOSE (1) | SAO JOSE (1)	VILA SÃO JOSE (1) | SETOR SÃO JOSE (1)
74445160	27	05_PRINCIPAL_FORTE_REVISAR	VILA JOAO VAZ	96.3	2	0.400	VILA JOAO VAZ (26) | CAPUAVA (1)	VILA JOÃO VAZ (26) | CAPUAVA (1)
74445190	5	05_PRINCIPAL_FORTE_REVISAR	VILA JOAO VAZ	80.0	2	0.190	VILA JOAO VAZ (4) | NOROESTE (1)	VILA JOÃO VAZ (4) | SETOR NOROESTE (1)
74445230	18	04_NOME_PARECIDO_REVISAR	VILA JOAO VAZ	94.4	2	0.762	VILA JOAO VAZ (17) | JOAO VAZ (1)	VILA JOÃO VAZ (17) | JOÃO VAZ (1)
74445260	12	05_PRINCIPAL_FORTE_REVISAR	VILA JOAO VAZ	91.7	2	0.400	VILA JOAO VAZ (11) | CAPUAVA (1)	VILA JOAO VAZ (11) | CAPUAVA (1)
74445300	2	05_BAIRROS_DIFERENTES_REVISAR	CAPUAVA RESIDENCIAL PRIVE	50.0	2	0.708	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)	CAPUAVA RESIDENCIAL PRIVE (1) | RESIDENCIAL PRIVE NORTE (1)
74445302	12	05_PRINCIPAL_FORTE_REVISAR	CAPUAVA RESIDENCIAL PRIVE	83.3	2	0.438	CAPUAVA RESIDENCIAL PRIVE (10) | CAPUAVA (2)	CAPUAVA RESIDENCIAL PRIVE (10) | CAPUAVA (2)
74445305	2	05_BAIRROS_DIFERENTES_REVISAR	RESIDENCIAL PRIVE NORTE	50.0	2	0.708	RESIDENCIAL PRIVE NORTE (1) | CAPUAVA RESIDENCIAL PRIVE (1)	RESIDENCIAL PRIVE NORTE (1) | CAPUAVA RESIDENCIAL PRIVÊ (1)
74445360	2	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	FAZENDA CAVEIRA	50.0	2	0.968	FAZENDA CAVEIRA (1) | FAZENDA CAVEIRAS (1)	FAZENDA CAVEIRA (1) | FAZENDA CAVEIRAS (1)
74450170	19	05_PRINCIPAL_FORTE_REVISAR	CAPUAVA	94.7	2	0.333	CAPUAVA (18) | CANDIDA DE MORAES (1)	CAPUAVA (18) | CANDIDA DE MORAES. (1)
74450300	4	05_BAIRROS_DIFERENTES_REVISAR	CAPUAVA	50.0	3	0.167	CAPUAVA (2) | PERIM (1) | JARDIM GRAMADO (1)	CAPUAVA (2) | SETOR PERIM (1) | JARDIM GRAMADO (1)
74450470	6	05_PRINCIPAL_FORTE_REVISAR	CAPUAVA	83.3	2	0.462	CAPUAVA (5) | MARABA (1)	CAPUAVA (5) | MARABA (1)
74455070	6	04_NOME_PARECIDO_REVISAR	JARDIM NOVA ESPERANCA	83.3	2	0.800	JARDIM NOVA ESPERANCA (5) | NOVA ESPERANCA (1)	JARDIM NOVA ESPERANÇA (5) | NOVA ESPERANÇA (1)
74460020	23	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	JARDIM PETROPOLIS	95.7	2	0.970	JARDIM PETROPOLIS (22) | JARDIM PETROPLIS (1)	JARDIM PETRÓPOLIS (22) | JARDIM PETROPLIS (1)
74460110	2	05_BAIRROS_DIFERENTES_REVISAR	JARDIM PETROPOLIS	50.0	2	0.545	JARDIM PETROPOLIS (1) | JARDIM LIBERDADE (1)	Jardim Petrópolis (1) | JARDIM LIBERDADE (1)
74460500	7	05_BAIRROS_DIFERENTES_REVISAR	JARDIM PETROPOLIS	71.4	2	0.214	JARDIM PETROPOLIS (5) | VILA REGINA (2)	JARDIM PETRÓPOLIS (5) | Vila Regina (2)
74460970	3	05_BAIRROS_DIFERENTES_REVISAR	MORADA DO SOL	33.3	3	0.400	MORADA DO SOL (1) | VALE DOS CARAIBAS (1) | VILA FINSOCIAL (1)	SETOR MORADA DO SOL (1) | VALE DOS CARAIBAS (1) | VILA FINSOCIAL (1)
74463030	2	05_BAIRROS_DIFERENTES_REVISAR	SANTOS DUMONT	50.0	2	0.256	SANTOS DUMONT (1) | PARQUE INDUSTRIAL PAULISTA (1)	SANTOS DUMONT (1) | PARQUE INDUSTRIAL PAULISTA (1)
74463100	8	04_NOME_PARECIDO_REVISAR	PARQUE INDUSTRIAL PAULISTA	87.5	2	0.791	PARQUE INDUSTRIAL PAULISTA (7) | PARQUE INDUSTRIAL (1)	PARQUE INDUSTRIAL PAULISTA (7) | PARQUE INDUSTRIAL (1)
74463150	11	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	63.6	3	0.941	CANDIDA DE MORAIS (7) | CANDIDA DE MORAES (3) | CONDOMINIO MARESIA RESIDENCIAL ITAMARACA (1)	SETOR CÂNDIDA DE MORAIS (7) | CANDIDA DE MORAES (3) | CONDOMÍNIO MARESIA , RESIDENCIAL ITAMARACÁ (1)
74463160	6	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	66.7	2	0.941	CANDIDA DE MORAIS (4) | CANDIDA DE MORAES (2)	SETOR CÂNDIDA DE MORAIS (4) | CANDIDA DE MORAES (2)
74463165	19	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAIS	63.2	4	0.941	CANDIDA DE MORAIS (12) | CANDIDA DE MORAES (4) | SANTOS DUMONT (2) | CANDIDAS DE MORAIS (1)	SETOR CÂNDIDA DE MORAIS (12) | CANDIDA DE MORAES (4) | SETOR SANTOS DUMONT (2) | CÂNDIDAS DE MORAIS (1)
74463170	18	03_ERRO_OU_GRAFIA_MUITO_PROXIMA	CANDIDA DE MORAES	55.6	2	0.941	CANDIDA DE MORAES (10) | CANDIDA DE MORAIS (8)	CANDIDA DE MORAES (10) | SETOR CÂNDIDA DE MORAIS (7) | CÂNDIDA DE MORAIS (1)
