CEP	BAIRRO_PADRAO_CANDIDATO	CLIENTES	VARIACOES
74354616	JARDIM CARAVELAS	1	JARDIM CARAVELAS (1)
74354618	JARDIM CARAVELA	1	JARDIM CARAVELA (1)
74354643	JARDIM CARAVELAS	1	JARDIM CARAVELAS (1)
74354647	JARDIM CARAVELAS	1	JARDIM CARAVELAS (1)
74354665	JARDIM CARAVELAS	1	JARDIM CARAVELAS (1)
74354676	JARDIM CARAVELAS	1	JARDIM CARAVELAS (1)
74354814	VILA SAO JOSE	1	Vila são José (1)
74356285	RESIDENCIAL SANTA FE	1	RESIDENCIAL SANTA FÉ (1)
74370150	RIO FORMOSO	1	SETOR RIO FORMOSO (1)
74370220	RIO FORMOSO	1	SETOR RIO FORMOSO (1)
74370489	SANTA RITA VII	1	SETOR SANTA RITA VII (1)
74370520	SANTA RITA VII	1	SETOR SANTA RITA VII (1)
74370601	RESIDENCIAL CANADA	1	RESIDENCIAL CANADÁ (1)
74370612	RESIDENCIAL CANADA	1	RESIDENCIAL CANADÁ (1)
74370613	RESIDENCIAL CANADA	1	RESIDENCIAL CANÁDA (1)
74370645	RESIDENCIAL VEREDAS DOS BURITIS	1	RESIDENCIAL VEREDAS DOS BURITIS (1)
74370663	RESIDENCIAL VEREDA DOS BURITIS	1	RESIDENCIAL VEREDA DOS BURITIS (1)
74370675	RESIDENCIAL VEREDA DOS BURITIS	1	RESIDENCIAL VEREDA DOS BURITIS (1)
74370684	RESIDENCIAL VEREDA DOS BURITIS	1	RESIDENCIAL VEREDA DOS BURITIS (1)
74370702	RESIDENCIAL FORTEVILLE	1	RESIDENCIAL FORTEVILLE (1)
74370707	RESIDENCIAL FORTEVILLE	1	RESIDENCIAL FORTEVILLE (1)
74370766	RESIDENCIAL SANTA RITA 4 ETAPA	1	RESIDENCIAL SANTA RITA - 4ª ETAPA (1)
74371070	RESIDENCIAL ELI FORTE	1	RESIDENCIAL ELI FORTE (1)
74371135	RESIDENCIAL TALISMA	1	RESIDENCIAL TALISMA (1)
74371350	MOINHO DOS VENTOS	1	MOINHO DOS VENTOS (1)
74371390	MOINHO DOS VENTOS	1	MOINHO DOS VENTOS (1)
74371435	LOTEAMENTO MOINHO DOS VENTOS	1	LOTEAMENTO MOINHO DOS VENTOS (1)
74371812	RESIDENCIAL RECANTO DAS EMAS	1	RESIDENCIAL RECANTO DAS EMAS (1)
74372093	RESIDENCIAL FIDELIS	1	RESIDENCIAL FIDELIS (1)
74373210	LOTEAMENTO CELINA PARK	1	LOTEAMENTO CELINA PARK (1)
74375030	PARQUE OESTE INDUSTRIAL	2	PARQUE OESTE INDUSTRIAL (2)
74375040	PARQUE OESTE INDUSTRIAL	2	PARQUE OESTE INDUSTRIAL (2)
74375150	PARQUE OESTE INDUSTRIAL	1	PARQUE OESTE INDUSTRIAL (1)
74375180	PARQUE OESTE INDUSTRIAL	2	PARQUE OESTE INDUSTRIAL (2)
74375280	PARQUE OESTE INDUSTRIAL	1	PARQUE OESTE INDUSTRIAL (1)
74375300	PARQUE OESTE INDUSTRIAL	1	PARQUE OESTE INDUSTRIAL (1)
74375495	PARQUE OESTE INDUSTRIAL	2	PARQUE OESTE INDUSTRIAL (2)
74375629	RESIDENCIAL PARQUE OESTE	2	RESIDENCIAL PARQUE OESTE (2)
74375740	PARQUE OESTE INDUSTRIAL	1	PARQUE OESTE INDUSTRIAL (1)
74390086	JARDIM BOTANICO	1	JARDIM BOTÂNICO (1)
74390090	JARDIM BOT NICO	1	JARDIM BOT NICO (1)
74390100	JARDIM BOTANICO	1	JARDIM BOTÂNICO (1)
74390150	JARDIM BOTANICO	1	JARDIM BOTÂNICO (1)
74390220	JARDIM BOTANICO	2	JARDIM BOTANICO (2)
74390225	JARDIM BOTANICO	1	JARDIM BOTÂNICO (1)
74390235	CONDOMINIO RIO BRANCO	1	CONDOMINIO RIO BRANCO (1)
74390260	CONDOMINIO RIO BRANCO	1	CONDOMÍNIO RIO BRANCO (1)
74390350	CONDOMINIO RIO BRANCO	1	CONDOMÍNIO RIO BRANCO (1)
74390372	RESIDENCIAL DELLA PENNA	1	RESIDENCIAL DELLA PENNA (1)
74390375	RESIDENCIAL DELLA PENNA	2	RESIDENCIAL DELLA PENNA (2)
74390378	RESIDENCIAL DELLA PENNA	1	RESIDENCIAL DELLA PENNA (1)
74390390	JARDIM BOTANICO	1	JARDIM BOTANICO (1)
74390430	JARDIM BOT NICO	1	JARDIM BOT NICO (1)
74390460	JARDIM BOTANICO	1	JARDIM BOTÂNICO (1)
74390490	JARDIM BOTANICO	1	JARDIM BOTÂNICO (1)
74390610	VILA RIZZO	1	VILA RIZZO (1)
74390669	VILA RIZZO	1	Vila Rizzo (1)
74391020	JARDIM MARQUES DE ABREU	3	JARDIM MARQUES DE ABREU (3)
74391030	JARDIM MARQUES DE ABREU	1	JARDIM MARQUES DE ABREU (1)
74391110	JARDIM MARQUES DE ABREU	1	JARDIM MARQUES DE ABREU (1)
74391150	JARDIM MARQUES DE ABREU	1	JARDIM MARQUES DE ABREU (1)
74391190	JARDIM MARQUES DE ABREU	1	JARDIM MARQUES DE ABREU (1)
74391250	JARDIM ARITANA	1	JARDIM ARITANA (1)
74391520	LORENA PARK	1	LORENA PARK (1)
74392070	JARDIM ELI FORTE	2	JARDIM ELI FORTE (2)
74392115	CHACARAS ANHANGUERA	1	Chácaras Anhanguera (1)
74393140	RECREIO DOS FUNCIONARIOS PUBLICOS	1	RECREIO DOS FUNCIONARIOS PUBLICOS (1)
74393360	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393375	RESIDENCIAL SOLAR BOUGAINVILLE	1	RESIDENCIAL SOLAR BOUGAINVILLE (1)
74393392	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393400	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393415	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393460	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393530	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393550	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393560	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393570	PARQUE SANTA RITA	1	PARQUE SANTA RITA (1)
74393600	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393660	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393670	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393680	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393700	LOTEAMENTO ALPHAVILLE RESIDENCIAL	2	LOTEAMENTO ALPHAVILLE RESIDENCIAL (2)
74393740	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393800	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74393810	LOTEAMENTO ALPHAVILLE RESIDENCIAL	1	LOTEAMENTO ALPHAVILLE RESIDENCIAL (1)
74394029	JARDIM ALPHAVILLE	1	JARDIM ALPHAVILLE (1)
74394155	JARDIM ALPHAVILLE	1	JARDIM ALPHAVILLE (1)
74394200	RESIDENCIAL BUENA VISTA I	1	RESIDENCIAL BUENA VISTA I (1)
74394205	RESIDENCIAL BUENA VISTA I	6	RESIDENCIAL BUENA VISTA I (6)
74394210	RESIDENCIAL BUENA VISTA I	2	RESIDENCIAL BUENA VISTA I (2)
74394215	RESIDENCIAL BUENA VISTA I	1	RESIDENCIAL BUENA VISTA I (1)
74394220	RESIDENCIAL BUENA VISTA I	1	RESIDENCIAL BUENA VISTA I (1)
74394225	RESIDENCIAL BUENA VISTA I	5	RESIDENCIAL BUENA VISTA I (4) | RESIDENCIALBUENA VISTA I (1)
74394230	RESIDENCIAL BUENA VISTA I	2	Residencial Buena Vista I (1) | RESI8DENCIAL BUENA VISTA I (1)
74394235	RESIDENCIAL BUENA VISTA I	4	RESIDENCIAL BUENA VISTA I (4)
74394240	RESIDENCIAL BUENA VISTA I	2	RESIENCIAL BUENA VISTA I (1) | RESIDENCIAL BUENA VISTA I (1)
74394245	RESIDENCIAL BUENA VISTA I	2	RESIDENCIAL BUENA VISTA I (2)
74394250	RESIDENCIAL BUENA VISTA I	1	Residencial Buena Vista I (1)
74394260	RESIDENCIAL BUENA VISTA I	1	RESIDENCIAL BUENA VISTA I (1)
74394335	RESIDENCIAL BUENA VISTA II	1	RESIDENCIAL BUENA VISTA II (1)
74394345	RESIDENCIAL BUENA VISTA II	1	RESIDENCIAL BUENA VISTA II (1)
74394355	RESIDENCIAL BUENA VISTA III	1	RESIDENCIAL BUENA VISTA III (1)
74394395	RESIDENCIAL BUENA VISTA III	1	RESIDENCIAL BUENA VISTA III (1)
74394400	RESIDENCIAL BUENA VISTA III	1	RESIDENCIAL BUENA VISTA III (1)
74394405	RESIDENCIAL BUENA VISTA III	2	RESIDENCIAL BUENA VISTA III (2)
74394410	RESIDENCIAL BUENA VISTA III	3	RESIDENCIAL BUENA VISTA III (3)
74394415	RESIDENCIAL BUENA VISTA III	2	RESIDENCIAL BUENA VISTA III (2)
74394420	RESIDENCIAL BUENA VISTA III	3	RESIDENCIAL BUENA VISTA III (3)
74394430	RESIDENCIAL BUENA VISTA III	4	RESIDENCIAL BUENA VISTA III (4)
74394435	RESIDENCIAL BUENA VISTA III	2	RESIDENCIAL BUENA VISTA III (2)
74394470	RESIDENCIAL BUENA VISTA III	1	RESIDENCIAL BUENA VISTA III (1)
74394475	RESIDENCIAL BUENA VISTA III	1	RESIDENCIAL BUENA VISTA III (1)
74394480	RESIDENCIAL BUENA VISTA III	1	RESIDENCIAL BUENA VISTA III (1)
74394500	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394520	RESIDENCIAL BUENA VISTA IV	2	RESIDENCIAL BUENA VISTA IV (2)
74394525	RESIDENCIAL BUENA VISTA IV	2	RESIDENCIAL BUENA VISTA IV (2)
74394535	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394555	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394600	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394605	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394615	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394630	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394635	RESIDENCIAL BUENA VISTA IV	2	RESIDENCIAL BUENA VISTA IV (2)
74394640	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394655	RESIDENCIAL BUENA VISTA IV	1	RESIDENCIAL BUENA VISTA IV (1)
74394660	RESIDENCIAL BUENA VISTA IV	3	RESIDENCIAL BUENA VISTA IV (3)
74394705	JARDIM GARDENIA	1	JARDIM GARDÊNIA (1)
74395003	VILLAGE SANTA RITA	1	VILLAGE SANTA RITA (1)
74395006	VILLAGE SANTA RITA	1	VILLAGE SANTA RITA (1)
74395030	SOLAR SANTA RITA	1	SETOR SOLAR SANTA RITA (1)
74395032	SOLAR SANTA RITA	2	SETOR SOLAR SANTA RITA (2)
74395038	SOLAR SANTA RITA	1	SETOR SOLAR SANTA RITA (1)
74395040	SOLAR SANTA RITA	1	SETOR SOLAR SANTA RITA (1)
74395046	SOLAR SANTA RITA	1	SETOR SOLAR SANTA RITA (1)
74395050	SOLAR SANTA RITA	4	SETOR SOLAR SANTA RITA (4)
74395056	SOLAR SANTA RITA	1	SETOR SOLAR SANTA RITA (1)
74395105	RESIDENCIAL VILLAGE SANTA RITA I	1	RESIDENCIAL VILLAGE SANTA RITA I (1)
74395210	RESIDENCIAL VILLAGE SANTA RITA III	1	RESIDENCIAL VILLAGE SANTA RITA III (1)
74395250	RESIDENCIAL KATIA	1	RESIDENCIAL KÁTIA (1)
74395510	RESIDENCIAL SANTA FE I	1	RESIDENCIAL SANTA FE I (1)
74395780	JARDIM EMANUELY	2	JARDIM EMANUELY (2)
74408098	JARDIM DAS HORTENCIAS	1	JARDIM DAS HORTÊNCIAS (1)
74410010	NOVO MUNDO	1	NOVO MUNDO (1)
74410090	JARDIM NOVO MUNDO	1	JARDIM NOVO MUNDO (1)
74410400	JARDIM NOVO MUNDO	1	JARDIM NOVO MUNDO (1)
74413630	VILA FINSOCIAL	1	VILA FINSOCIAL (1)
74420010	VILA SANTA RITA	3	VILA SANTA RITA (3)
74420455	SOLANGE PARK 1	1	SOLANGE PARK 1 (1)
74423160	SANTOS DUMONT	1	SANTOS DUMONT (1)
74423543	CIDADE JARDIM	1	CIDADE JARDIM (1)
74425115	MORADA DO SOL	1	MORADA DO SOL (1)
74425430	JARDIM NOVO MUNDO	1	JARDIM NOVO MUNDO (1)
74430380	NOVO PLANALTO	1	NOVO PLANALTO (1)
74433050	ESPLANADA DO ANICUNS	1	ESPLANADA DO ANICUNS (1)
74433060	ESPLANADA DO ANICUNS	2	ESPLANADA DO ANICUNS (2)
74433090	ESPLANADA DO ANICUNS	2	ESPLANADA DO ANICUNS (2)
74433130	ESPLANADA DO ANICUNS	1	ESPLANADA DO ANICUNS (1)
74433150	ESPLANADA DO ANICUNS	7	ESPLANADA DO ANICUNS (7)
74433180	ESPLANADA DO ANICUNS	4	ESPLANADA DO ANICUNS (4)
74433190	ESPLANADA DO ANICUNS	1	Esplanada do Anicuns (1)
74433220	ESPLANADA DO ANICUNS	2	ESPLANADA DO ANICUNS (2)
74433380	SANTOS DUMONT	1	SETOR SANTOS DUMONT (1)
74435020	AEROVIARIO	1	Aeroviário (1)
74435030	AEROVIARIO	10	SETOR AEROVIÁRIO (5) | AEROVIÁRIO (5)
74435040	AEROVIARIO	1	SETOR AEROVIARIO (1)
74435050	AEROVIARIO	2	SETOR AEROVIARIO (1) | AEROVIÁRIO (1)
74435060	AEROVIARIO	3	AEROVIÁRIO (2) | SETOR AEROVIÁRIO (1)
74435090	AEROVIARIO	14	AEROVIÁRIO (7) | SETOR AEROVIARIO (6) | AEOROVIARIO (1)
74435100	AEROVIARIO	1	Aeroviário (1)
74435110	AEROVIARIO	15	SETOR AEROVIARIO (9) | AEROVIÁRIO (6)
74435120	AEROVIARIO	8	Aeroviário (5) | SETOR AEROVIARIO (3)
74435180	AEROVIARIO	3	SETOR AEROVIARIO (3)
74435190	AEROVIARIO	1	SETOR AEROVIÁRIO (1)
74435200	AEROVIARIO	15	AEROVIÁRIO (9) | SETOR AEROVIARIO (6)
74435220	AEROVIARIO	5	SETOR AEROVIARIO (3) | Aeroviário (2)
74435230	AEROVIARIO	6	SETOR AEROVIARIO (3) | AEROVIARIO (2) | AEOROVIÁRIO (1)
74435240	AEROVIARIO	2	SETOR AEROVIARIO (1) | AEROVIÁRIO (1)
74435250	AEROVIARIO	3	SETOR AEROVIARIO (2) | AEROVIARIO (1)
74435260	AEROVIARIO	4	AEROVIÁRIO (2) | AEOROVIARIO (1) | SETOR AEROVIARIO (1)
74435265	AEROVIARIO	2	AEROVIÁRIO (1) | SETOR AEROVIARIO (1)
74435270	AEROVIARIO	1	AEROVIÁRIO (1)
74435290	AEROVIARIO	8	AEROVIÁRIO (4) | SETOR AEROVIARIO (4)
74435299	AEROVIARIO	1	SETOR AEROVIARIO (1)
74435320	AEROVIARIO	2	SETOR AEROVIARIO (2)
74435970	MANSOES PARAISO	1	MANSÕES PARAÍSO (1)
74440000	VILA JOAO VAZ	1	VILA JOAO VAZ (1)
74440010	VILA SAO JOSE	1	VILA SÃO JOSÉ (1)
74440050	SAO JOSE	2	SETOR SÃO JOSÉ (2)
74440070	SAO JOSE	1	SETOR SÃO JOSÉ (1)
74440090	SAO JOSE	1	SETOR SÃO JOSE (1)
74440150	VILA SAO JOSE	1	Vila São José (1)
74440160	SAO JOSE	1	SETOR SÃO JOSÉ (1)
74440180	SAO JOSE	1	SETOR SÃO JOSE (1)
74440185	SAO JOSE	1	Setor São José (1)
74440220	SAO JOSE	2	SETOR SÃO JOSÉ (2)
74440280	SAO JOSE	2	SETOR SÃO JOSÉ (1) | SAO JOSE (1)
74440290	SAO JOSE	3	SETOR SÃO JOSÉ (3)
74440320	VILA SAO JOSE	1	VILA SÃO JOSÉ (1)
74440330	SAO JOSE	5	SETOR SÃO JOSÉ (5)
74440350	SAO JOSE	6	Setor São José (6)
74440370	SAO JOSE	4	SETOR SÃO JOSÉ (4)
74440380	VILA SAO JOSE	1	Vila São José (1)
74440400	SAO JOSE	3	SETOR SÃO JOSÉ (3)
74440420	SAO JOSE	6	SETOR SÃO JOSÉ (5) | SÃO JOSÉ (1)
74440425	VILA SAO JOSE	2	VILA SÃO JOSE (2)
74440440	SAO JOSE	1	SETOR SÃO JOSÉ (1)
74440485	SAO JOSE	3	Setor São José (3)
74440520	SAO JOSE	2	SETOR SÃO JOSÉ (2)
74440540	SAO JOSE	2	SETOR SÃO JOSÉ (2)
74440600	SAO JOSE	4	SETOR SÃO JOSÉ (4)
74440610	SAO JOSE	6	Setor São José (6)
74440620	VILA SAO JOSE	1	VILA SÃO JOSE (1)
74440650	SAO JOSE	2	SETOR SÃO JOSE (2)
74440660	VILA SAO JOSE	1	VILA SÃO JOSÉ (1)
74440690	SAO JOSE	1	SETOR SÃO JOSÉ (1)
74440730	SAO JOSE	1	Setor São José (1)
74440735	SAO JOSE	3	SETOR SÃO JOSÉ (3)
74440740	VILA SAO JOSE	1	VILA SÃO JOSÉ (1)
74440810	VILA SAO JOSE	2	VILA SÃO JOSÉ (2)
74440820	VILA SAO JOSE EXTENSAO	1	Vila são José extensão (1)
74440840	VILA SAO JOSE EXTENSAO	1	Vila São José Extensão (1)
74440920	VILA SAO JOSE	1	VILA SÃO JOSE (1)
74445010	VILA JOAO VAZ	15	VILA JOÃO VAZ (15)
74445020	VILA JOAO VAZ	14	VILA JOÃO VAZ (14)
74445040	VILA JOAO VAZ	13	VILA JOÃO VAZ (13)
74445050	VILA JOAO VAZ	10	VILA JOÃO VAZ (10)
74445060	VILA JOAO VAZ	4	VILA JOÃO VAZ (4)
74445070	VILA JOAO VAZ	1	VILA JOAO VAZ (1)
74445090	VILA JOAO VAZ	26	VILA JOÃO VAZ (26)
74445100	VILA JOAO VAZ	2	VILA JOÃO VAZ (2)
74445110	VILA JOAO VAZ	23	VILA JOÃO VAZ (23)
74445120	SANTOS DUMONT	2	SANTOS DUMONT (2)
74445130	VILA JOAO VAZ	3	VILA JOÃO VAZ (3)
74445140	VILA JOAO VAZ	6	VILA JOÃO VAZ (6)
74445170	VILA JOAO VAZ	7	VILA JOAO VAZ (7)
74445172	VILA JOAO VAZ	1	VILA JOÃO VAZ (1)
74445180	VILA JOAO VAZ	2	VILA JOÃO VAZ (2)
74445200	VILA JOAO VAZ	3	VILA JOÃO VAZ (3)
74445210	VILA JOAO VAZ	7	VILA JOAO VAZ (7)
74445220	VILA JOAO VAZ	3	VILA JOÃO VAZ (3)
74445240	VILA JOAO VAZ	8	VILA JOÃO VAZ (8)
74445250	VILA JOAO VAZ	13	VILA JOAO VAZ (13)
74445485	VILA MUTIRAO	1	VILA MUTIRÃO (1)
74446827	CANDIDA DE MORAIS	1	CANDIDA DE MORAIS (1)
74447085	JARDIM CAMARGO	1	JARDIM CAMARGO (1)
74447258	JARDIM COLORADO	2	JARDIM COLORADO (2)
74450010	CAPUAVA	2	CAPUAVA (2)
74450020	CAPUAVA	10	CAPUAVA (9) | BAIRRO CAPUAVA (1)
74450030	CAPUAVA	3	Capuava (3)
74450040	CAPUAVA	2	Capuava (2)
74450050	CAPUAVA	2	CAPUAVA (2)
74450060	CAPUAVA	1	CAPUAVA (1)
74450070	CAPUAVA	4	CAPUAVA (4)
74450090	CAPUAVA	1	CAPUAVA (1)
74450100	CAPUAVA	12	CAPUAVA (9) | BAIRRO CAPUAVA (3)
74450110	CAPUAVA	8	CAPUAVA (8)
74450120	CAPUAVA	1	BAIRRO CAPUAVA (1)
74450130	CAPUAVA	1	CAPUAVA (1)
74450150	CAPUAVA	4	CAPUAVA (4)
74450180	CAPUAVA	15	Capuava (14) | BAIRRO CAPUAVA (1)
74450200	CAPUAVA	2	CAPUAVA (2)
74450210	CAPUAVA	4	CAPUAVA (4)
74450230	CAPUAVA	5	CAPUAVA (5)
74450240	CAPUAVA	1	CAPUAVA (1)
74450260	CAPUAVA	4	CAPUAVA (4)
74450290	CAPUAVA	1	Capuava (1)
74450310	CAPUAVA	1	CAPUAVA (1)
74450330	CAPUAVA	3	CAPUAVA (2) | BAIRRO CAPUAVA (1)
74450340	CAPUAVA	4	Capuava (4)
74450360	CAPUAVA	1	Capuava (1)
74450370	CAPUAVA	1	CAPUAVA (1)
74450380	CAPUAVA	2	CAPUAVA (2)
74450390	CAPUAVA	20	CAPUAVA (18) | BAIRRO CAPUAVA (2)
74450400	CAPUAVA	31	CAPUAVA (27) | BAIRRO CAPUAVA (4)
74450420	CAPUAVA	3	CAPUAVA (3)
74450440	CAPUAVA	6	Capuava (4) | BAIRRO CAPUAVA (2)
74450450	CAPUAVA	4	CAPUAVA (4)
74450460	CAPUAVA	2	CAPUAVA (2)
74450490	CAPUAVA	26	CAPUAVA (23) | BAIRRO CAPUAVA (2) | SETOR CAPUAVA (1)
74450550	JARDIM CURITIBA IV	1	JARDIM CURITIBA IV (1)
74451150	RESIDENCIAL 14 BIS	1	RESIDENCIAL 14 BIS (1)
74453170	VILA JOAO VAZ	1	VILA JOAO VAZ (1)
74453460	VILA REGINA	2	VILA REGINA (2)
74453470	VILA REGINA	4	VILA REGINA (4)
74453490	VILA REGINA	1	VILA REGINA (1)
74453500	VILA REGINA	4	VILA REGINA (4)
74453540	VILA REGINA	17	VILA REGINA (17)
74453560	VILA REGINA	13	Vila Regina (12) | SETOR VILA REGINA (1)
74453570	VILA REGINA	8	Vila Regina (8)
74453580	VILA REGINA	7	Vila Regina (7)
74453590	VILA REGINA	7	VILA REGINA (7)
74453600	VILA REGINA	8	VILA REGINA (8)
74453610	VILA REGINA	14	VILA REGINA (14)
74453620	VILA REGINA	5	VILA REGINA (5)
74453625	VILA REGINA	2	VILA REGINA (2)
74453650	VILA REGINA	8	Vila Regina (8)
74454250	NOVA ESPERANCA	1	NOVA ESPERANÇA (1)
74455130	VILA JOAO VAZ	1	VILA JOÃO VAZ (1)
74455530	JARDIM LIBERDADE	1	JARDIM LIBERDADE (1)
74455535	NOVO MUNDO	1	NOVO MUNDO (1)
74456290	JARDIM NOVA ESPERANCA	1	JARDIM NOVA ESPERANÇA (1)
74460010	JARDIM PETROPOLIS	7	Jardim Petrópolis (7)
74460030	JARDIM PETROPOLIS	2	Jardim Petrópolis (2)
74460035	JARDIM PETROPOLIS	1	Jardim Petrópolis (1)
74460040	JARDIM PETROPOLIS	3	JARDIM PETRÓPOLIS (3)
74460050	JARDIM PETROPOLIS	10	JARDIM PETROPOLIS (10)
74460060	JARDIM PETROPOLIS	8	JARDIM PETROPOLIS (8)
74460070	JARDIM PETROPOLIS	3	JARDIM PETRÓPOLIS (3)
74460080	JARDIM PETROPOLIS	3	JARDIM PETRÓPOLIS (3)
74460090	JARDIM PETROPOLIS	1	JARDIM PETROPOLIS (1)
74460100	JARDIM PETROPOLIS	1	JARDIM PETRÓPOLIS (1)
74460120	JARDIM PETROPOLIS	3	JARDIM PETROPOLIS (3)
74460130	JARDIM PETROPOLIS	3	JARDIM PETRÓPOLIS (3)
74460170	JARDIM NOVO MUNDO	1	JARDIM NOVO MUNDO (1)
74460180	VILA MUTIRAO	1	VILA MUTIRAO (1)
74460390	JARDIM PETROPOLIS	1	JARDIM PETRÓPOLIS (1)
74460440	JARDIM PETROPOLIS	2	JARDIM PETRÓPOLIS (2)
74460445	JARDIM PETROPOLIS	1	JARDIM PETRÓPOLIS (1)
74460450	JARDIM PETROPOLIS	2	JARDIM PETRÓPOLIS (2)
74460460	JARDIM PETROPOLIS	1	JARDIM PETRÓPOLIS (1)
74460470	JARDIM PETROPOLIS	1	JARDIM PETROPOLIS (1)
74460570	JARDIM CURITIBA IV	1	JARDIM CURITIBA IV (1)
74460630	JARDIM PETROPOLIS	3	JARDIM PETRÓPOLIS (3)
74460780	RESIDENCIAL PETROPOLIS	1	Residencial Petrópolis (1)
74461120	CONDOMINIO DO LAGO	1	CONDOMÍNIO DO LAGO (1)
74461200	JARDIM CLARISSA	1	JARDIM CLARISSA (1)
74461205	JARDIM CLARISSA	2	JARDIM CLARISSA (2)
74461210	JARDIM CLARISSA	1	JARDIM CLARISSA (1)
74461215	JARDIM CLARISSA	4	JARDIM CLARISSA (4)
74461220	JARDIM CLARISSA	4	JARDIM CLARISSA (4)
74461225	JARDIM CLARISSA	4	JARDIM CLARISSA (4)
74461230	JARDIM CLARISSA	5	JARDIM CLARISSA (5)
74461240	JARDIM CLARISSA	1	JARDIM CLARISSA (1)
74461245	JARDIM CLARISSA	2	JARDIM CLARISSA (2)
74461250	JARDIM CLARISSA	7	Jardim Clarissa (7)
74461265	JARDIM CLARISSA	9	Jardim Clarissa (9)
74461290	JARDIM CLARISSA	3	JARDIM CLARISSA (3)
74461295	JARDIM CLARISSA	5	JARDIM CLARISSA (5)
74461310	JARDIM CLARISSA	4	JARDIM CLARISSA (4)
74461315	JARDIM CLARISSA	2	JARDIM CLARISSA (2)
